player_id,player_name,team_name,competition_name,season,xg,npxg,games,goals,assists,minutes,pens_att,position,xg_per90,cards_red,pens_made,xg_assist,goals_pens,npxg_per90,goals_per90,minutes_90s,nationality,cards_yellow,games_starts,assists_per90,goals_assists,npxg_xg_assist,xg_assist_per90,goals_pens_per90,progressive_passes,xg_xg_assist_per90,goals_assists_per90,progressive_carries,npxg_xg_assist_per90,goals_assists_pens_per90,progressive_passes_received,gk_ties,gk_wins,gk_games,gk_saves,gk_losses,gk_minutes,gk_pens_att,gk_save_pct,gk_pens_saved,gk_pens_missed,gk_clean_sheets,gk_games_starts,gk_pens_allowed,gk_goals_against,gk_pens_save_pct,gk_clean_sheets_pct,gk_goals_against_per90,gk_shots_on_target_against,gk_psxg,gk_passes,gk_crosses,gk_psxg_net,gk_goal_kicks,gk_passes_throws,gk_psxg_net_per90,gk_crosses_stopped,gk_passes_launched,gk_own_goals_against,gk_passes_length_avg,gk_crosses_stopped_pct,gk_passes_pct_launched,gk_pct_passes_launched,gk_goal_kick_length_avg,gk_free_kick_goals_against,gk_pct_goal_kicks_launched,gk_avg_distance_def_actions,gk_corner_kick_goals_against,gk_passes_completed_launched,gk_def_actions_outside_pen_area,gk_psnpxg_per_shot_on_target_against,gk_def_actions_outside_pen_area_per90,shots,xg_net,npxg_net,shots_per90,npxg_per_shot,goals_per_shot,shots_on_target,shots_free_kicks,shots_on_target_pct,average_shot_distance,shots_on_target_per90,goals_per_shot_on_target,gca,sca,gca_per90,gca_shots,sca_per90,sca_shots,gca_fouled,sca_fouled,gca_defense,sca_defense,gca_take_ons,sca_take_ons,gca_passes_dead,gca_passes_live,sca_passes_dead,sca_passes_live,passes,pass_xa,passes_pct,passes_long,passes_short,passes_medium,xg_assist_net,assisted_shots,passes_pct_long,passes_completed,passes_pct_short,passes_pct_medium,passes_completed_long,passes_total_distance,passes_completed_short,passes_completed_medium,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_progressive_distance,crosses,throw_ins,passes_dead,passes_live,corner_kicks,through_balls,passes_blocked,corner_kicks_in,passes_offsides,passes_switches,corner_kicks_out,passes_free_kicks,corner_kicks_straight,blocks,errors,tackles,challenges,clearances,tackles_won,blocked_shots,interceptions,blocked_passes,challenges_lost,tackles_att_3rd,tackles_def_3rd,tackles_mid_3rd,challenge_tackles,challenge_tackles_pct,tackles_interceptions,fouls,fouled,offsides,pens_won,own_goals,aerials_won,aerials_lost,pens_conceded,aerials_won_pct,ball_recoveries,cards_yellow_red,carries,touches,take_ons,miscontrols,dispossessed,take_ons_won,passes_received,touches_att_3rd,touches_def_3rd,touches_mid_3rd,carries_distance,take_ons_tackled,take_ons_won_pct,touches_live_ball,take_ons_tackled_pct,touches_att_pen_area,touches_def_pen_area,carries_into_final_third,carries_into_penalty_area,carries_progressive_distance,on_xg_for,games_subs,plus_minus,minutes_pct,unused_subs,on_goals_for,on_xg_against,xg_plus_minus,games_complete,minutes_per_sub,plus_minus_wowy,points_per_game,minutes_per_game,on_goals_against,plus_minus_per90,minutes_per_start,xg_plus_minus_wowy,xg_plus_minus_per90
1e159d70,Yerson Mosquera,Wolves,Premier-League,2024-2025,0.3,0.3,5,0,0,441,0,DF,0.07,0,0,0.1,0,0.07,0.00,4.9,COL,2,5,0.00,0,0.4,0.02,0.00,7,0.09,0.00,0,0.09,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-0.3,-0.3,0.41,0.17,0.00,0,0,0.0,12.4,0.00,,0,5,0.00,0,1.02,0,0,0,0,0,0,0,0,0,0,5,240,0.0,85.4,35,73,123,-0.1,2,62.9,205,90.4,93.5,22,3996,66,115,16,1,1,1184,2,0,9,230,0,0,3,0,1,1,0,4,0,13,0,11,14,14,7,10,10,3,5,0,9,2,9,64.3,21,6,7,1,0,0,11,6,0,64.7,24,0,168,294,0,4,1,0,182,12,170,115,683,0,,294,,7,43,1,0,322,4.9,0,-7,16.3,0,5,6.0,-1.1,4,,-1.03,0.20,88,12,-1.43,88,+0.32,-0.22
9674002f,Mason Mount,Manchester Utd,Premier-League,2024-2025,0.5,0.5,9,0,0,260,0,"MF,FW",0.17,0,0,0.1,0,0.17,0.00,2.9,ENG,2,4,0.00,0,0.6,0.04,0.00,9,0.21,0.00,3,0.21,0.00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-0.5,-0.5,1.38,0.13,0.00,2,0,50.0,18.5,0.69,0.00,0,8,0.00,0,2.77,1,0,0,0,0,0,0,0,0,2,5,100,0.1,79.0,9,51,29,-0.1,4,55.6,79,88.2,75.9,5,1173,45,22,5,0,0,253,6,0,8,92,3,0,3,3,0,0,0,5,0,4,0,6,7,0,2,1,0,3,2,0,3,3,5,71.4,6,8,4,0,0,0,2,5,0,28.6,6,0,78,125,4,4,4,0,90,41,18,66,355,3,0.0,125,75.0,7,1,3,0,128,3.6,5,-4,9.6,3,0,4.0,-0.5,0,17,-1.38,1.11,29,4,-1.38,44,-0.01,-0.16
92868cb5,Divin Mubama,Manchester City,Premier-League,2024-2025,0.0,0.0,1,0,0,28,0,FW,0.12,0,0,0.0,0,0.12,0.00,0.3,ENG,0,0,0.00,0,0.0,0.00,0.00,1,0.12,0.00,0,0.12,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,3.21,0.04,0.00,0,0,0.0,17.2,0.00,,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,3,0.0,66.7,1,1,0,0.0,0,100.0,2,100.0,,1,44,1,0,0,0,0,18,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0.0,1,0,2,5,0,0,1,0,3,3,0,2,14,0,,5,,1,0,0,0,0,0.6,1,+1,1.0,4,1,0.0,+0.6,0,28,+2.68,3.00,28,0,+3.21,,+1.51,+1.97
049a888d,Mykhailo Mudryk,Chelsea,Premier-League,2024-2025,0.3,0.3,7,0,0,151,0,FW,0.15,0,0,1.0,0,0.15,0.00,1.7,UKR,0,1,0.00,0,1.2,0.58,0.00,5,0.73,0.00,7,0.73,0.00,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.3,-0.3,0.60,0.25,0.00,1,0,100.0,11.6,0.60,0.00,0,6,0.00,0,3.60,0,0,1,0,0,0,0,0,0,1,4,42,0.5,66.7,2,24,15,-1.0,2,50.0,28,70.8,66.7,1,431,17,10,2,2,1,165,7,0,2,40,2,1,1,0,0,0,0,0,0,3,0,2,0,1,2,1,0,2,0,0,2,0,0,,2,2,2,1,0,0,2,4,0,33.3,9,0,39,62,8,3,7,3,42,38,12,15,468,5,37.5,62,62.5,6,3,8,0,227,3.0,6,+2,5.6,5,4,3.7,-0.7,0,18,+0.66,1.86,22,2,+1.19,45,-1.02,-0.41
2acf0cd7,Marshall Munetsi,Wolves,Premier-League,2024-2025,2.6,2.6,6,1,1,428,0,"MF,FW",0.55,0,0,0.8,1,0.55,0.21,4.8,ZIM,0,5,0.21,2,3.5,0.18,0.21,5,0.73,0.42,2,0.73,0.42,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,-1.6,-1.6,2.31,0.24,0.09,3,0,27.3,13.9,0.63,0.33,1,9,0.21,0,1.89,1,0,1,0,1,0,0,0,1,0,6,87,0.0,74.7,1,51,25,+0.2,3,0.0,65,80.4,72.0,0,793,41,18,2,1,0,192,3,0,4,83,0,1,1,0,0,0,0,0,0,3,0,14,11,6,6,1,3,2,4,5,4,5,7,63.6,17,5,6,3,0,0,11,8,0,57.9,16,0,61,145,1,15,3,0,80,43,19,83,213,1,0.0,145,100.0,13,6,0,2,73,6.4,1,+4,15.9,0,7,5.3,+1.1,3,45,+1.67,1.67,71,3,+0.84,77,+0.86,+0.23
a755db8c,Rodrigo Muniz,Fulham,Premier-League,2024-2025,5.2,5.2,29,7,1,833,0,FW,0.57,0,0,0.7,7,0.57,0.76,9.3,BRA,1,6,0.11,8,6.0,0.08,0.76,25,0.65,0.86,4,0.65,0.86,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,+1.8,+1.8,3.67,0.15,0.21,16,0,47.1,12.2,1.73,0.44,1,12,0.11,0,1.29,1,0,1,0,1,0,1,0,1,0,8,130,0.2,65.4,13,60,41,+0.3,7,84.6,85,68.3,70.7,11,1442,41,29,12,3,0,485,1,0,6,123,0,3,4,0,1,2,0,1,0,9,0,9,4,12,4,2,5,7,0,2,3,4,4,100.0,14,11,25,2,0,0,59,58,0,50.4,11,0,142,283,15,42,21,5,214,117,25,145,585,7,33.3,283,46.7,49,12,4,1,155,15.4,23,+8,30.9,1,22,12.5,+2.9,0,17,+1.06,1.55,29,14,+0.86,74,+0.18,+0.31
778ef829,Daniel Muñoz,Crystal Palace,Premier-League,2024-2025,4.1,4.1,28,3,4,"2,418",0,DF,0.15,0,0,3.8,3,0.15,0.11,26.9,COL,7,28,0.15,7,7.9,0.14,0.11,67,0.29,0.26,38,0.29,0.26,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,-1.1,-1.1,1.08,0.14,0.10,11,0,37.9,12.7,0.41,0.27,7,63,0.26,1,2.34,5,0,1,0,3,1,2,0,5,2,50,1147,2.4,75.2,90,573,418,+0.2,33,43.3,862,85.2,76.8,39,13222,488,321,43,20,9,3772,51,206,229,914,2,2,30,0,4,2,0,21,0,28,1,94,70,78,62,2,31,26,30,19,46,29,40,57.1,125,40,16,10,0,0,48,62,0,43.6,133,0,598,1537,45,43,14,17,733,490,429,633,2976,26,37.8,1537,57.8,77,94,24,11,1206,41.6,0,+5,92.6,0,34,32.4,+9.1,24,,+1.12,1.43,86,29,+0.19,86,+0.48,+0.34
99aa1a84,Arijanet Muric,Ipswich Town,Premier-League,2024-2025,0.0,0.0,18,0,0,"1,620",0,GK,0.00,0,0,0.0,0,0.00,0.00,18.0,KVX,1,18,0.00,0,0.0,0.00,0.00,1,0.00,0.00,0,0.00,0.00,0,6,2,18,67,10,"1,620",3,70.0,0,0,1,18,3,33,0.0,5.6,1.83,100,31.4,534,249,-1.6,94,94,-0.09,39,229,0,30.3,15.7,33.2,29.6,54.6,0,75.5,12.2,2,76,20,0.29,1.11,0,0.0,0.0,0.00,,,0,0,,,0.00,,0,1,0.00,0,0.06,0,0,0,0,0,0,0,0,0,1,0,633,0.0,71.7,283,122,221,0.0,0,40.6,454,100.0,97.3,115,11705,122,215,14,0,0,8247,0,0,143,485,0,0,0,0,5,3,0,49,0,0,5,0,2,10,0,0,0,0,2,0,0,0,0,0.0,0,0,4,0,0,0,11,1,0,91.7,26,0,405,689,0,3,1,0,321,0,672,18,2088,0,,689,,0,559,0,0,1178,17.5,0,-16,60.0,8,17,35.2,-17.7,18,,+0.53,0.67,90,33,-0.89,90,+0.12,-0.98
1704b0b8,Murillo,Nott'ham Forest,Premier-League,2024-2025,1.2,1.2,29,1,0,"2,568",0,DF,0.04,0,0,1.1,1,0.04,0.04,28.5,BRA,5,29,0.00,1,2.3,0.04,0.04,90,0.08,0.04,15,0.08,0.04,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,-0.2,-0.2,0.67,0.06,0.05,4,3,21.1,23.9,0.14,0.25,1,30,0.04,0,1.05,2,0,1,0,2,0,0,0,1,5,20,1113,1.0,78.3,253,374,447,-1.1,11,49.0,871,91.2,86.8,124,17189,341,388,96,11,1,8165,10,1,137,968,0,7,6,0,8,16,0,93,0,61,2,44,39,191,32,40,26,21,16,3,30,11,23,59.0,70,21,4,0,0,0,34,19,1,64.2,113,0,627,1478,30,16,9,25,736,84,760,647,3211,5,83.3,1478,16.7,17,337,22,1,1885,34.0,0,+9,95.1,0,44,34.5,-0.5,27,,-3.78,1.86,89,35,+0.32,89,-1.30,-0.02
de112b84,Jacob Murphy,Newcastle Utd,Premier-League,2024-2025,3.9,3.9,26,5,9,"1,745",0,FW,0.20,0,0,6.7,5,0.20,0.26,19.4,ENG,3,22,0.46,14,10.6,0.35,0.26,57,0.55,0.72,58,0.55,0.72,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,+1.1,+1.1,1.81,0.11,0.14,12,0,34.3,18.6,0.62,0.42,10,60,0.52,0,3.10,3,0,2,0,2,0,4,0,10,4,45,715,4.1,69.5,73,363,223,+2.3,30,43.8,497,84.0,66.4,32,7408,305,148,40,28,9,2397,76,17,30,679,10,3,30,1,6,6,0,3,0,28,1,20,27,20,13,0,11,28,12,5,7,8,15,55.6,31,10,9,2,0,0,3,12,0,20.0,75,0,549,921,48,24,31,23,662,439,138,353,3251,23,47.9,921,47.9,64,13,26,21,1705,36.1,4,+12,66.9,2,37,21.7,+14.4,5,30,+0.83,1.65,67,25,+0.62,74,+1.13,+0.74
