rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,competition_id,season_id,id
1,53a2f082,/en/squads/53a2f082/2021-2022/Real-Madrid-Stats,Real Madrid,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.53a2f082.png,19,13,5,1,44,13,+31,44,2.32,38.2,20.6,+17.7,+0.93,19,13,3,3,36,18,+18,42,2.21,33.4,23.3,+10.1,+0.53,12,2021-2022,657d6630-a002-4663-8d91-b872eaebdfc0
2,206d90db,/en/squads/206d90db/2021-2022/Barcelona-Stats,Barcelona,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.206d90db.png,19,12,2,5,37,19,+18,38,2.00,33.9,15.4,+18.5,+0.97,19,9,8,2,31,19,+12,35,1.84,29.5,19.0,+10.5,+0.55,12,2021-2022,657d6630-a002-4663-8d91-b872eaebdfc0
3,db3b9613,/en/squads/db3b9613/2021-2022/Atletico-Madrid-Stats,Atlético Madrid,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.db3b9613.png,19,12,5,2,33,16,+17,41,2.16,29.1,12.9,+16.2,+0.85,19,9,3,7,32,27,+5,30,1.58,25.4,20.5,+4.9,+0.26,12,2021-2022,657d6630-a002-4663-8d91-b872eaebdfc0
4,ad2be733,/en/squads/ad2be733/2021-2022/Sevilla-Stats,Sevilla,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.ad2be733.png,19,12,6,1,36,17,+19,42,2.21,24.6,16.6,+8.0,+0.42,19,6,10,3,17,13,+4,28,1.47,17.8,20.3,-2.5,-0.13,12,2021-2022,657d6630-a002-4663-8d91-b872eaebdfc0
5,fc536746,/en/squads/fc536746/2021-2022/Real-Betis-Stats,Betis,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fc536746.png,19,10,2,7,34,22,+12,32,1.68,29.7,20.6,+9.1,+0.48,19,9,6,4,28,18,+10,33,1.74,23.8,22.8,+1.0,+0.05,12,2021-2022,657d6630-a002-4663-8d91-b872eaebdfc0
6,e31d1cd9,/en/squads/e31d1cd9/2021-2022/Real-Sociedad-Stats,Real Sociedad,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e31d1cd9.png,19,10,5,4,16,9,+7,35,1.84,28.0,14.8,+13.2,+0.70,19,7,6,6,24,28,-4,27,1.42,23.5,23.9,-0.4,-0.02,12,2021-2022,657d6630-a002-4663-8d91-b872eaebdfc0
7,2a8183b3,/en/squads/2a8183b3/2021-2022/Villarreal-Stats,Villarreal,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2a8183b3.png,19,10,6,3,40,18,+22,36,1.89,37.2,20.7,+16.5,+0.87,19,6,5,8,23,19,+4,23,1.21,27.0,24.1,+2.9,+0.15,12,2021-2022,657d6630-a002-4663-8d91-b872eaebdfc0
8,2b390eca,/en/squads/2b390eca/2021-2022/Athletic-Club-Stats,Athletic Club,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2b390eca.png,19,10,4,5,29,18,+11,34,1.79,28.4,12.9,+15.6,+0.82,19,4,9,6,14,18,-4,21,1.11,21.2,25.5,-4.3,-0.23,12,2021-2022,657d6630-a002-4663-8d91-b872eaebdfc0
9,dcc91a7b,/en/squads/dcc91a7b/2021-2022/Valencia-Stats,Valencia,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.dcc91a7b.png,19,6,8,5,26,24,+2,26,1.37,21.4,20.7,+0.8,+0.04,19,5,7,7,22,29,-7,22,1.16,17.6,27.1,-9.5,-0.50,12,2021-2022,657d6630-a002-4663-8d91-b872eaebdfc0
10,03c57e2b,/en/squads/03c57e2b/2021-2022/Osasuna-Stats,Osasuna,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.03c57e2b.png,19,5,7,7,17,26,-9,22,1.16,20.0,20.3,-0.3,-0.02,19,7,4,8,20,25,-5,25,1.32,16.7,26.0,-9.3,-0.49,12,2021-2022,657d6630-a002-4663-8d91-b872eaebdfc0
