rank,team_id,team_url,team,logo_url,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,attendance_per_g,top_team_scorers,top_keeper,notes,competition_id,season_id,id
1,206d90db,/en/squads/206d90db/2017-2018/Barcelona-Stats,Barcelona,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.206d90db.png,38,28,9,1,99,29,+70,93,2.45,83.5,41.9,+41.6,+1.09,"67,142",Lionel Messi-34,Marc-André ter Stegen,→ Champions League via league finish,12,2017-2018,d512c8f7-de1e-400f-9fd9-c6e1b56758d9
2,db3b9613,/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats,Atlético Madrid,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.db3b9613.png,38,23,10,5,58,22,+36,79,2.08,50.2,35.8,+14.4,+0.38,"52,707",Antoine Griezmann-19,Jan Oblak,→ Champions League via Europa League win,12,2017-2018,d512c8f7-de1e-400f-9fd9-c6e1b56758d9
3,53a2f082,/en/squads/53a2f082/2017-2018/Real-Madrid-Stats,Real Madrid,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.53a2f082.png,38,22,10,6,94,44,+50,76,2.00,85.4,43.2,+42.2,+1.11,"66,863",Cristiano Ronaldo-26,Keylor Navas,→ Champions League via Champions League win,12,2017-2018,d512c8f7-de1e-400f-9fd9-c6e1b56758d9
4,dcc91a7b,/en/squads/dcc91a7b/2017-2018/Valencia-Stats,Valencia,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.dcc91a7b.png,38,22,7,9,65,38,+27,73,1.92,56.0,48.3,+7.7,+0.20,"38,607",Rodrigo-16,Neto,→ Champions League via league finish,12,2017-2018,d512c8f7-de1e-400f-9fd9-c6e1b56758d9
5,2a8183b3,/en/squads/2a8183b3/2017-2018/Villarreal-Stats,Villarreal,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2a8183b3.png,38,18,7,13,57,50,+7,61,1.61,53.3,53.4,-0.1,0.00,"16,779",Carlos Bacca-15,Sergio Asenjo,→ Europa League via league finish,12,2017-2018,d512c8f7-de1e-400f-9fd9-c6e1b56758d9
6,fc536746,/en/squads/fc536746/2017-2018/Real-Betis-Stats,Betis,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fc536746.png,38,18,6,14,60,61,-1,60,1.58,46.0,49.0,-3.1,-0.08,"46,781",Sergio León-11,Antonio Adán,→ Europa League via league finish1,12,2017-2018,d512c8f7-de1e-400f-9fd9-c6e1b56758d9
7,ad2be733,/en/squads/ad2be733/2017-2018/Sevilla-Stats,Sevilla,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.ad2be733.png,38,17,7,14,49,58,-9,58,1.53,59.5,54.4,+5.2,+0.14,"33,006",Wissam Ben Yedder-9,Sergio Rico,→ Europa League via league finish,12,2017-2018,d512c8f7-de1e-400f-9fd9-c6e1b56758d9
8,7848bd64,/en/squads/7848bd64/2017-2018/Getafe-Stats,Getafe,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7848bd64.png,38,15,10,13,42,33,+9,55,1.45,48.2,39.7,+8.5,+0.22,"10,428",Ángel Rodríguez-13,Vicente Guaita,,12,2017-2018,d512c8f7-de1e-400f-9fd9-c6e1b56758d9
9,bea5c710,/en/squads/bea5c710/2017-2018/Eibar-Stats,Eibar,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.bea5c710.png,38,14,9,15,44,50,-6,51,1.34,40.9,44.4,-3.5,-0.09,"5,338","Charles,Kiké-8",Marko Dmitrović,,12,2017-2018,d512c8f7-de1e-400f-9fd9-c6e1b56758d9
10,9024a00a,/en/squads/9024a00a/2017-2018/Girona-Stats,Girona,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.9024a00a.png,38,14,9,15,50,59,-9,51,1.34,50.6,50.4,+0.2,+0.01,"10,424",Cristhian Stuani-21,Yassine Bounou,,12,2017-2018,d512c8f7-de1e-400f-9fd9-c6e1b56758d9
11,a8661628,/en/squads/a8661628/2017-2018/Espanyol-Stats,Espanyol,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a8661628.png,38,12,13,13,36,42,-6,49,1.29,41.1,52.3,-11.1,-0.29,"17,882",Gerard Moreno-16,Pau López,,12,2017-2018,d512c8f7-de1e-400f-9fd9-c6e1b56758d9
12,e31d1cd9,/en/squads/e31d1cd9/2017-2018/Real-Sociedad-Stats,Real Sociedad,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e31d1cd9.png,38,14,7,17,66,59,+7,49,1.29,53.7,50.5,+3.1,+0.08,"19,793",Willian José-15,Gerónimo Rulli,,12,2017-2018,d512c8f7-de1e-400f-9fd9-c6e1b56758d9
13,f25da7fb,/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats,Celta Vigo,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.f25da7fb.png,38,13,10,15,59,60,-1,49,1.29,55.0,55.3,-0.3,-0.01,"16,195",Iago Aspas-22,Rubén Blanco,,12,2017-2018,d512c8f7-de1e-400f-9fd9-c6e1b56758d9
14,8d6fd021,/en/squads/8d6fd021/2017-2018/Alaves-Stats,Alavés,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.8d6fd021.png,38,15,2,21,40,50,-10,47,1.24,38.5,55.9,-17.4,-0.46,"18,845",Munir El Haddadi-10,Fernando Pacheco,,12,2017-2018,d512c8f7-de1e-400f-9fd9-c6e1b56758d9
15,9800b6a1,/en/squads/9800b6a1/2017-2018/Levante-Stats,Levante,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.9800b6a1.png,38,11,13,14,44,58,-14,46,1.21,44.7,63.6,-18.8,-0.50,"18,534",José Luis Morales-10,Oier Olazábal,,12,2017-2018,d512c8f7-de1e-400f-9fd9-c6e1b56758d9
16,2b390eca,/en/squads/2b390eca/2017-2018/Athletic-Club-Stats,Athletic Club,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2b390eca.png,38,10,13,15,41,49,-8,43,1.13,49.7,50.3,-0.6,-0.02,"37,246",Raúl García-10,Kepa Arrizabalaga,,12,2017-2018,d512c8f7-de1e-400f-9fd9-c6e1b56758d9
17,7c6f2c78,/en/squads/7c6f2c78/2017-2018/Leganes-Stats,Leganés,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7c6f2c78.png,38,12,7,19,34,51,-17,43,1.13,39.9,47.6,-7.6,-0.20,"9,969",Gabriel-5,Iván Cuéllar,,12,2017-2018,d512c8f7-de1e-400f-9fd9-c6e1b56758d9
18,2a60ed82,/en/squads/2a60ed82/2017-2018/Deportivo-La-Coruna-Stats,La Coruña,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2a60ed82.png,38,6,11,21,38,76,-38,29,0.76,51.6,58.7,-7.1,-0.19,"20,542",Adrián López-9,Rubén,Relegated,12,2017-2018,d512c8f7-de1e-400f-9fd9-c6e1b56758d9
19,0049d422,/en/squads/0049d422/2017-2018/Las-Palmas-Stats,Las Palmas,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.0049d422.png,38,5,7,26,24,74,-50,22,0.58,38.5,70.5,-32.0,-0.84,"16,183",Jonathan Calleri-9,Leandro Chichizola,Relegated,12,2017-2018,d512c8f7-de1e-400f-9fd9-c6e1b56758d9
20,1c896955,/en/squads/1c896955/2017-2018/Malaga-Stats,Málaga,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.1c896955.png,38,5,5,28,24,61,-37,20,0.53,38.4,59.4,-21.0,-0.55,"20,333",Diego Rolán-5,Roberto,Relegated,12,2017-2018,d512c8f7-de1e-400f-9fd9-c6e1b56758d9
