rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,competition_id,season_id,id
1,53a2f082,/en/squads/53a2f082/2016-2017/Real-Madrid-Stats,Real Madrid,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.53a2f082.png,19,14,4,1,48,20,+28,46,2.42,19,15,2,2,58,21,+37,47,2.47,12,2016-2017,1c73b951-36eb-4874-8ddb-d0b041342b28
2,206d90db,/en/squads/206d90db/2016-2017/Barcelona-Stats,Barcelona,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.206d90db.png,19,15,3,1,64,17,+47,48,2.53,19,13,3,3,52,20,+32,42,2.21,12,2016-2017,1c73b951-36eb-4874-8ddb-d0b041342b28
3,db3b9613,/en/squads/db3b9613/2016-2017/Atletico-Madrid-Stats,Atlético Madrid,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.db3b9613.png,19,14,2,3,40,14,+26,44,2.32,19,9,7,3,30,13,+17,34,1.79,12,2016-2017,1c73b951-36eb-4874-8ddb-d0b041342b28
4,ad2be733,/en/squads/ad2be733/2016-2017/Sevilla-Stats,Sevilla,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.ad2be733.png,19,14,4,1,39,16,+23,46,2.42,19,7,5,7,30,33,-3,26,1.37,12,2016-2017,1c73b951-36eb-4874-8ddb-d0b041342b28
5,2a8183b3,/en/squads/2a8183b3/2016-2017/Villarreal-Stats,Villarreal,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2a8183b3.png,19,11,4,4,35,18,+17,37,1.95,19,8,6,5,21,15,+6,30,1.58,12,2016-2017,1c73b951-36eb-4874-8ddb-d0b041342b28
6,e31d1cd9,/en/squads/e31d1cd9/2016-2017/Real-Sociedad-Stats,Real Sociedad,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e31d1cd9.png,19,10,5,4,30,24,+6,35,1.84,19,9,2,8,29,29,0,29,1.53,12,2016-2017,1c73b951-36eb-4874-8ddb-d0b041342b28
7,2b390eca,/en/squads/2b390eca/2016-2017/Athletic-Club-Stats,Athletic Club,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2b390eca.png,19,13,4,2,36,18,+18,43,2.26,19,6,2,11,17,25,-8,20,1.05,12,2016-2017,1c73b951-36eb-4874-8ddb-d0b041342b28
8,a8661628,/en/squads/a8661628/2016-2017/Espanyol-Stats,Espanyol,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a8661628.png,19,8,5,6,28,24,+4,29,1.53,19,7,6,6,21,26,-5,27,1.42,12,2016-2017,1c73b951-36eb-4874-8ddb-d0b041342b28
9,8d6fd021,/en/squads/8d6fd021/2016-2017/Alaves-Stats,Alavés,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.8d6fd021.png,19,7,8,4,19,21,-2,29,1.53,19,7,5,7,22,22,0,26,1.37,12,2016-2017,1c73b951-36eb-4874-8ddb-d0b041342b28
10,bea5c710,/en/squads/bea5c710/2016-2017/Eibar-Stats,Eibar,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.bea5c710.png,19,10,3,6,29,21,+8,33,1.74,19,5,6,8,27,30,-3,21,1.11,12,2016-2017,1c73b951-36eb-4874-8ddb-d0b041342b28
11,1c896955,/en/squads/1c896955/2016-2017/Malaga-Stats,Málaga,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.1c896955.png,19,10,2,7,32,25,+7,32,1.68,19,2,8,9,17,30,-13,14,0.74,12,2016-2017,1c73b951-36eb-4874-8ddb-d0b041342b28
12,dcc91a7b,/en/squads/dcc91a7b/2016-2017/Valencia-Stats,Valencia,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.dcc91a7b.png,19,8,4,7,32,32,0,28,1.47,19,5,3,11,24,33,-9,18,0.95,12,2016-2017,1c73b951-36eb-4874-8ddb-d0b041342b28
13,f25da7fb,/en/squads/f25da7fb/2016-2017/Celta-Vigo-Stats,Celta Vigo,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.f25da7fb.png,19,9,2,8,30,32,-2,29,1.53,19,4,4,11,23,37,-14,16,0.84,12,2016-2017,1c73b951-36eb-4874-8ddb-d0b041342b28
14,0049d422,/en/squads/0049d422/2016-2017/Las-Palmas-Stats,Las Palmas,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.0049d422.png,19,9,6,4,33,25,+8,33,1.74,19,1,3,15,20,49,-29,6,0.32,12,2016-2017,1c73b951-36eb-4874-8ddb-d0b041342b28
15,fc536746,/en/squads/fc536746/2016-2017/Real-Betis-Stats,Betis,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fc536746.png,19,6,7,6,22,24,-2,25,1.32,19,4,2,13,19,40,-21,14,0.74,12,2016-2017,1c73b951-36eb-4874-8ddb-d0b041342b28
16,2a60ed82,/en/squads/2a60ed82/2016-2017/Deportivo-La-Coruna-Stats,La Coruña,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2a60ed82.png,19,7,5,7,27,23,+4,26,1.37,19,1,7,11,16,38,-22,10,0.53,12,2016-2017,1c73b951-36eb-4874-8ddb-d0b041342b28
17,7c6f2c78,/en/squads/7c6f2c78/2016-2017/Leganes-Stats,Leganés,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7c6f2c78.png,19,5,6,8,22,23,-1,21,1.11,19,3,5,11,14,32,-18,14,0.74,12,2016-2017,1c73b951-36eb-4874-8ddb-d0b041342b28
