team_id,team_url,team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,competition_id,season_id,id
8d6fd021,/en/squads/8d6fd021/2018-2019/Alaves-Stats,Alavés,26,38.0,39,426,116,27.2,11.21,3.05,0.09,0.32,18.3,16,2,3,41.1,38.8,0.09,-2.1,-1.8,12,2018-2019,3ddf097a-3478-422c-a40a-48773670cfe4
2b390eca,/en/squads/2b390eca/2018-2019/Athletic-Club-Stats,Athletic Club,27,38.0,39,380,132,34.7,10.00,3.47,0.09,0.26,17.1,6,5,7,43.4,37.8,0.10,-4.4,-3.8,12,2018-2019,3ddf097a-3478-422c-a40a-48773670cfe4
db3b9613,/en/squads/db3b9613/2018-2019/Atletico-Madrid-Stats,Atlético Madrid,29,38.0,53,440,155,35.2,11.58,4.08,0.11,0.32,18.3,21,3,4,47.3,44.1,0.10,+5.7,+5.9,12,2018-2019,3ddf097a-3478-422c-a40a-48773670cfe4
206d90db,/en/squads/206d90db/2018-2019/Barcelona-Stats,Barcelona,30,38.0,88,551,242,43.9,14.50,6.37,0.15,0.33,18.0,50,8,9,75.8,68.7,0.13,+12.2,+11.3,12,2018-2019,3ddf097a-3478-422c-a40a-48773670cfe4
fc536746,/en/squads/fc536746/2018-2019/Real-Betis-Stats,Betis,25,38.0,43,436,156,35.8,11.47,4.11,0.09,0.24,18.6,31,5,7,47.1,41.5,0.10,-4.1,-3.5,12,2018-2019,3ddf097a-3478-422c-a40a-48773670cfe4
f25da7fb,/en/squads/f25da7fb/2018-2019/Celta-Vigo-Stats,Celta Vigo,28,38.0,52,445,152,34.2,11.71,4.00,0.10,0.30,18.0,22,7,7,46.5,41.2,0.09,+5.5,+3.8,12,2018-2019,3ddf097a-3478-422c-a40a-48773670cfe4
bea5c710,/en/squads/bea5c710/2018-2019/Eibar-Stats,Eibar,25,38.0,46,524,147,28.1,13.79,3.87,0.07,0.27,17.4,20,7,8,54.8,48.6,0.10,-8.8,-9.6,12,2018-2019,3ddf097a-3478-422c-a40a-48773670cfe4
a8661628,/en/squads/a8661628/2018-2019/Espanyol-Stats,Espanyol,25,38.0,43,470,154,32.8,12.37,4.05,0.08,0.25,19.0,25,4,4,48.9,45.8,0.10,-5.9,-6.8,12,2018-2019,3ddf097a-3478-422c-a40a-48773670cfe4
7848bd64,/en/squads/7848bd64/2018-2019/Getafe-Stats,Getafe,26,38.0,47,395,122,30.9,10.39,3.21,0.10,0.34,17.1,13,6,6,46.2,41.6,0.11,+0.8,-0.6,12,2018-2019,3ddf097a-3478-422c-a40a-48773670cfe4
9024a00a,/en/squads/9024a00a/2018-2019/Girona-Stats,Girona,26,38.0,37,392,137,34.9,10.32,3.61,0.08,0.23,18.3,21,6,6,43.5,39.3,0.10,-6.5,-8.3,12,2018-2019,3ddf097a-3478-422c-a40a-48773670cfe4
