rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,competition_id,season_id,id
1,53a2f082,/en/squads/53a2f082/2019-2020/Real-Madrid-Stats,Real Madrid,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.53a2f082.png,19,15,4,0,40,11,+29,49,2.58,37.8,14.9,+22.9,+1.20,19,11,5,3,30,14,+16,38,2.00,30.1,18.4,+11.7,+0.62,12,2019-2020,b109d8be-57fd-4ef0-9751-c15086ef7644
2,206d90db,/en/squads/206d90db/2019-2020/Barcelona-Stats,Barcelona,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.206d90db.png,19,16,2,1,52,16,+36,50,2.63,38.0,17.3,+20.7,+1.09,19,9,5,5,34,22,+12,32,1.68,28.4,21.0,+7.4,+0.39,12,2019-2020,b109d8be-57fd-4ef0-9751-c15086ef7644
3,db3b9613,/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats,Atlético Madrid,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.db3b9613.png,19,12,6,1,28,11,+17,42,2.21,30.3,13.2,+17.1,+0.90,19,6,10,3,23,16,+7,28,1.47,26.6,19.2,+7.3,+0.39,12,2019-2020,b109d8be-57fd-4ef0-9751-c15086ef7644
4,ad2be733,/en/squads/ad2be733/2019-2020/Sevilla-Stats,Sevilla,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.ad2be733.png,19,10,7,2,26,14,+12,37,1.95,28.8,16.5,+12.3,+0.65,19,9,6,4,28,20,+8,33,1.74,24.4,19.6,+4.8,+0.25,12,2019-2020,b109d8be-57fd-4ef0-9751-c15086ef7644
5,2a8183b3,/en/squads/2a8183b3/2019-2020/Villarreal-Stats,Villarreal,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2a8183b3.png,19,9,5,5,37,25,+12,32,1.68,33.1,23.5,+9.6,+0.51,19,9,1,9,26,24,+2,28,1.47,30.5,22.8,+7.6,+0.40,12,2019-2020,b109d8be-57fd-4ef0-9751-c15086ef7644
6,e31d1cd9,/en/squads/e31d1cd9/2019-2020/Real-Sociedad-Stats,Real Sociedad,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e31d1cd9.png,19,9,4,6,33,20,+13,31,1.63,29.8,16.5,+13.3,+0.70,19,7,4,8,23,28,-5,25,1.32,19.1,26.6,-7.5,-0.39,12,2019-2020,b109d8be-57fd-4ef0-9751-c15086ef7644
7,a0435291,/en/squads/a0435291/2019-2020/Granada-Stats,Granada,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a0435291.png,19,10,3,6,26,16,+10,33,1.74,25.3,18.5,+6.7,+0.36,19,6,5,8,26,29,-3,23,1.21,19.6,24.1,-4.4,-0.23,12,2019-2020,b109d8be-57fd-4ef0-9751-c15086ef7644
8,7848bd64,/en/squads/7848bd64/2019-2020/Getafe-Stats,Getafe,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7848bd64.png,19,8,6,5,25,20,+5,30,1.58,24.3,18.3,+6.0,+0.32,19,6,6,7,18,17,+1,24,1.26,17.3,23.1,-5.9,-0.31,12,2019-2020,b109d8be-57fd-4ef0-9751-c15086ef7644
9,dcc91a7b,/en/squads/dcc91a7b/2019-2020/Valencia-Stats,Valencia,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.dcc91a7b.png,19,11,7,1,29,16,+13,40,2.11,25.3,23.6,+1.7,+0.09,19,3,4,12,17,37,-20,13,0.68,18.0,32.4,-14.4,-0.76,12,2019-2020,b109d8be-57fd-4ef0-9751-c15086ef7644
10,03c57e2b,/en/squads/03c57e2b/2019-2020/Osasuna-Stats,Osasuna,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.03c57e2b.png,19,7,7,5,26,29,-3,28,1.47,30.6,21.6,+9.0,+0.47,19,6,6,7,20,25,-5,24,1.26,18.8,27.7,-8.9,-0.47,12,2019-2020,b109d8be-57fd-4ef0-9751-c15086ef7644
11,2b390eca,/en/squads/2b390eca/2019-2020/Athletic-Club-Stats,Athletic Club,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2b390eca.png,19,9,4,6,21,14,+7,31,1.63,26.3,21.4,+5.0,+0.26,19,4,8,7,20,24,-4,20,1.05,15.1,27.4,-12.3,-0.65,12,2019-2020,b109d8be-57fd-4ef0-9751-c15086ef7644
12,9800b6a1,/en/squads/9800b6a1/2019-2020/Levante-Stats,Levante,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.9800b6a1.png,19,9,5,5,27,19,+8,32,1.68,27.4,29.1,-1.7,-0.09,19,5,2,12,20,34,-14,17,0.89,20.7,33.8,-13.1,-0.69,12,2019-2020,b109d8be-57fd-4ef0-9751-c15086ef7644
13,17859612,/en/squads/17859612/2019-2020/Valladolid-Stats,Valladolid,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.17859612.png,19,5,10,4,18,15,+3,25,1.32,20.6,19.9,+0.8,+0.04,19,4,5,10,14,28,-14,17,0.89,15.9,34.6,-18.7,-0.98,12,2019-2020,b109d8be-57fd-4ef0-9751-c15086ef7644
14,bea5c710,/en/squads/bea5c710/2019-2020/Eibar-Stats,Eibar,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.bea5c710.png,19,8,3,8,25,25,0,27,1.42,25.8,24.5,+1.3,+0.07,19,3,6,10,14,31,-17,15,0.79,16.2,28.5,-12.3,-0.65,12,2019-2020,b109d8be-57fd-4ef0-9751-c15086ef7644
15,fc536746,/en/squads/fc536746/2019-2020/Real-Betis-Stats,Betis,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fc536746.png,19,9,4,6,34,27,+7,31,1.63,31.6,24.5,+7.1,+0.38,19,1,7,11,14,33,-19,10,0.53,19.4,30.3,-10.9,-0.57,12,2019-2020,b109d8be-57fd-4ef0-9751-c15086ef7644
16,8d6fd021,/en/squads/8d6fd021/2019-2020/Alaves-Stats,Alavés,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.8d6fd021.png,19,7,6,6,20,19,+1,27,1.42,22.2,20.0,+2.2,+0.11,19,3,3,13,14,40,-26,12,0.63,17.1,37.8,-20.6,-1.09,12,2019-2020,b109d8be-57fd-4ef0-9751-c15086ef7644
17,f25da7fb,/en/squads/f25da7fb/2019-2020/Celta-Vigo-Stats,Celta Vigo,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.f25da7fb.png,19,5,8,6,22,20,+2,23,1.21,22.2,18.2,+3.9,+0.21,19,2,8,9,15,29,-14,14,0.74,17.1,27.1,-10.1,-0.53,12,2019-2020,b109d8be-57fd-4ef0-9751-c15086ef7644
18,7c6f2c78,/en/squads/7c6f2c78/2019-2020/Leganes-Stats,Leganés,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7c6f2c78.png,19,5,5,9,17,26,-9,20,1.05,20.3,17.7,+2.6,+0.14,19,3,7,9,13,25,-12,16,0.84,19.6,25.1,-5.5,-0.29,12,2019-2020,b109d8be-57fd-4ef0-9751-c15086ef7644
19,2aa12281,/en/squads/2aa12281/2019-2020/Mallorca-Stats,Mallorca,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2aa12281.png,19,8,3,8,25,22,+3,27,1.42,23.6,25.2,-1.6,-0.09,19,1,3,15,15,43,-28,6,0.32,17.5,38.3,-20.8,-1.09,12,2019-2020,b109d8be-57fd-4ef0-9751-c15086ef7644
20,a8661628,/en/squads/a8661628/2019-2020/Espanyol-Stats,Espanyol,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a8661628.png,19,2,6,11,15,31,-16,12,0.63,20.2,25.5,-5.4,-0.28,19,3,4,12,12,27,-15,13,0.68,18.5,25.5,-7.0,-0.37,12,2019-2020,b109d8be-57fd-4ef0-9751-c15086ef7644
