team_id,team_url,team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,competition_id,season_id,id
8d6fd021,/en/squads/8d6fd021/2016-2017/Alaves-Stats,Alavés,25,25.4,44.4,38,418,"3,420",38.0,41,27,68,37,4,4,120,5,1.08,0.71,1.79,0.97,1.68,12,2016-2017,99fe9bb1-87de-4be7-8b5b-03560b68cccd
2b390eca,/en/squads/2b390eca/2016-2017/Athletic-Club-Stats,Athletic Club,25,26.8,51.1,38,418,"3,420",38.0,53,31,84,45,8,8,89,2,1.39,0.82,2.21,1.18,2.00,12,2016-2017,99fe9bb1-87de-4be7-8b5b-03560b68cccd
db3b9613,/en/squads/db3b9613/2016-2017/Atletico-Madrid-Stats,Atlético Madrid,22,26.9,48.4,38,418,"3,420",38.0,70,54,124,68,2,7,85,3,1.84,1.42,3.26,1.79,3.21,12,2016-2017,99fe9bb1-87de-4be7-8b5b-03560b68cccd
206d90db,/en/squads/206d90db/2016-2017/Barcelona-Stats,Barcelona,25,26.9,66.1,38,418,"3,420",38.0,113,71,184,105,8,9,75,1,2.97,1.87,4.84,2.76,4.63,12,2016-2017,99fe9bb1-87de-4be7-8b5b-03560b68cccd
fc536746,/en/squads/fc536746/2016-2017/Real-Betis-Stats,Betis,27,26.1,47.9,38,418,"3,420",38.0,41,27,68,39,2,2,106,5,1.08,0.71,1.79,1.03,1.74,12,2016-2017,99fe9bb1-87de-4be7-8b5b-03560b68cccd
f25da7fb,/en/squads/f25da7fb/2016-2017/Celta-Vigo-Stats,Celta Vigo,27,26.1,53.2,38,418,"3,420",38.0,52,33,85,45,7,7,111,8,1.37,0.87,2.24,1.18,2.05,12,2016-2017,99fe9bb1-87de-4be7-8b5b-03560b68cccd
bea5c710,/en/squads/bea5c710/2016-2017/Eibar-Stats,Eibar,24,26.9,47.8,38,418,"3,420",38.0,53,34,87,47,6,8,96,7,1.39,0.89,2.29,1.24,2.13,12,2016-2017,99fe9bb1-87de-4be7-8b5b-03560b68cccd
a8661628,/en/squads/a8661628/2016-2017/Espanyol-Stats,Espanyol,27,27.2,44.0,38,418,"3,420",38.0,48,36,84,46,2,4,82,2,1.26,0.95,2.21,1.21,2.16,12,2016-2017,99fe9bb1-87de-4be7-8b5b-03560b68cccd
a0435291,/en/squads/a0435291/2016-2017/Granada-Stats,Granada,35,24.7,45.1,38,418,"3,420",38.0,30,19,49,30,0,1,116,6,0.79,0.50,1.29,0.79,1.29,12,2016-2017,99fe9bb1-87de-4be7-8b5b-03560b68cccd
2a60ed82,/en/squads/2a60ed82/2016-2017/Deportivo-La-Coruna-Stats,La Coruña,28,27.7,47.0,38,418,"3,420",38.0,42,29,71,39,3,7,97,4,1.11,0.76,1.87,1.03,1.79,12,2016-2017,99fe9bb1-87de-4be7-8b5b-03560b68cccd
