ranker,nationality,players,minutes,List,competition_id,season_id,id
1,esSpain,472,"432,846","Lamine Yamal,Javi Puado,Alex Baena,Carlos Vicente,Diego López,Ayoze Pérez,Aimar Oroz,Kiké,Pedri,Sergi Cardona...",12,2024-2025,b7b767b9-9de1-4e5c-93f5-fd305c6b803b
2,arArgentina,26,"27,785","Julián Álvarez,Paulo Gazzaniga,Nahuel Tenaglia,Augusto Batalla,Rodrigo De Paul,Giuliano Simeone,Enzo Barrenechea,Giovani Lo Celso,Nahuel Molina,Juan Foyth...",12,2024-2025,b7b767b9-9de1-4e5c-93f5-fd305c6b803b
3,frFrance,24,"35,859","Kylian Mbappé,Antoine Griezmann,Florian Lejeune,Thierno Barry,Jules Koundé,Loïc Bade,Valentin Rosier,Aurélien Tchouaméni,Lucien Agoume,Dimitri Foulquier...",12,2024-2025,b7b767b9-9de1-4e5c-93f5-fd305c6b803b
4,brBrazil,17,"21,649","Raphinha,Vinicius Júnior,Rodrygo,Natan,Samuel Lino,Antony,Lucas Oliveira Rosa,Vitor Roque,Marcos André,Luiz Lúcio Reis Júnior...",12,2024-2025,b7b767b9-9de1-4e5c-93f5-fd305c6b803b
,,,,View Complete Nationalities Table,12,2024-2025,b7b767b9-9de1-4e5c-93f5-fd305c6b803b
