ranker,nationality,players,minutes,List,competition_id,season_id,id
1,esSpain,416,"439,928","Mikel Oyarzabal,Gerard Moreno,Iago Aspas,Raúl García,Santi Cazorla,Sergio Canales,Roberto Torres,Daniel Parejo,Jaime Mata,Sergio Ramos...",12,2019-2020,c6d37c36-a77c-4838-936f-b3a021a5a55a
2,arArgentina,25,"30,227","Lionel Messi,Lucas Ocampos,Éver Banega,Jonathan Silva,Ángel Correa,Ezequiel Ávila,Jonathan Calleri,Pablo de Blasis,Gonzalo Escalante,Guido Carrillo...",12,2019-2020,c6d37c36-a77c-4838-936f-b3a021a5a55a
3,brBrazil,23,"36,275","Casemiro,Emerson,Diego Carlos,Fernando,Willian José,Gabriel Paulista,Rafinha,Renan Lodi,Rodrigo Ely,Felipe...",12,2019-2020,c6d37c36-a77c-4838-936f-b3a021a5a55a
4,frFrance,23,"28,453","Karim Benzema,Antoine Griezmann,Nabil Fekir,Raphaël Varane,Clément Lenglet,Jules Koundé,Kévin Gameiro,Ferland Mendy,Francis Coquelin,Maxime Gonalons...",12,2019-2020,c6d37c36-a77c-4838-936f-b3a021a5a55a
,,,,View Complete Nationalities Table,12,2019-2020,c6d37c36-a77c-4838-936f-b3a021a5a55a
