rank,team_id,team_url,team,logo_url,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,attendance_per_g,top_team_scorers,top_keeper,notes,competition_id,season_id,id
1,e2d8892c,/en/squads/e2d8892c/2018-2019/Paris-Saint-Germain-Stats,Paris S-G,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e2d8892c.png,38,29,4,5,105,35,+70,91,2.39,88.9,37.6,+51.3,+1.35,"46,911",Kylian Mbappé-33,Alphonse Areola,→ Champions League via league finish,13,2018-2019,3bb00b71-fef5-4f3c-a700-263c7793c292
2,cb188c0c,/en/squads/cb188c0c/2018-2019/Lille-Stats,Lille,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cb188c0c.png,38,22,9,7,68,33,+35,75,1.97,59.5,42.1,+17.4,+0.46,"34,079",Nicolas Pépé-22,Mike Maignan,→ Champions League via league finish,13,2018-2019,3bb00b71-fef5-4f3c-a700-263c7793c292
3,d53c0b06,/en/squads/d53c0b06/2018-2019/Lyon-Stats,Lyon,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d53c0b06.png,38,21,9,8,70,47,+23,72,1.89,73.7,43.9,+29.8,+0.78,"49,079",Moussa Dembélé-15,Anthony Lopes,→ Champions League via league finish,13,2018-2019,3bb00b71-fef5-4f3c-a700-263c7793c292
4,d298ef2c,/en/squads/d298ef2c/2018-2019/Saint-Etienne-Stats,Saint-Étienne,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d298ef2c.png,38,19,9,10,59,41,+18,66,1.74,56.7,50.4,+6.3,+0.17,"28,400",Wahbi Khazri-13,Stéphane Ruffier,→ Europa League via league finish,13,2018-2019,3bb00b71-fef5-4f3c-a700-263c7793c292
5,5725cc7b,/en/squads/5725cc7b/2018-2019/Marseille-Stats,Marseille,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.5725cc7b.png,38,18,7,13,60,52,+8,61,1.61,52.7,45.6,+7.1,+0.19,"50,140",Florian Thauvin-16,Steve Mandanda,,13,2018-2019,3bb00b71-fef5-4f3c-a700-263c7793c292
6,281b0e73,/en/squads/281b0e73/2018-2019/Montpellier-Stats,Montpellier,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.281b0e73.png,38,15,14,9,53,42,+11,59,1.55,50.1,41.8,+8.2,+0.22,"13,829",Andy Delort-14,Benjamin Lecomte,,13,2018-2019,3bb00b71-fef5-4f3c-a700-263c7793c292
7,132ebc33,/en/squads/132ebc33/2018-2019/Nice-Stats,Nice,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.132ebc33.png,38,15,11,12,30,35,-5,56,1.47,46.3,50.0,-3.7,-0.10,"19,126","Allan Saint-Maximin,Youcef Atal-6",Walter Benítez,,13,2018-2019,3bb00b71-fef5-4f3c-a700-263c7793c292
8,7fdd64e0,/en/squads/7fdd64e0/2018-2019/Reims-Stats,Reims,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7fdd64e0.png,38,13,16,9,39,42,-3,55,1.45,38.1,45.0,-6.9,-0.18,"14,342",Remi Oudin-10,Edouard Mendy,,13,2018-2019,3bb00b71-fef5-4f3c-a700-263c7793c292
9,1cbf5f9e,/en/squads/1cbf5f9e/2018-2019/Nimes-Stats,Nîmes,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.1cbf5f9e.png,38,15,8,15,57,58,-1,53,1.39,50.0,56.5,-6.5,-0.17,"13,994","Denis Bouanga,Renaud Ripart-8",Paul Bernardoni,,13,2018-2019,3bb00b71-fef5-4f3c-a700-263c7793c292
10,b3072e00,/en/squads/b3072e00/2018-2019/Rennes-Stats,Rennes,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.b3072e00.png,38,13,13,12,55,52,+3,52,1.37,55.6,47.6,+8.0,+0.21,"23,675",M'Baye Niang-11,Tomáš Koubek,→ Europa League via cup win1,13,2018-2019,3bb00b71-fef5-4f3c-a700-263c7793c292
11,c0d3eab4,/en/squads/c0d3eab4/2018-2019/Strasbourg-Stats,Strasbourg,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.c0d3eab4.png,38,11,16,11,58,48,+10,49,1.29,41.3,51.2,-9.9,-0.26,"25,216","Ludovic Ajorque,Lebo Mothiba-9",Matz Sels,→ Europa League via cup win2,13,2018-2019,3bb00b71-fef5-4f3c-a700-263c7793c292
12,d7a486cd,/en/squads/d7a486cd/2018-2019/Nantes-Stats,Nantes,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d7a486cd.png,38,13,9,16,48,48,0,48,1.26,49.1,47.0,+2.1,+0.05,"25,185",Emiliano Sala-12,Ciprian Tătărușanu,,13,2018-2019,3bb00b71-fef5-4f3c-a700-263c7793c292
13,69236f98,/en/squads/69236f98/2018-2019/Angers-Stats,Angers,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.69236f98.png,38,10,16,12,44,49,-5,46,1.21,50.7,47.9,+2.8,+0.07,"11,189",Stéphane Bahoken-11,Ludovic Butelle,,13,2018-2019,3bb00b71-fef5-4f3c-a700-263c7793c292
14,123f3efe,/en/squads/123f3efe/2018-2019/Bordeaux-Stats,Bordeaux,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.123f3efe.png,38,10,11,17,34,42,-8,41,1.08,39.7,53.5,-13.7,-0.36,"20,838",François Kamano-10,Benoît Costil,,13,2018-2019,3bb00b71-fef5-4f3c-a700-263c7793c292
15,25622401,/en/squads/25622401/2018-2019/Amiens-Stats,Amiens,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.25622401.png,38,9,11,18,31,52,-21,38,1.00,35.4,49.8,-14.5,-0.38,"11,043",Moussa Konaté-7,Régis Gurtner,,13,2018-2019,3bb00b71-fef5-4f3c-a700-263c7793c292
16,3f8c4b5f,/en/squads/3f8c4b5f/2018-2019/Toulouse-Stats,Toulouse,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.3f8c4b5f.png,38,8,14,16,35,57,-22,38,1.00,45.7,56.4,-10.7,-0.28,"16,224",Max Gradel-11,Baptiste Reynet,,13,2018-2019,3bb00b71-fef5-4f3c-a700-263c7793c292
17,fd6114db,/en/squads/fd6114db/2018-2019/Monaco-Stats,Monaco,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fd6114db.png,38,8,12,18,38,57,-19,36,0.95,47.4,50.2,-2.8,-0.07,"8,447",Radamel Falcao-15,Diego Benaglio,,13,2018-2019,3bb00b71-fef5-4f3c-a700-263c7793c292
18,8dfb7350,/en/squads/8dfb7350/2018-2019/Dijon-Stats,Dijon,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.8dfb7350.png,38,9,7,22,31,60,-29,34,0.89,39.8,58.2,-18.5,-0.49,"13,044",Júlio Tavares-5,Rúnar Alex Rúnarsson,→ French 1/2 Relegation/Promotion play-offs,13,2018-2019,3bb00b71-fef5-4f3c-a700-263c7793c292
19,74229020,/en/squads/74229020/2018-2019/Caen-Stats,Caen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.74229020.png,38,7,12,19,29,54,-25,33,0.87,31.0,63.8,-32.8,-0.86,"16,654","Enzo Crivelli,Casimir Ninga-6",Brice Samba,Relegated,13,2018-2019,3bb00b71-fef5-4f3c-a700-263c7793c292
20,d41b5f53,/en/squads/d41b5f53/2018-2019/Guingamp-Stats,Guingamp,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d41b5f53.png,38,5,12,21,28,68,-40,27,0.71,40.4,53.4,-12.9,-0.34,"14,731",Marcus Thuram-9,Marc-Aurèle Caillard,Relegated,13,2018-2019,3bb00b71-fef5-4f3c-a700-263c7793c292
