team_id,team_url,team,players_used,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,competition_id,season_id,id
25622401,/en/squads/25622401/2017-2018/Amiens-Stats,Amiens,30,38.0,658,445,336,252,70,243,623,39.0,380,444,164,280,523,1181,1128,20,13,2017-2018,eb6a7e31-250c-4491-b055-7770bc1a9424
69236f98,/en/squads/69236f98/2017-2018/Angers-Stats,Angers,27,38.0,661,427,350,240,71,244,766,31.9,522,402,79,323,410,1071,853,14,13,2017-2018,eb6a7e31-250c-4491-b055-7770bc1a9424
123f3efe,/en/squads/123f3efe/2017-2018/Bordeaux-Stats,Bordeaux,31,38.0,699,459,311,322,66,246,682,36.1,436,355,110,245,464,1163,855,13,13,2017-2018,eb6a7e31-250c-4491-b055-7770bc1a9424
74229020,/en/squads/74229020/2017-2018/Caen-Stats,Caen,26,38.0,733,478,369,295,69,276,747,36.9,471,450,97,353,476,1209,961,12,13,2017-2018,eb6a7e31-250c-4491-b055-7770bc1a9424
8dfb7350,/en/squads/8dfb7350/2017-2018/Dijon-Stats,Dijon,26,38.0,685,462,363,264,58,250,687,36.4,437,385,118,267,544,1229,977,20,13,2017-2018,eb6a7e31-250c-4491-b055-7770bc1a9424
d41b5f53,/en/squads/d41b5f53/2017-2018/Guingamp-Stats,Guingamp,23,38.0,640,437,310,271,59,228,672,33.9,444,368,121,247,475,1115,976,15,13,2017-2018,eb6a7e31-250c-4491-b055-7770bc1a9424
cb188c0c,/en/squads/cb188c0c/2017-2018/Lille-Stats,Lille,25,38.0,681,453,364,261,56,229,606,37.8,377,378,108,270,492,1173,776,21,13,2017-2018,eb6a7e31-250c-4491-b055-7770bc1a9424
d53c0b06,/en/squads/d53c0b06/2017-2018/Lyon-Stats,Lyon,26,38.0,639,411,283,285,71,207,573,36.1,366,352,101,251,450,1089,863,18,13,2017-2018,eb6a7e31-250c-4491-b055-7770bc1a9424
5725cc7b,/en/squads/5725cc7b/2017-2018/Marseille-Stats,Marseille,26,38.0,757,505,331,340,86,291,755,38.5,464,392,102,290,448,1205,797,17,13,2017-2018,eb6a7e31-250c-4491-b055-7770bc1a9424
f83960ae,/en/squads/f83960ae/2017-2018/Metz-Stats,Metz,36,38.0,707,458,359,281,67,252,682,37.0,430,375,94,281,511,1218,848,12,13,2017-2018,eb6a7e31-250c-4491-b055-7770bc1a9424
fd6114db,/en/squads/fd6114db/2017-2018/Monaco-Stats,Monaco,32,38.0,719,433,283,347,89,263,700,37.6,437,394,107,287,497,1216,1000,9,13,2017-2018,eb6a7e31-250c-4491-b055-7770bc1a9424
281b0e73,/en/squads/281b0e73/2017-2018/Montpellier-Stats,Montpellier,23,38.0,680,450,307,303,70,229,589,38.9,360,343,97,246,499,1179,879,16,13,2017-2018,eb6a7e31-250c-4491-b055-7770bc1a9424
d7a486cd,/en/squads/d7a486cd/2017-2018/Nantes-Stats,Nantes,30,38.0,756,510,383,302,71,272,662,41.1,390,495,138,357,426,1182,1052,14,13,2017-2018,eb6a7e31-250c-4491-b055-7770bc1a9424
132ebc33,/en/squads/132ebc33/2017-2018/Nice-Stats,Nice,31,38.0,588,398,327,215,46,230,572,40.2,342,369,115,254,437,1025,687,32,13,2017-2018,eb6a7e31-250c-4491-b055-7770bc1a9424
e2d8892c,/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats,Paris S-G,28,38.0,646,435,285,264,97,213,594,35.9,381,322,97,225,329,975,620,19,13,2017-2018,eb6a7e31-250c-4491-b055-7770bc1a9424
b3072e00,/en/squads/b3072e00/2017-2018/Rennes-Stats,Rennes,28,38.0,656,409,295,277,84,263,747,35.2,484,408,89,319,415,1071,1012,19,13,2017-2018,eb6a7e31-250c-4491-b055-7770bc1a9424
d298ef2c,/en/squads/d298ef2c/2017-2018/Saint-Etienne-Stats,Saint-Étienne,30,38.0,679,447,364,253,62,243,680,35.7,437,400,121,279,401,1080,965,16,13,2017-2018,eb6a7e31-250c-4491-b055-7770bc1a9424
c0d3eab4,/en/squads/c0d3eab4/2017-2018/Strasbourg-Stats,Strasbourg,25,38.0,750,490,388,298,64,243,661,36.8,418,360,91,269,515,1265,879,20,13,2017-2018,eb6a7e31-250c-4491-b055-7770bc1a9424
3f8c4b5f,/en/squads/3f8c4b5f/2017-2018/Toulouse-Stats,Toulouse,25,38.0,699,465,349,275,75,254,662,38.4,408,392,101,291,479,1178,928,18,13,2017-2018,eb6a7e31-250c-4491-b055-7770bc1a9424
54195385,/en/squads/54195385/2017-2018/Troyes-Stats,Troyes,25,38.0,657,410,365,221,71,225,673,33.4,448,383,129,254,437,1094,1094,18,13,2017-2018,eb6a7e31-250c-4491-b055-7770bc1a9424
