rank,team_id,team_url,team,logo_url,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,attendance_per_g,top_team_scorers,top_keeper,notes,competition_id,season_id,id
1,fd6114db,/en/squads/fd6114db/2016-2017/Monaco-Stats,Monaco,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fd6114db.png,38,30,5,3,107,31,+76,95,2.50,"9,315",Radamel Falcao-21,Danijel Subašić,→ Champions League via league finish,13,2016-2017,ea6c9b9a-a281-4662-9321-11b3735762aa
2,e2d8892c,/en/squads/e2d8892c/2016-2017/Paris-Saint-Germain-Stats,Paris S-G,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e2d8892c.png,38,27,6,5,83,27,+56,87,2.29,"45,159",Edinson Cavani-35,Kevin Trapp,→ Champions League via league finish,13,2016-2017,ea6c9b9a-a281-4662-9321-11b3735762aa
3,132ebc33,/en/squads/132ebc33/2016-2017/Nice-Stats,Nice,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.132ebc33.png,38,22,12,4,63,36,+27,78,2.05,"22,949",Mario Balotelli-15,Yoan Cardinale,→ Champions League via league finish,13,2016-2017,ea6c9b9a-a281-4662-9321-11b3735762aa
4,d53c0b06,/en/squads/d53c0b06/2016-2017/Lyon-Stats,Lyon,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d53c0b06.png,38,21,4,13,77,48,+29,67,1.76,"39,171",Alexandre Lacazette-28,Anthony Lopes,→ Europa League via league finish1,13,2016-2017,ea6c9b9a-a281-4662-9321-11b3735762aa
5,5725cc7b,/en/squads/5725cc7b/2016-2017/Marseille-Stats,Marseille,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.5725cc7b.png,38,17,11,10,57,41,+16,62,1.63,"39,898",Bafétimbi Gomis-20,Yohann Pelé,→ Europa League via league finish2,13,2016-2017,ea6c9b9a-a281-4662-9321-11b3735762aa
6,123f3efe,/en/squads/123f3efe/2016-2017/Bordeaux-Stats,Bordeaux,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.123f3efe.png,38,15,14,9,53,43,+10,59,1.55,"24,217",Diego Rolán-9,Cédric Carrasso,→ Europa League via league finish,13,2016-2017,ea6c9b9a-a281-4662-9321-11b3735762aa
7,d7a486cd,/en/squads/d7a486cd/2016-2017/Nantes-Stats,Nantes,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d7a486cd.png,38,14,9,15,40,54,-14,51,1.34,"23,152",Emiliano Sala-12,Rémy Riou,,13,2016-2017,ea6c9b9a-a281-4662-9321-11b3735762aa
8,d298ef2c,/en/squads/d298ef2c/2016-2017/Saint-Etienne-Stats,Saint-Étienne,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d298ef2c.png,38,12,14,12,41,42,-1,50,1.32,"25,794",Romain Hamouma-7,Stéphane Ruffier,,13,2016-2017,ea6c9b9a-a281-4662-9321-11b3735762aa
9,b3072e00,/en/squads/b3072e00/2016-2017/Rennes-Stats,Rennes,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.b3072e00.png,38,12,14,12,36,42,-6,50,1.32,"22,689",Giovanni Sio-9,Benoît Costil,,13,2016-2017,ea6c9b9a-a281-4662-9321-11b3735762aa
10,d41b5f53,/en/squads/d41b5f53/2016-2017/Guingamp-Stats,Guingamp,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d41b5f53.png,38,14,8,16,46,53,-7,50,1.32,"14,790",Jimmy Briand-12,Karl-Johan Johnsson,,13,2016-2017,ea6c9b9a-a281-4662-9321-11b3735762aa
11,cb188c0c,/en/squads/cb188c0c/2016-2017/Lille-Stats,Lille,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cb188c0c.png,38,13,7,18,40,47,-7,46,1.21,"29,487",Nicolas de Préville-14,Vincent Enyeama,,13,2016-2017,ea6c9b9a-a281-4662-9321-11b3735762aa
