rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,competition_id,season_id,id
1,e2d8892c,/en/squads/e2d8892c/2023-2024/Paris-Saint-Germain-Stats,Paris S-G,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e2d8892c.png,17,9,6,2,42,22,+20,33,1.94,33.5,13.4,+20.1,+1.18,17,13,4,0,39,11,+28,43,2.53,35.3,26.6,+8.7,+0.51,13,2023-2024,382da7a3-817f-4482-8f38-65f940b7b529
2,fd6114db,/en/squads/fd6114db/2023-2024/Monaco-Stats,Monaco,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fd6114db.png,17,10,3,4,30,14,+16,33,1.94,27.8,16.8,+11.0,+0.65,17,10,4,3,38,28,+10,34,2.00,27.2,26.7,+0.5,+0.03,13,2023-2024,382da7a3-817f-4482-8f38-65f940b7b529
3,fb08dbb3,/en/squads/fb08dbb3/2023-2024/Brest-Stats,Brest,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fb08dbb3.png,17,8,7,2,25,14,+11,31,1.82,27.8,15.9,+11.9,+0.70,17,9,3,5,28,20,+8,30,1.76,20.4,23.3,-2.9,-0.17,13,2023-2024,382da7a3-817f-4482-8f38-65f940b7b529
4,cb188c0c,/en/squads/cb188c0c/2023-2024/Lille-Stats,Lille,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cb188c0c.png,17,11,4,2,34,14,+20,37,2.18,31.1,15.1,+16.0,+0.94,17,5,7,5,18,20,-2,22,1.29,17.6,21.4,-3.8,-0.22,13,2023-2024,382da7a3-817f-4482-8f38-65f940b7b529
5,132ebc33,/en/squads/132ebc33/2023-2024/Nice-Stats,Nice,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.132ebc33.png,17,9,4,4,21,11,+10,31,1.82,27.0,15.5,+11.5,+0.68,17,6,6,5,19,18,+1,24,1.41,22.9,20.0,+2.9,+0.17,13,2023-2024,382da7a3-817f-4482-8f38-65f940b7b529
6,d53c0b06,/en/squads/d53c0b06/2023-2024/Lyon-Stats,Lyon,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d53c0b06.png,17,7,4,6,25,29,-4,25,1.47,28.7,25.6,+3.1,+0.18,17,9,1,7,24,26,-2,28,1.65,21.1,26.7,-5.6,-0.33,13,2023-2024,382da7a3-817f-4482-8f38-65f940b7b529
7,fd4e0f7d,/en/squads/fd4e0f7d/2023-2024/Lens-Stats,Lens,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fd4e0f7d.png,17,9,4,4,27,18,+9,31,1.82,34.5,22.2,+12.3,+0.72,17,5,5,7,18,19,-1,20,1.18,19.6,24.5,-4.9,-0.29,13,2023-2024,382da7a3-817f-4482-8f38-65f940b7b529
8,5725cc7b,/en/squads/5725cc7b/2023-2024/Marseille-Stats,Marseille,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.5725cc7b.png,17,10,6,1,31,13,+18,36,2.12,32.1,14.8,+17.3,+1.02,17,3,5,9,21,28,-7,14,0.82,22.7,20.6,+2.2,+0.13,13,2023-2024,382da7a3-817f-4482-8f38-65f940b7b529
9,7fdd64e0,/en/squads/7fdd64e0/2023-2024/Reims-Stats,Reims,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7fdd64e0.png,17,8,3,6,19,18,+1,27,1.59,24.2,21.2,+3.0,+0.18,17,5,5,7,23,29,-6,20,1.18,20.3,25.2,-4.9,-0.29,13,2023-2024,382da7a3-817f-4482-8f38-65f940b7b529
10,b3072e00,/en/squads/b3072e00/2023-2024/Rennes-Stats,Rennes,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.b3072e00.png,17,7,4,6,34,26,+8,25,1.47,32.9,19.8,+13.1,+0.77,17,5,6,6,19,20,-1,21,1.24,20.2,21.5,-1.3,-0.08,13,2023-2024,382da7a3-817f-4482-8f38-65f940b7b529
