ranker,nationality,players,minutes,List,competition_id,season_id,id
1,frFrance,275,"326,683","Florian Thauvin,Alassane Pléa,Nabil Fekir,Benjamin Bourigeaud,Jimmy Briand,Nolan Roux,Ronny Rodelin,Dimitri Payet,Kylian Mbappé,Pierre Lees-Melou...",13,2017-2018,95a8cd01-6c85-4b22-b18b-9291fe40d467
2,brBrazil,35,"58,756","Neymar,Malcom,Fabinho,Luiz Gustavo,Marcelo,Lucas Lima,Jemerson,Dante,Thiago Mendes,Dani Alves...",13,2017-2018,95a8cd01-6c85-4b22-b18b-9291fe40d467
3,snSenegal,33,"39,178","Moussa Konaté,Youssouf Sabaly,Moussa Niakhate,Papy Djilobodji,Keita Baldé,Younousse Sankharé,Ismaila Sarr,Fallou Diagne,Bouna Sarr,Fodé Ballo-Touré...",13,2017-2018,95a8cd01-6c85-4b22-b18b-9291fe40d467
4,ciCôte d'Ivoire,18,"29,607","Nicolas Pépé,Jonathan Bamba,Jean-Eudes Aholou,Giovanni Sio,Jean Seri,Max Gradel,Ismaël Traoré,Koffi Djidji,Maxwel Cornet,Ibrahim Sangaré...",13,2017-2018,95a8cd01-6c85-4b22-b18b-9291fe40d467
,,,,View Complete Nationalities Table,13,2017-2018,95a8cd01-6c85-4b22-b18b-9291fe40d467
