rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,competition_id,season_id,id
1,e2d8892c,/en/squads/e2d8892c/2022-2023/Paris-Saint-Germain-Stats,Paris S-G,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e2d8892c.png,19,13,2,4,45,25,+20,41,2.16,36.7,26.9,+9.8,+0.52,19,14,2,3,44,15,+29,44,2.32,41.5,21.4,+20.1,+1.06,13,2022-2023,a26fe1be-d5c5-4618-887f-91d6f697822b
2,fd4e0f7d,/en/squads/fd4e0f7d/2022-2023/Lens-Stats,Lens,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fd4e0f7d.png,19,17,1,1,41,13,+28,52,2.74,33.8,17.8,+16.0,+0.84,19,8,8,3,27,16,+11,32,1.68,32.9,25.7,+7.2,+0.38,13,2022-2023,a26fe1be-d5c5-4618-887f-91d6f697822b
3,5725cc7b,/en/squads/5725cc7b/2022-2023/Marseille-Stats,Marseille,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.5725cc7b.png,19,10,4,5,35,24,+11,34,1.79,37.2,19.9,+17.3,+0.91,19,12,3,4,32,16,+16,39,2.05,28.1,22.5,+5.5,+0.29,13,2022-2023,a26fe1be-d5c5-4618-887f-91d6f697822b
4,b3072e00,/en/squads/b3072e00/2022-2023/Rennes-Stats,Rennes,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.b3072e00.png,19,15,0,4,43,14,+29,45,2.37,33.0,17.3,+15.7,+0.83,19,6,5,8,26,25,+1,23,1.21,28.4,26.8,+1.6,+0.08,13,2022-2023,a26fe1be-d5c5-4618-887f-91d6f697822b
5,cb188c0c,/en/squads/cb188c0c/2022-2023/Lille-Stats,Lille,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cb188c0c.png,19,13,4,2,40,25,+15,43,2.26,37.1,17.5,+19.6,+1.03,19,6,6,7,25,19,+6,24,1.26,31.6,23.0,+8.6,+0.45,13,2022-2023,a26fe1be-d5c5-4618-887f-91d6f697822b
6,fd6114db,/en/squads/fd6114db/2022-2023/Monaco-Stats,Monaco,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fd6114db.png,19,9,3,7,37,33,+4,30,1.58,31.7,29.3,+2.4,+0.13,19,10,5,4,33,25,+8,35,1.84,30.4,23.9,+6.5,+0.34,13,2022-2023,a26fe1be-d5c5-4618-887f-91d6f697822b
7,d53c0b06,/en/squads/d53c0b06/2022-2023/Lyon-Stats,Lyon,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d53c0b06.png,19,10,5,4,35,19,+16,35,1.84,33.8,23.8,+10.0,+0.53,19,8,3,8,30,28,+2,27,1.42,27.3,27.8,-0.5,-0.02,13,2022-2023,a26fe1be-d5c5-4618-887f-91d6f697822b
8,d9676424,/en/squads/d9676424/2022-2023/Clermont-Foot-Stats,Clermont Foot,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d9676424.png,19,9,3,7,20,28,-8,30,1.58,24.8,27.3,-2.6,-0.14,19,8,5,6,25,21,+4,29,1.53,22.7,30.9,-8.2,-0.43,13,2022-2023,a26fe1be-d5c5-4618-887f-91d6f697822b
9,132ebc33,/en/squads/132ebc33/2022-2023/Nice-Stats,Nice,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.132ebc33.png,19,7,7,5,24,18,+6,28,1.47,28.5,20.4,+8.1,+0.43,19,8,6,5,24,19,+5,30,1.58,28.7,24.2,+4.5,+0.24,13,2022-2023,a26fe1be-d5c5-4618-887f-91d6f697822b
10,d2c87802,/en/squads/d2c87802/2022-2023/Lorient-Stats,Lorient,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d2c87802.png,19,9,4,6,26,21,+5,31,1.63,23.0,23.7,-0.7,-0.04,19,6,6,7,26,32,-6,24,1.26,21.5,34.5,-12.9,-0.68,13,2022-2023,a26fe1be-d5c5-4618-887f-91d6f697822b
11,7fdd64e0,/en/squads/7fdd64e0/2022-2023/Reims-Stats,Reims,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7fdd64e0.png,19,8,6,5,28,23,+5,30,1.58,36.1,22.9,+13.2,+0.69,19,4,9,6,17,22,-5,21,1.11,25.4,29.8,-4.3,-0.23,13,2022-2023,a26fe1be-d5c5-4618-887f-91d6f697822b
12,281b0e73,/en/squads/281b0e73/2022-2023/Montpellier-Stats,Montpellier,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.281b0e73.png,19,7,3,9,29,29,0,24,1.26,28.9,31.8,-2.9,-0.15,19,8,2,9,36,33,+3,26,1.37,23.3,30.4,-7.0,-0.37,13,2022-2023,a26fe1be-d5c5-4618-887f-91d6f697822b
13,3f8c4b5f,/en/squads/3f8c4b5f/2022-2023/Toulouse-Stats,Toulouse,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.3f8c4b5f.png,19,6,6,7,27,27,0,24,1.26,27.7,26.2,+1.5,+0.08,19,7,3,9,24,30,-6,24,1.26,24.9,30.8,-6.0,-0.31,13,2022-2023,a26fe1be-d5c5-4618-887f-91d6f697822b
