team_id,team_url,team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,competition_id,season_id,id
25622401,/en/squads/25622401/2019-2020/Amiens-Stats,Amiens,27,28.0,30,229,77,33.6,8.18,2.75,0.12,0.35,19.3,13,3,5,27.4,23.4,0.10,+2.6,+3.6,13,2019-2020,3dfaecff-cd42-4f18-8a96-9737ddbeb42d
69236f98,/en/squads/69236f98/2019-2020/Angers-Stats,Angers,26,28.0,27,363,113,31.1,12.96,4.04,0.07,0.23,19.2,16,1,1,29.3,28.5,0.08,-2.3,-2.5,13,2019-2020,3dfaecff-cd42-4f18-8a96-9737ddbeb42d
123f3efe,/en/squads/123f3efe/2019-2020/Bordeaux-Stats,Bordeaux,26,28.0,40,308,106,34.4,11.00,3.79,0.12,0.36,19.8,21,2,2,30.4,28.8,0.09,+9.6,+9.2,13,2019-2020,3dfaecff-cd42-4f18-8a96-9737ddbeb42d
fb08dbb3,/en/squads/fb08dbb3/2019-2020/Brest-Stats,Brest,24,28.0,32,320,97,30.3,11.43,3.46,0.10,0.32,19.2,7,1,5,30.7,26.8,0.08,+1.3,+4.2,13,2019-2020,3dfaecff-cd42-4f18-8a96-9737ddbeb42d
8dfb7350,/en/squads/8dfb7350/2019-2020/Dijon-Stats,Dijon,28,28.0,26,335,100,29.9,11.96,3.57,0.07,0.25,18.7,11,1,1,30.5,29.9,0.09,-4.5,-4.9,13,2019-2020,3dfaecff-cd42-4f18-8a96-9737ddbeb42d
cb188c0c,/en/squads/cb188c0c/2019-2020/Lille-Stats,Lille,25,28.0,35,342,121,35.4,12.21,4.32,0.09,0.25,18.6,10,5,8,40.3,34.0,0.10,-5.3,-4.0,13,2019-2020,3dfaecff-cd42-4f18-8a96-9737ddbeb42d
d53c0b06,/en/squads/d53c0b06/2019-2020/Lyon-Stats,Lyon,27,28.0,42,354,130,36.7,12.64,4.64,0.10,0.28,19.1,15,5,6,37.6,33.0,0.09,+4.4,+4.0,13,2019-2020,3dfaecff-cd42-4f18-8a96-9737ddbeb42d
5725cc7b,/en/squads/5725cc7b/2019-2020/Marseille-Stats,Marseille,23,28.0,38,370,115,31.1,13.21,4.11,0.09,0.30,19.7,20,4,6,36.2,31.6,0.09,+1.8,+2.4,13,2019-2020,3dfaecff-cd42-4f18-8a96-9737ddbeb42d
f83960ae,/en/squads/f83960ae/2019-2020/Metz-Stats,Metz,24,28.0,27,306,96,31.4,10.93,3.43,0.08,0.26,20.7,19,2,4,27.1,24.0,0.08,-0.1,+1.0,13,2019-2020,3dfaecff-cd42-4f18-8a96-9737ddbeb42d
fd6114db,/en/squads/fd6114db/2019-2020/Monaco-Stats,Monaco,28,28.0,44,376,135,35.9,13.43,4.82,0.11,0.30,16.9,16,4,4,48.9,45.7,0.13,-4.9,-5.7,13,2019-2020,3dfaecff-cd42-4f18-8a96-9737ddbeb42d
