rank,team_id,team_url,team,logo_url,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,attendance_per_g,top_team_scorers,top_keeper,notes,competition_id,season_id,id
1,e2d8892c,/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats,Paris S-G,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e2d8892c.png,38,29,6,3,108,29,+79,93,2.45,86.1,34.3,+51.7,+1.36,"46,930",Edinson Cavani-28,Alphonse Areola,→ Champions League via league finish,13,2017-2018,03730275-eff3-4509-a979-52979325c331
2,fd6114db,/en/squads/fd6114db/2017-2018/Monaco-Stats,Monaco,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fd6114db.png,38,24,8,6,85,45,+40,80,2.11,62.3,48.5,+13.8,+0.36,"9,243",Radamel Falcao-18,Danijel Subašić,→ Champions League via league finish,13,2017-2018,03730275-eff3-4509-a979-52979325c331
3,d53c0b06,/en/squads/d53c0b06/2017-2018/Lyon-Stats,Lyon,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d53c0b06.png,38,23,9,6,87,43,+44,78,2.05,63.4,40.1,+23.3,+0.61,"44,047",Memphis-19,Anthony Lopes,→ Champions League via league finish,13,2017-2018,03730275-eff3-4509-a979-52979325c331
4,5725cc7b,/en/squads/5725cc7b/2017-2018/Marseille-Stats,Marseille,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.5725cc7b.png,38,22,11,5,80,47,+33,77,2.03,78.1,41.8,+36.3,+0.96,"46,616",Florian Thauvin-22,Steve Mandanda,→ Europa League via league finish,13,2017-2018,03730275-eff3-4509-a979-52979325c331
5,b3072e00,/en/squads/b3072e00/2017-2018/Rennes-Stats,Rennes,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.b3072e00.png,38,16,10,12,50,44,+6,58,1.53,49.8,49.3,+0.5,+0.01,"23,111",Benjamin Bourigeaud-10,Tomáš Koubek,→ Europa League via league finish1,13,2017-2018,03730275-eff3-4509-a979-52979325c331
6,123f3efe,/en/squads/123f3efe/2017-2018/Bordeaux-Stats,Bordeaux,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.123f3efe.png,38,16,7,15,53,48,+5,55,1.45,51.0,43.6,+7.5,+0.20,"26,048",Malcom-12,Benoît Costil,→ Europa League via league finish2,13,2017-2018,03730275-eff3-4509-a979-52979325c331
7,d298ef2c,/en/squads/d298ef2c/2017-2018/Saint-Etienne-Stats,Saint-Étienne,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d298ef2c.png,38,15,10,13,47,50,-3,55,1.45,51.0,54.1,-3.1,-0.08,"27,563","Jonathan Bamba,Rémy Cabella... -7",Stéphane Ruffier,,13,2017-2018,03730275-eff3-4509-a979-52979325c331
8,132ebc33,/en/squads/132ebc33/2017-2018/Nice-Stats,Nice,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.132ebc33.png,38,15,9,14,53,52,+1,54,1.42,49.2,49.5,-0.3,-0.01,"22,876",Mario Balotelli-18,Walter Benítez,,13,2017-2018,03730275-eff3-4509-a979-52979325c331
9,d7a486cd,/en/squads/d7a486cd/2017-2018/Nantes-Stats,Nantes,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d7a486cd.png,38,14,10,14,36,41,-5,52,1.37,41.8,38.1,+3.7,+0.10,"24,559",Emiliano Sala-12,Ciprian Tătărușanu,,13,2017-2018,03730275-eff3-4509-a979-52979325c331
10,281b0e73,/en/squads/281b0e73/2017-2018/Montpellier-Stats,Montpellier,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.281b0e73.png,38,11,18,9,36,33,+3,51,1.34,42.6,39.0,+3.6,+0.10,"13,458",Giovanni Sio-10,Benjamin Lecomte,,13,2017-2018,03730275-eff3-4509-a979-52979325c331
