rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,competition_id,season_id,id
1,b8fd03ef,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats,Manchester City,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.b8fd03ef.png,19,17,1,1,60,17,+43,52,2.74,42.7,12.8,+29.9,+1.57,19,11,4,4,34,16,+18,37,1.95,35.9,19.3,+16.6,+0.87,9,2022-2023,a692c491-a963-438b-a0a0-39e7859f894b
2,18bb7c10,/en/squads/18bb7c10/2022-2023/Arsenal-Stats,Arsenal,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.18bb7c10.png,19,14,3,2,53,25,+28,45,2.37,42.5,19.2,+23.3,+1.22,19,12,3,4,35,18,+17,39,2.05,29.1,22.7,+6.4,+0.34,9,2022-2023,a692c491-a963-438b-a0a0-39e7859f894b
3,19538871,/en/squads/19538871/2022-2023/Manchester-United-Stats,Manchester Utd,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.19538871.png,19,15,3,1,36,10,+26,48,2.53,40.9,19.4,+21.5,+1.13,19,8,3,8,22,33,-11,27,1.42,26.7,31.0,-4.3,-0.22,9,2022-2023,a692c491-a963-438b-a0a0-39e7859f894b
4,b2b47a98,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats,Newcastle Utd,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.b2b47a98.png,19,11,6,2,36,14,+22,39,2.05,43.3,15.6,+27.7,+1.46,19,8,8,3,32,19,+13,32,1.68,28.6,23.9,+4.7,+0.25,9,2022-2023,a692c491-a963-438b-a0a0-39e7859f894b
5,822bd0ba,/en/squads/822bd0ba/2022-2023/Liverpool-Stats,Liverpool,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.822bd0ba.png,19,13,5,1,46,17,+29,44,2.32,40.6,20.2,+20.4,+1.07,19,6,5,8,29,30,-1,23,1.21,30.9,30.5,+0.4,+0.02,9,2022-2023,a692c491-a963-438b-a0a0-39e7859f894b
6,d07537b9,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats,Brighton,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d07537b9.png,19,10,4,5,37,21,+16,34,1.79,40.7,22.6,+18.1,+0.95,19,8,4,7,35,32,+3,28,1.47,32.6,27.5,+5.0,+0.27,9,2022-2023,a692c491-a963-438b-a0a0-39e7859f894b
7,8602292d,/en/squads/8602292d/2022-2023/Aston-Villa-Stats,Aston Villa,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.8602292d.png,19,12,2,5,33,21,+12,38,2.00,29.3,23.7,+5.7,+0.30,19,6,5,8,18,25,-7,23,1.21,20.9,28.8,-7.9,-0.41,9,2022-2023,a692c491-a963-438b-a0a0-39e7859f894b
8,361ca564,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats,Tottenham,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.361ca564.png,19,12,1,6,37,25,+12,37,1.95,31.1,20.5,+10.6,+0.56,19,6,5,8,33,38,-5,23,1.21,25.9,29.1,-3.2,-0.17,9,2022-2023,a692c491-a963-438b-a0a0-39e7859f894b
9,cd051869,/en/squads/cd051869/2022-2023/Brentford-Stats,Brentford,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cd051869.png,19,10,7,2,35,18,+17,37,1.95,32.8,20.9,+11.8,+0.62,19,5,7,7,23,28,-5,22,1.16,23.5,27.8,-4.4,-0.23,9,2022-2023,a692c491-a963-438b-a0a0-39e7859f894b
10,fd962109,/en/squads/fd962109/2022-2023/Fulham-Stats,Fulham,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fd962109.png,19,8,5,6,31,29,+2,29,1.53,24.3,29.7,-5.4,-0.29,19,7,2,10,24,24,0,23,1.21,21.9,33.9,-12.0,-0.63,9,2022-2023,a692c491-a963-438b-a0a0-39e7859f894b
