rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,competition_id,season_id,id
1,822bd0ba,/en/squads/822bd0ba/2019-2020/Liverpool-Stats,Liverpool,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.822bd0ba.png,19,18,1,0,52,16,+36,55,2.89,39.1,16.9,+22.1,+1.16,19,14,2,3,33,17,+16,44,2.32,29.8,20.8,+9.0,+0.47,9,2019-2020,71e8eb7a-f7a9-49cd-a619-add3b2723718
2,b8fd03ef,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats,Manchester City,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.b8fd03ef.png,19,15,2,2,57,13,+44,47,2.47,45.7,14.4,+31.3,+1.65,19,11,1,7,45,22,+23,34,1.79,46.2,21.8,+24.5,+1.29,9,2019-2020,71e8eb7a-f7a9-49cd-a619-add3b2723718
3,19538871,/en/squads/19538871/2019-2020/Manchester-United-Stats,Manchester Utd,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.19538871.png,19,10,7,2,40,17,+23,37,1.95,33.7,18.0,+15.7,+0.82,19,8,5,6,26,19,+7,29,1.53,28.5,19.7,+8.8,+0.46,9,2019-2020,71e8eb7a-f7a9-49cd-a619-add3b2723718
4,cff3d9bb,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats,Chelsea,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cff3d9bb.png,19,11,3,5,30,16,+14,36,1.89,40.4,11.9,+28.5,+1.50,19,9,3,7,39,38,+1,30,1.58,28.8,26.7,+2.1,+0.11,9,2019-2020,71e8eb7a-f7a9-49cd-a619-add3b2723718
5,a2d435b3,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats,Leicester City,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a2d435b3.png,19,11,4,4,35,17,+18,37,1.95,28.4,21.9,+6.5,+0.34,19,7,4,8,32,24,+8,25,1.32,33.8,23.6,+10.2,+0.54,9,2019-2020,71e8eb7a-f7a9-49cd-a619-add3b2723718
6,361ca564,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats,Tottenham,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.361ca564.png,19,12,3,4,36,17,+19,39,2.05,25.6,22.9,+2.7,+0.14,19,4,8,7,25,30,-5,20,1.05,22.3,31.3,-9.0,-0.47,9,2019-2020,71e8eb7a-f7a9-49cd-a619-add3b2723718
7,8cec06e1,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats,Wolves,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.8cec06e1.png,19,8,7,4,27,19,+8,31,1.63,29.5,18.1,+11.5,+0.60,19,7,7,5,24,21,+3,28,1.47,24.6,19.9,+4.7,+0.24,9,2019-2020,71e8eb7a-f7a9-49cd-a619-add3b2723718
8,18bb7c10,/en/squads/18bb7c10/2019-2020/Arsenal-Stats,Arsenal,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.18bb7c10.png,19,10,6,3,36,24,+12,36,1.89,26.3,29.0,-2.7,-0.14,19,4,8,7,20,24,-4,20,1.05,20.7,26.3,-5.6,-0.30,9,2019-2020,71e8eb7a-f7a9-49cd-a619-add3b2723718
9,1df6b87e,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats,Sheffield Utd,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.1df6b87e.png,19,10,3,6,24,15,+9,33,1.74,26.9,21.3,+5.6,+0.29,19,4,9,6,15,24,-9,21,1.11,16.2,29.7,-13.5,-0.71,9,2019-2020,71e8eb7a-f7a9-49cd-a619-add3b2723718
10,943e8050,/en/squads/943e8050/2019-2020/Burnley-Stats,Burnley,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.943e8050.png,19,8,4,7,24,23,+1,28,1.47,30.5,23.9,+6.5,+0.34,19,7,5,7,19,27,-8,26,1.37,16.9,25.8,-8.9,-0.47,9,2019-2020,71e8eb7a-f7a9-49cd-a619-add3b2723718
