team_id,team_url,team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,competition_id,season_id,id
squads,/en/squads/18bb7c10/Arsenal-Stats,Arsenal,21,5.0,10,65,16,24.6,13.00,3.20,0.14,0.56,15.4,2,1,1,7.1,6.3,0.10,+2.9,+2.7,9,2025-2026,7ca48c60-8311-4933-be36-8f85dcce39c1
squads,/en/squads/8602292d/Aston-Villa-Stats,Aston Villa,22,5.0,1,52,12,23.1,10.40,2.40,0.02,0.08,18.4,1,0,0,3.7,3.7,0.07,-2.7,-2.7,9,2025-2026,7ca48c60-8311-4933-be36-8f85dcce39c1
squads,/en/squads/4ba7cbea/Bournemouth-Stats,Bournemouth,22,5.0,6,67,19,28.4,13.40,3.80,0.07,0.26,18.2,7,1,1,6.4,5.6,0.09,-0.4,-0.6,9,2025-2026,7ca48c60-8311-4933-be36-8f85dcce39c1
squads,/en/squads/cd051869/Brentford-Stats,Brentford,20,5.0,6,39,14,35.9,7.80,2.80,0.13,0.36,13.8,0,1,2,5.8,4.3,0.12,+0.2,+0.7,9,2025-2026,7ca48c60-8311-4933-be36-8f85dcce39c1
squads,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,Brighton,20,5.0,6,50,18,36.0,10.00,3.60,0.08,0.22,19.5,1,2,3,8.0,5.7,0.12,-2.0,-1.7,9,2025-2026,7ca48c60-8311-4933-be36-8f85dcce39c1
squads,/en/squads/943e8050/Burnley-Stats,Burnley,19,5.0,5,42,14,33.3,8.40,2.80,0.12,0.36,17.1,3,0,0,4.1,4.1,0.10,+0.9,+0.9,9,2025-2026,7ca48c60-8311-4933-be36-8f85dcce39c1
squads,/en/squads/cff3d9bb/Chelsea-Stats,Chelsea,22,5.0,10,64,21,32.8,12.80,4.20,0.14,0.43,16.1,2,1,1,8.1,7.3,0.12,+1.9,+1.7,9,2025-2026,7ca48c60-8311-4933-be36-8f85dcce39c1
squads,/en/squads/47c64c55/Crystal-Palace-Stats,Crystal Palace,20,5.0,6,56,20,35.7,11.20,4.00,0.09,0.25,17.1,0,1,1,8.3,7.5,0.14,-2.3,-2.5,9,2025-2026,7ca48c60-8311-4933-be36-8f85dcce39c1
squads,/en/squads/d3fd31cc/Everton-Stats,Everton,19,5.0,6,57,12,21.1,11.40,2.40,0.11,0.50,16.1,2,0,0,7.0,7.0,0.12,-1.0,-1.0,9,2025-2026,7ca48c60-8311-4933-be36-8f85dcce39c1
squads,/en/squads/fd962109/Fulham-Stats,Fulham,19,5.0,4,50,12,24.0,10.00,2.40,0.08,0.33,14.9,2,0,0,5.3,5.3,0.11,-1.3,-1.3,9,2025-2026,7ca48c60-8311-4933-be36-8f85dcce39c1
squads,/en/squads/5bfb9659/Leeds-United-Stats,Leeds United,21,5.0,4,49,11,22.4,9.80,2.20,0.06,0.27,18.6,2,1,1,4.2,3.5,0.07,-0.2,-0.5,9,2025-2026,7ca48c60-8311-4933-be36-8f85dcce39c1
squads,/en/squads/822bd0ba/Liverpool-Stats,Liverpool,21,5.0,11,70,23,32.9,14.00,4.60,0.14,0.43,18.4,3,1,1,6.9,6.2,0.09,+4.1,+3.8,9,2025-2026,7ca48c60-8311-4933-be36-8f85dcce39c1
squads,/en/squads/b8fd03ef/Manchester-City-Stats,Manchester City,22,5.0,9,55,20,36.4,11.00,4.00,0.16,0.45,15.1,1,0,0,9.4,9.4,0.17,-0.4,-0.4,9,2025-2026,7ca48c60-8311-4933-be36-8f85dcce39c1
squads,/en/squads/19538871/Manchester-United-Stats,Manchester Utd,19,5.0,4,79,21,26.6,15.80,4.20,0.04,0.14,16.1,2,1,2,9.7,8.1,0.11,-5.7,-5.1,9,2025-2026,7ca48c60-8311-4933-be36-8f85dcce39c1
squads,/en/squads/b2b47a98/Newcastle-United-Stats,Newcastle Utd,21,5.0,3,54,13,24.1,10.80,2.60,0.06,0.23,19.8,1,0,0,4.6,4.6,0.09,-1.6,-1.6,9,2025-2026,7ca48c60-8311-4933-be36-8f85dcce39c1
squads,/en/squads/e4a775cb/Nottingham-Forest-Stats,Nott'ham Forest,22,5.0,5,53,18,34.0,10.60,3.60,0.09,0.28,17.5,0,0,0,4.8,4.8,0.09,+0.2,+0.2,9,2025-2026,7ca48c60-8311-4933-be36-8f85dcce39c1
squads,/en/squads/8ef52968/Sunderland-Stats,Sunderland,22,5.0,6,50,12,24.0,10.00,2.40,0.10,0.42,15.5,0,1,1,4.4,3.7,0.07,+1.6,+1.3,9,2025-2026,7ca48c60-8311-4933-be36-8f85dcce39c1
squads,/en/squads/361ca564/Tottenham-Hotspur-Stats,Tottenham,19,5.0,9,58,20,34.5,11.60,4.00,0.16,0.45,14.2,1,0,0,6.0,6.0,0.11,+3.0,+3.0,9,2025-2026,7ca48c60-8311-4933-be36-8f85dcce39c1
squads,/en/squads/7c21e445/West-Ham-United-Stats,West Ham,22,5.0,5,50,21,42.0,10.00,4.20,0.08,0.19,14.8,1,1,1,4.9,4.2,0.08,+0.1,-0.2,9,2025-2026,7ca48c60-8311-4933-be36-8f85dcce39c1
squads,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats,Wolves,23,5.0,3,51,17,33.3,10.20,3.40,0.06,0.18,16.8,2,0,0,4.4,4.4,0.09,-1.4,-1.4,9,2025-2026,7ca48c60-8311-4933-be36-8f85dcce39c1
