ranker,nationality,players,minutes,List,competition_id,season_id,id
1,engEngland,263,"242,249","Harry Kane,Jarrod Bowen,Bukayo Saka,James Ward-Prowse,Ivan Toney,James Maddison,Mason Mount,Ollie Watkins,Trent Alexander-Arnold,Conor Gallagher...",9,2021-2022,ce2459cd-d872-4d80-846c-8f87e9fd0cee
2,esSpain,32,"49,091","Rodri,Pablo Fornals,David de Gea,Robert Sánchez,Marc Cucurella,Oriol Romeu,Aymeric Laporte,Rodrigo,Marcos Alonso,Vicente Guaita...",9,2021-2022,ce2459cd-d872-4d80-846c-8f87e9fd0cee
3,frFrance,31,"40,568","Allan Saint-Maximin,Moussa Sissoko,Hugo Lloris,Illan Meslier,Neal Maupay,Lucas Digne,Alexandre Lacazette,Odsonne Édouard,Pierre Lees-Melou,N'Golo Kanté...",9,2021-2022,ce2459cd-d872-4d80-846c-8f87e9fd0cee
4,brBrazil,29,"49,037","Raphinha,Richarlison,Gabriel Magalhães,Alisson,Ederson,Gabriel Jesus,Douglas Luiz,Joelinton,Gabriel Martinelli,Thiago Silva...",9,2021-2022,ce2459cd-d872-4d80-846c-8f87e9fd0cee
,,,,View Complete Nationalities Table,9,2021-2022,ce2459cd-d872-4d80-846c-8f87e9fd0cee
