rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,competition_id,season_id,id
1,cff3d9bb,/en/squads/cff3d9bb/2016-2017/Chelsea-Stats,Chelsea,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cff3d9bb.png,19,17,0,2,55,17,+38,51,2.68,19,13,3,3,30,16,+14,42,2.21,9,2016-2017,96a4f704-7658-4992-8177-186cd5a5ee7f
2,361ca564,/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats,Tottenham,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.361ca564.png,19,17,2,0,47,9,+38,53,2.79,19,9,6,4,39,17,+22,33,1.74,9,2016-2017,96a4f704-7658-4992-8177-186cd5a5ee7f
3,b8fd03ef,/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats,Manchester City,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.b8fd03ef.png,19,11,7,1,37,17,+20,40,2.11,19,12,2,5,43,22,+21,38,2.00,9,2016-2017,96a4f704-7658-4992-8177-186cd5a5ee7f
4,822bd0ba,/en/squads/822bd0ba/2016-2017/Liverpool-Stats,Liverpool,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.822bd0ba.png,19,12,5,2,45,18,+27,41,2.16,19,10,5,4,33,24,+9,35,1.84,9,2016-2017,96a4f704-7658-4992-8177-186cd5a5ee7f
5,18bb7c10,/en/squads/18bb7c10/2016-2017/Arsenal-Stats,Arsenal,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.18bb7c10.png,19,14,3,2,39,16,+23,45,2.37,19,9,3,7,38,28,+10,30,1.58,9,2016-2017,96a4f704-7658-4992-8177-186cd5a5ee7f
6,19538871,/en/squads/19538871/2016-2017/Manchester-United-Stats,Manchester Utd,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.19538871.png,19,8,10,1,26,12,+14,34,1.79,19,10,5,4,28,17,+11,35,1.84,9,2016-2017,96a4f704-7658-4992-8177-186cd5a5ee7f
7,d3fd31cc,/en/squads/d3fd31cc/2016-2017/Everton-Stats,Everton,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d3fd31cc.png,19,13,4,2,42,16,+26,43,2.26,19,4,6,9,20,28,-8,18,0.95,9,2016-2017,96a4f704-7658-4992-8177-186cd5a5ee7f
8,33c895d4,/en/squads/33c895d4/2016-2017/Southampton-Stats,Southampton,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.33c895d4.png,19,6,6,7,17,21,-4,24,1.26,19,6,4,9,24,27,-3,22,1.16,9,2016-2017,96a4f704-7658-4992-8177-186cd5a5ee7f
9,4ba7cbea,/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats,Bournemouth,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.4ba7cbea.png,19,9,4,6,35,29,+6,31,1.63,19,3,6,10,20,38,-18,15,0.79,9,2016-2017,96a4f704-7658-4992-8177-186cd5a5ee7f
10,60c6b05f,/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats,West Brom,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.60c6b05f.png,19,9,2,8,27,22,+5,29,1.53,19,3,7,9,16,29,-13,16,0.84,9,2016-2017,96a4f704-7658-4992-8177-186cd5a5ee7f
11,7c21e445,/en/squads/7c21e445/2016-2017/West-Ham-United-Stats,West Ham,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7c21e445.png,19,7,4,8,19,31,-12,25,1.32,19,5,5,9,28,33,-5,20,1.05,9,2016-2017,96a4f704-7658-4992-8177-186cd5a5ee7f
12,a2d435b3,/en/squads/a2d435b3/2016-2017/Leicester-City-Stats,Leicester City,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a2d435b3.png,19,10,4,5,31,25,+6,34,1.79,19,2,4,13,17,38,-21,10,0.53,9,2016-2017,96a4f704-7658-4992-8177-186cd5a5ee7f
13,17892952,/en/squads/17892952/2016-2017/Stoke-City-Stats,Stoke City,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.17892952.png,19,7,6,6,24,24,0,27,1.42,19,4,5,10,17,32,-15,17,0.89,9,2016-2017,96a4f704-7658-4992-8177-186cd5a5ee7f
14,47c64c55,/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats,Crystal Palace,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.47c64c55.png,19,6,2,11,24,25,-1,20,1.05,19,6,3,10,26,38,-12,21,1.11,9,2016-2017,96a4f704-7658-4992-8177-186cd5a5ee7f
15,fb10988f,/en/squads/fb10988f/2016-2017/Swansea-City-Stats,Swansea City,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fb10988f.png,19,8,3,8,27,34,-7,27,1.42,19,4,2,13,18,36,-18,14,0.74,9,2016-2017,96a4f704-7658-4992-8177-186cd5a5ee7f
16,943e8050,/en/squads/943e8050/2016-2017/Burnley-Stats,Burnley,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.943e8050.png,19,10,3,6,26,20,+6,33,1.74,19,1,4,14,13,35,-22,7,0.37,9,2016-2017,96a4f704-7658-4992-8177-186cd5a5ee7f
