rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,competition_id,season_id,id
1,squads,/en/squads/822bd0ba/Liverpool-Stats,Liverpool,https://cdn.ssref.net/req/202508071/tlogo/fb/mini.822bd0ba.png,3,3,0,0,7,3,+4,9,3.00,3.6,2.9,+0.7,+0.25,2,2,0,0,4,2,+2,6,3.00,3.3,1.1,+2.1,+1.07,9,2025-2026,e3200718-fe35-4d17-ae3e-83c053f480f1
2,squads,/en/squads/18bb7c10/Arsenal-Stats,Arsenal,https://cdn.ssref.net/req/202508071/tlogo/fb/mini.18bb7c10.png,3,2,1,0,9,1,+8,7,2.33,5.4,1.3,+4.1,+1.36,2,1,0,1,1,1,0,3,1.50,1.8,2.0,-0.2,-0.12,9,2025-2026,e3200718-fe35-4d17-ae3e-83c053f480f1
3,squads,/en/squads/361ca564/Tottenham-Hotspur-Stats,Tottenham,https://cdn.ssref.net/req/202508071/tlogo/fb/mini.361ca564.png,2,1,0,1,3,1,+2,3,1.50,2.5,2.4,0.0,+0.02,3,2,1,0,7,2,+5,7,2.33,3.5,3.5,0.0,0.00,9,2025-2026,e3200718-fe35-4d17-ae3e-83c053f480f1
4,squads,/en/squads/4ba7cbea/Bournemouth-Stats,Bournemouth,https://cdn.ssref.net/req/202508071/tlogo/fb/mini.4ba7cbea.png,3,2,1,0,3,1,+2,7,2.33,3.2,1.3,+1.9,+0.63,2,1,0,1,3,4,-1,3,1.50,3.2,2.4,+0.8,+0.42,9,2025-2026,e3200718-fe35-4d17-ae3e-83c053f480f1
5,squads,/en/squads/47c64c55/Crystal-Palace-Stats,Crystal Palace,https://cdn.ssref.net/req/202508071/tlogo/fb/mini.47c64c55.png,2,0,2,0,1,1,0,2,1.00,2.9,1.3,+1.5,+0.77,3,2,1,0,5,1,+4,7,2.33,5.4,3.3,+2.1,+0.71,9,2025-2026,e3200718-fe35-4d17-ae3e-83c053f480f1
6,squads,/en/squads/cff3d9bb/Chelsea-Stats,Chelsea,https://cdn.ssref.net/req/202508071/tlogo/fb/mini.cff3d9bb.png,2,1,1,0,2,0,+2,4,2.00,3.7,1.6,+2.1,+1.06,3,1,1,1,8,5,+3,4,1.33,4.4,3.9,+0.5,+0.16,9,2025-2026,e3200718-fe35-4d17-ae3e-83c053f480f1
7,squads,/en/squads/8ef52968/Sunderland-Stats,Sunderland,https://cdn.ssref.net/req/202508071/tlogo/fb/mini.8ef52968.png,3,2,1,0,6,2,+4,7,2.33,3.3,2.5,+0.7,+0.25,2,0,1,1,0,2,-2,1,0.50,1.2,2.8,-1.6,-0.80,9,2025-2026,e3200718-fe35-4d17-ae3e-83c053f480f1
8,squads,/en/squads/fd962109/Fulham-Stats,Fulham,https://cdn.ssref.net/req/202508071/tlogo/fb/mini.fd962109.png,3,2,1,0,5,2,+3,7,2.33,3.6,3.0,+0.6,+0.21,2,0,1,1,1,3,-2,1,0.50,1.7,3.6,-1.9,-0.96,9,2025-2026,e3200718-fe35-4d17-ae3e-83c053f480f1
9,squads,/en/squads/b8fd03ef/Manchester-City-Stats,Manchester City,https://cdn.ssref.net/req/202508071/tlogo/fb/mini.b8fd03ef.png,2,1,0,1,3,2,+1,3,1.50,4.2,2.3,+1.9,+0.96,3,1,1,1,6,3,+3,4,1.33,5.1,3.7,+1.4,+0.48,9,2025-2026,e3200718-fe35-4d17-ae3e-83c053f480f1
10,squads,/en/squads/d3fd31cc/Everton-Stats,Everton,https://cdn.ssref.net/req/202508071/tlogo/fb/mini.d3fd31cc.png,2,1,1,0,2,0,+2,4,2.00,3.6,2.8,+0.8,+0.39,3,1,0,2,4,5,-1,3,1.00,3.4,4.0,-0.6,-0.21,9,2025-2026,e3200718-fe35-4d17-ae3e-83c053f480f1
11,squads,/en/squads/19538871/Manchester-United-Stats,Manchester Utd,https://cdn.ssref.net/req/202508071/tlogo/fb/mini.19538871.png,3,2,0,1,5,4,+1,6,2.00,6.9,2.9,+4.0,+1.32,2,0,1,1,1,4,-3,1,0.50,2.8,4.4,-1.6,-0.80,9,2025-2026,e3200718-fe35-4d17-ae3e-83c053f480f1
12,squads,/en/squads/5bfb9659/Leeds-United-Stats,Leeds United,https://cdn.ssref.net/req/202508071/tlogo/fb/mini.5bfb9659.png,2,1,1,0,1,0,+1,4,2.00,2.7,1.2,+1.5,+0.74,3,1,0,2,3,7,-4,3,1.00,1.5,5.3,-3.9,-1.29,9,2025-2026,e3200718-fe35-4d17-ae3e-83c053f480f1
13,squads,/en/squads/b2b47a98/Newcastle-United-Stats,Newcastle Utd,https://cdn.ssref.net/req/202508071/tlogo/fb/mini.b2b47a98.png,2,1,0,1,3,3,0,3,1.50,2.5,1.2,+1.3,+0.66,3,0,3,0,0,0,0,3,1.00,2.1,1.3,+0.8,+0.26,9,2025-2026,e3200718-fe35-4d17-ae3e-83c053f480f1
14,squads,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,Brighton,https://cdn.ssref.net/req/202508071/tlogo/fb/mini.d07537b9.png,3,1,2,0,5,4,+1,5,1.67,5.0,3.7,+1.3,+0.44,2,0,0,2,1,4,-3,0,0.00,3.0,3.0,0.0,-0.02,9,2025-2026,e3200718-fe35-4d17-ae3e-83c053f480f1
15,squads,/en/squads/e4a775cb/Nottingham-Forest-Stats,Nott'ham Forest,https://cdn.ssref.net/req/202508071/tlogo/fb/mini.e4a775cb.png,2,1,0,1,3,4,-1,3,1.50,2.5,3.8,-1.3,-0.64,3,0,2,1,2,5,-3,2,0.67,2.2,3.8,-1.6,-0.52,9,2025-2026,e3200718-fe35-4d17-ae3e-83c053f480f1
