team_id,team_url,team,players_used_away,gk_games_away,gk_games_starts_away,gk_minutes_away,minutes_90s_away,gk_goals_against_away,gk_goals_against_per90_away,gk_shots_on_target_against_away,gk_saves_away,gk_save_pct_away,gk_wins_away,gk_ties_away,gk_losses_away,gk_clean_sheets_away,gk_clean_sheets_pct_away,gk_pens_att_away,gk_pens_allowed_away,gk_pens_saved_away,gk_pens_missed_away,gk_pens_save_pct_away,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2024-2025/Arsenal-Stats,vs Arsenal,1,38,38,"3,420",38.0,69,1.82,180,113,62.8,4,14,20,5,13.2,2,2,0,0,0.0,9,2024-2025,19436bfb-338c-46f7-800f-edfe4984699d
squads,/en/squads/8602292d/Aston-Villa-Stats,vs Aston Villa,2,38,38,"3,420",38.0,58,1.53,165,106,66.7,10,9,19,7,18.4,6,3,3,0,50.0,9,2024-2025,19436bfb-338c-46f7-800f-edfe4984699d
squads,/en/squads/4ba7cbea/Bournemouth-Stats,vs Bournemouth,3,38,38,"3,420",38.0,58,1.53,199,141,73.9,12,11,15,8,21.1,7,6,1,0,14.3,9,2024-2025,19436bfb-338c-46f7-800f-edfe4984699d
squads,/en/squads/cd051869/Brentford-Stats,vs Brentford,2,38,38,"3,420",38.0,66,1.74,179,113,65.9,14,8,16,8,21.1,6,5,1,0,16.7,9,2024-2025,19436bfb-338c-46f7-800f-edfe4984699d
squads,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,vs Brighton,2,38,38,"3,420",38.0,66,1.74,190,126,68.9,9,13,16,5,13.2,7,7,0,0,0.0,9,2024-2025,19436bfb-338c-46f7-800f-edfe4984699d
cff3d9bb,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats,vs Chelsea,2,38,38,"3,420",38.0,64,1.68,208,146,71.2,9,9,20,7,18.4,5,4,1,0,20.0,9,2024-2025,19436bfb-338c-46f7-800f-edfe4984699d
squads,/en/squads/47c64c55/Crystal-Palace-Stats,vs Crystal Palace,1,38,38,"3,420",38.0,51,1.34,179,129,73.2,11,14,13,8,21.1,4,3,1,0,25.0,9,2024-2025,19436bfb-338c-46f7-800f-edfe4984699d
squads,/en/squads/d3fd31cc/Everton-Stats,vs Everton,1,38,38,"3,420",38.0,42,1.11,141,102,71.6,12,15,11,15,39.5,2,2,0,0,0.0,9,2024-2025,19436bfb-338c-46f7-800f-edfe4984699d
squads,/en/squads/fd962109/Fulham-Stats,vs Fulham,1,38,38,"3,420",38.0,54,1.42,171,117,70.2,14,9,15,7,18.4,4,3,1,0,25.0,9,2024-2025,19436bfb-338c-46f7-800f-edfe4984699d
squads,/en/squads/b74092de/Ipswich-Town-Stats,vs Ipswich Town,3,38,38,"3,420",38.0,36,0.95,122,87,72.1,24,10,4,14,36.8,2,2,0,0,0.0,9,2024-2025,19436bfb-338c-46f7-800f-edfe4984699d
squads,/en/squads/a2d435b3/Leicester-City-Stats,vs Leicester City,3,38,38,"3,420",38.0,33,0.87,108,74,71.3,25,7,6,17,44.7,3,2,1,0,33.3,9,2024-2025,19436bfb-338c-46f7-800f-edfe4984699d
822bd0ba,/en/squads/822bd0ba/2024-2025/Liverpool-Stats,vs Liverpool,3,38,38,"3,420",38.0,86,2.26,224,139,65.6,4,9,25,1,2.6,9,9,0,0,0.0,9,2024-2025,19436bfb-338c-46f7-800f-edfe4984699d
b8fd03ef,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats,vs Manchester City,2,38,38,"3,420",38.0,72,1.89,212,140,67.5,9,8,21,6,15.8,4,3,1,0,25.0,9,2024-2025,19436bfb-338c-46f7-800f-edfe4984699d
squads,/en/squads/19538871/Manchester-United-Stats,vs Manchester Utd,2,38,38,"3,420",38.0,44,1.16,172,130,76.7,18,9,11,15,39.5,4,4,0,0,0.0,9,2024-2025,19436bfb-338c-46f7-800f-edfe4984699d
b2b47a98,/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats,vs Newcastle Utd,2,38,38,"3,420",38.0,68,1.79,169,102,62.7,12,6,20,7,18.4,6,5,1,0,16.7,9,2024-2025,19436bfb-338c-46f7-800f-edfe4984699d
squads,/en/squads/e4a775cb/Nottingham-Forest-Stats,vs Nott'ham Forest,1,38,38,"3,420",38.0,58,1.53,165,108,66.7,11,8,19,8,21.1,3,3,0,0,0.0,9,2024-2025,19436bfb-338c-46f7-800f-edfe4984699d
squads,/en/squads/33c895d4/Southampton-Stats,vs Southampton,3,38,38,"3,420",38.0,26,0.68,108,81,75.9,30,6,2,16,42.1,2,0,2,0,100.0,9,2024-2025,19436bfb-338c-46f7-800f-edfe4984699d
361ca564,/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats,vs Tottenham,4,38,38,"3,420",38.0,64,1.68,181,119,66.3,22,5,11,9,23.7,4,3,1,0,25.0,9,2024-2025,19436bfb-338c-46f7-800f-edfe4984699d
squads,/en/squads/7c21e445/West-Ham-United-Stats,vs West Ham,2,38,38,"3,420",38.0,46,1.21,140,97,69.3,17,10,11,8,21.1,3,3,0,0,0.0,9,2024-2025,19436bfb-338c-46f7-800f-edfe4984699d
squads,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats,vs Wolves,4,38,38,"3,420",38.0,54,1.42,155,102,65.2,20,6,12,7,18.4,0,0,0,0,,9,2024-2025,19436bfb-338c-46f7-800f-edfe4984699d
