ranker,nationality,players,minutes,List,competition_id,season_id,id
1,engEngland,281,"225,490","Ollie Watkins,Cole Palmer,Dominic Solanke,Phil Foden,Bukayo Saka,Jarrod Bowen,Anthony Gordon,Declan Rice,Morgan Gibbs-White,James Ward-Prowse...",9,2023-2024,cb177a59-3d01-44bc-965f-a359ddddaf70
2,brBrazil,34,"60,745","Bruno Guimarães,Douglas Luiz,Matheus Cunha,Lucas Paquetá,Andreas Pereira,Gabriel Magalhães,João Pedro,Murillo,Gabriel Martinelli,João Gomes...",9,2023-2024,cb177a59-3d01-44bc-965f-a359ddddaf70
3,frFrance,28,"39,224","Jean-Philippe Mateta,William Saliba,Moussa Diaby,Kurt Zouma,Lucas Digne,Axel Disasi,Michael Olise,Alphonse Areola,Wilson Odobert,Malo Gusto...",9,2023-2024,cb177a59-3d01-44bc-965f-a359ddddaf70
4,ieRepublic of Ireland,27,"15,614","Dara O'Shea,Nathan Collins,Josh Cullen,Chiedozie Ogbene,Evan Ferguson,Matt Doherty,Caoimhín Kelleher,Andrew Omobamidele,Séamus Coleman,John Egan...",9,2023-2024,cb177a59-3d01-44bc-965f-a359ddddaf70
,,,,View Complete Nationalities Table,9,2023-2024,cb177a59-3d01-44bc-965f-a359ddddaf70
