team_id,team_url,team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2024-2025/Arsenal-Stats,Arsenal,1,38,38,"3,420",38.0,34,0.89,120,86,74.2,20,14,4,13,34.2,3,3,0,0,0.0,9,2024-2025,1ae6fc78-dfd0-4c96-9e7f-93cf79445b28
squads,/en/squads/8602292d/Aston-Villa-Stats,Aston Villa,2,38,38,"3,420",38.0,51,1.34,156,104,68.6,19,9,10,9,23.7,3,2,1,0,33.3,9,2024-2025,1ae6fc78-dfd0-4c96-9e7f-93cf79445b28
squads,/en/squads/4ba7cbea/Bournemouth-Stats,Bournemouth,3,38,38,"3,420",38.0,46,1.21,172,126,75.6,15,11,12,9,23.7,4,4,0,0,0.0,9,2024-2025,1ae6fc78-dfd0-4c96-9e7f-93cf79445b28
squads,/en/squads/cd051869/Brentford-Stats,Brentford,2,38,38,"3,420",38.0,57,1.50,207,153,72.9,16,8,14,8,21.1,1,1,0,0,0.0,9,2024-2025,1ae6fc78-dfd0-4c96-9e7f-93cf79445b28
squads,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,Brighton,2,38,38,"3,420",38.0,59,1.55,147,90,66.0,16,13,9,8,21.1,9,9,0,0,0.0,9,2024-2025,1ae6fc78-dfd0-4c96-9e7f-93cf79445b28
cff3d9bb,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats,Chelsea,2,38,38,"3,420",38.0,43,1.13,155,111,75.5,20,9,9,11,28.9,6,5,1,0,16.7,9,2024-2025,1ae6fc78-dfd0-4c96-9e7f-93cf79445b28
squads,/en/squads/47c64c55/Crystal-Palace-Stats,Crystal Palace,1,38,38,"3,420",38.0,51,1.34,150,101,66.7,13,14,11,11,28.9,2,1,1,0,50.0,9,2024-2025,1ae6fc78-dfd0-4c96-9e7f-93cf79445b28
squads,/en/squads/d3fd31cc/Everton-Stats,Everton,1,38,38,"3,420",38.0,44,1.16,163,117,73.0,11,15,12,12,31.6,2,0,2,0,100.0,9,2024-2025,1ae6fc78-dfd0-4c96-9e7f-93cf79445b28
squads,/en/squads/fd962109/Fulham-Stats,Fulham,1,38,38,"3,420",38.0,54,1.42,159,106,67.9,15,9,14,5,13.2,4,3,1,0,25.0,9,2024-2025,1ae6fc78-dfd0-4c96-9e7f-93cf79445b28
squads,/en/squads/b74092de/Ipswich-Town-Stats,Ipswich Town,3,38,38,"3,420",38.0,82,2.16,210,130,63.8,4,10,24,2,5.3,6,6,0,0,0.0,9,2024-2025,1ae6fc78-dfd0-4c96-9e7f-93cf79445b28
squads,/en/squads/a2d435b3/Leicester-City-Stats,Leicester City,3,38,38,"3,420",38.0,80,2.11,209,131,63.2,6,7,25,3,7.9,4,3,1,0,25.0,9,2024-2025,1ae6fc78-dfd0-4c96-9e7f-93cf79445b28
822bd0ba,/en/squads/822bd0ba/2024-2025/Liverpool-Stats,Liverpool,3,38,38,"3,420",38.0,41,1.08,138,98,71.0,25,9,4,14,36.8,2,1,1,0,50.0,9,2024-2025,1ae6fc78-dfd0-4c96-9e7f-93cf79445b28
b8fd03ef,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats,Manchester City,2,38,38,"3,420",38.0,44,1.16,128,86,68.8,21,8,9,13,34.2,4,4,0,0,0.0,9,2024-2025,1ae6fc78-dfd0-4c96-9e7f-93cf79445b28
squads,/en/squads/19538871/Manchester-United-Stats,Manchester Utd,2,38,38,"3,420",38.0,54,1.42,149,96,65.8,11,9,18,10,26.3,4,3,1,0,25.0,9,2024-2025,1ae6fc78-dfd0-4c96-9e7f-93cf79445b28
b2b47a98,/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats,Newcastle Utd,2,38,38,"3,420",38.0,47,1.24,161,115,71.4,20,6,12,13,34.2,2,1,1,0,50.0,9,2024-2025,1ae6fc78-dfd0-4c96-9e7f-93cf79445b28
squads,/en/squads/e4a775cb/Nottingham-Forest-Stats,Nott'ham Forest,1,38,38,"3,420",38.0,46,1.21,165,119,73.9,19,8,11,13,34.2,3,3,0,0,0.0,9,2024-2025,1ae6fc78-dfd0-4c96-9e7f-93cf79445b28
squads,/en/squads/33c895d4/Southampton-Stats,Southampton,3,38,38,"3,420",38.0,86,2.26,245,157,67.8,2,6,30,3,7.9,9,7,2,0,22.2,9,2024-2025,1ae6fc78-dfd0-4c96-9e7f-93cf79445b28
361ca564,/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats,Tottenham,4,38,38,"3,420",38.0,65,1.71,180,119,65.6,11,5,22,6,15.8,3,3,0,0,0.0,9,2024-2025,1ae6fc78-dfd0-4c96-9e7f-93cf79445b28
squads,/en/squads/7c21e445/West-Ham-United-Stats,West Ham,2,38,38,"3,420",38.0,62,1.63,186,127,68.3,11,10,17,7,18.4,3,3,0,0,0.0,9,2024-2025,1ae6fc78-dfd0-4c96-9e7f-93cf79445b28
squads,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats,Wolves,4,38,38,"3,420",38.0,69,1.82,168,100,63.1,12,6,20,8,21.1,9,7,2,0,22.2,9,2024-2025,1ae6fc78-dfd0-4c96-9e7f-93cf79445b28
