team_id,team_url,team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,pens_made,pens_att,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2015-2016/Arsenal-Stats,Arsenal,25,38.0,62,,210,,,5.53,,0.29,,1,2,9,2015-2016,12f4b54c-b1a8-489d-be83-0a36d8024844
8602292d,/en/squads/8602292d/2015-2016/Aston-Villa-Stats,Aston Villa,29,38.0,24,,110,,,2.89,,0.20,,2,2,9,2015-2016,12f4b54c-b1a8-489d-be83-0a36d8024844
4ba7cbea,/en/squads/4ba7cbea/2015-2016/Bournemouth-Stats,Bournemouth,28,38.0,43,,143,,,3.76,,0.28,,3,4,9,2015-2016,12f4b54c-b1a8-489d-be83-0a36d8024844
cff3d9bb,/en/squads/cff3d9bb/2015-2016/Chelsea-Stats,Chelsea,28,38.0,55,,172,,,4.53,,0.30,,4,5,9,2015-2016,12f4b54c-b1a8-489d-be83-0a36d8024844
47c64c55,/en/squads/47c64c55/2015-2016/Crystal-Palace-Stats,Crystal Palace,30,38.0,38,,153,,,4.03,,0.22,,4,5,9,2015-2016,12f4b54c-b1a8-489d-be83-0a36d8024844
d3fd31cc,/en/squads/d3fd31cc/2015-2016/Everton-Stats,Everton,31,38.0,56,,174,,,4.58,,0.30,,4,5,9,2015-2016,12f4b54c-b1a8-489d-be83-0a36d8024844
a2d435b3,/en/squads/a2d435b3/2015-2016/Leicester-City-Stats,Leicester City,23,38.0,68,,179,,,4.71,,0.32,,10,13,9,2015-2016,12f4b54c-b1a8-489d-be83-0a36d8024844
822bd0ba,/en/squads/822bd0ba/2015-2016/Liverpool-Stats,Liverpool,34,38.0,62,,199,,,5.24,,0.30,,2,2,9,2015-2016,12f4b54c-b1a8-489d-be83-0a36d8024844
b8fd03ef,/en/squads/b8fd03ef/2015-2016/Manchester-City-Stats,Manchester City,25,38.0,71,,210,,,5.53,,0.31,,5,8,9,2015-2016,12f4b54c-b1a8-489d-be83-0a36d8024844
19538871,/en/squads/19538871/2015-2016/Manchester-United-Stats,Manchester Utd,33,38.0,46,,144,,,3.79,,0.30,,3,3,9,2015-2016,12f4b54c-b1a8-489d-be83-0a36d8024844
b2b47a98,/en/squads/b2b47a98/2015-2016/Newcastle-United-Stats,Newcastle Utd,31,38.0,43,,150,,,3.95,,0.27,,3,3,9,2015-2016,12f4b54c-b1a8-489d-be83-0a36d8024844
1c781004,/en/squads/1c781004/2015-2016/Norwich-City-Stats,Norwich City,28,38.0,38,,130,,,3.42,,0.28,,1,1,9,2015-2016,12f4b54c-b1a8-489d-be83-0a36d8024844
33c895d4,/en/squads/33c895d4/2015-2016/Southampton-Stats,Southampton,26,38.0,58,,165,,,4.34,,0.33,,3,4,9,2015-2016,12f4b54c-b1a8-489d-be83-0a36d8024844
17892952,/en/squads/17892952/2015-2016/Stoke-City-Stats,Stoke City,27,38.0,40,,127,,,3.34,,0.28,,5,5,9,2015-2016,12f4b54c-b1a8-489d-be83-0a36d8024844
8ef52968,/en/squads/8ef52968/2015-2016/Sunderland-Stats,Sunderland,31,38.0,44,,173,,,4.55,,0.24,,3,3,9,2015-2016,12f4b54c-b1a8-489d-be83-0a36d8024844
fb10988f,/en/squads/fb10988f/2015-2016/Swansea-City-Stats,Swansea City,27,38.0,41,,135,,,3.55,,0.27,,5,5,9,2015-2016,12f4b54c-b1a8-489d-be83-0a36d8024844
361ca564,/en/squads/361ca564/2015-2016/Tottenham-Hotspur-Stats,Tottenham,24,38.0,68,,250,,,6.58,,0.25,,5,5,9,2015-2016,12f4b54c-b1a8-489d-be83-0a36d8024844
2abfe087,/en/squads/2abfe087/2015-2016/Watford-Stats,Watford,25,38.0,38,,139,,,3.66,,0.23,,6,7,9,2015-2016,12f4b54c-b1a8-489d-be83-0a36d8024844
60c6b05f,/en/squads/60c6b05f/2015-2016/West-Bromwich-Albion-Stats,West Brom,28,38.0,32,,108,,,2.84,,0.29,,1,5,9,2015-2016,12f4b54c-b1a8-489d-be83-0a36d8024844
7c21e445,/en/squads/7c21e445/2015-2016/West-Ham-United-Stats,West Ham,28,38.0,64,,186,,,4.89,,0.32,,4,4,9,2015-2016,12f4b54c-b1a8-489d-be83-0a36d8024844
