ranker,nationality,players,minutes,List,competition_id,season_id,id
1,nlNetherlands,329,"328,068","Luuk de Jong,Abdenasser El Khayati,Steven Bergwijn,Steven Berghuis,Michel Vlap,Sam Lammers,Guus Til,Youssef El Jebli,Mark Diemers,Donny van de Beek...",23,2018-2019,91f4b592-2843-4c85-8a82-f713660c7d38
2,deGermany,22,"28,869","Nils Röseler,Janis Blaswich,Lars Unnerstall,Daniel Schwaab,Tim Handwerker,Maximilian Rossmann,Timon Wellenreuther,Julian Chabot,Lennart Thy,Thomas Meißner...",23,2018-2019,91f4b592-2843-4c85-8a82-f713660c7d38
3,srSuriname,18,"29,015","Sheraldo Becker,Gyrano Kerk,Sean Klaiber,Mitchell te Vrede,Damil Dankerlui,Ryan Koolwijk,Warner Hahn,Kenneth Paal,Dion Malone,Delano Burgzorg...",23,2018-2019,91f4b592-2843-4c85-8a82-f713660c7d38
4,beBelgium,17,"9,694","Dario Van den Buijs,Hervé Matthys,Arno Verschueren,Alessandro Ciranni,Siebe Horemans,Othman Boussaid,Marco Ospitalieri,Jordy Croux,Dante Rigo,Stijn Wuytens...",23,2018-2019,91f4b592-2843-4c85-8a82-f713660c7d38
,,,,View Complete Nationalities Table,23,2018-2019,91f4b592-2843-4c85-8a82-f713660c7d38
