rank,team_id,team_url,team,logo_url,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,attendance_per_g,top_team_scorers,top_keeper,notes,competition_id,season_id,id
1,fb4ca611,/en/squads/fb4ca611/2016-2017/Feyenoord-Stats,Feyenoord,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fb4ca611.png,34,26,4,4,86,25,+61,82,2.41,"47,471",Nicolai Jørgensen-21,Brad Jones,→ Champions League via league finish,23,2016-2017,0e1d3511-cbed-4235-b572-d84d87bcc17a
2,19c3f8c4,/en/squads/19c3f8c4/2016-2017/Ajax-Stats,Ajax,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.19c3f8c4.png,34,25,6,3,79,23,+56,81,2.38,"49,551",Kasper Dolberg-16,André Onana,→ Champions League via league finish,23,2016-2017,0e1d3511-cbed-4235-b572-d84d87bcc17a
3,e334d850,/en/squads/e334d850/2016-2017/PSV-Eindhoven-Stats,PSV Eindhoven,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e334d850.png,34,22,10,2,68,23,+45,76,2.24,"33,124",Gastón Pereiro-10,Jeroen Zoet,→ Europa League via league finish,23,2016-2017,0e1d3511-cbed-4235-b572-d84d87bcc17a
4,2a428619,/en/squads/2a428619/2016-2017/Utrecht-Stats,Utrecht,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2a428619.png,34,18,8,8,54,38,+16,62,1.82,"19,954",Sébastien Haller-13,David Jensen,"→ Europa League via playoff win, → European competition qualification play-offs — Semi-finals",23,2016-2017,0e1d3511-cbed-4235-b572-d84d87bcc17a
5,209d7fa2,/en/squads/209d7fa2/2016-2017/Vitesse-Stats,Vitesse,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.209d7fa2.png,34,15,6,13,51,40,+11,51,1.50,"15,620",Ricky van Wolfswinkel-20,Eloy Room,→ Europa League via cup win1,23,2016-2017,0e1d3511-cbed-4235-b572-d84d87bcc17a
6,3986b791,/en/squads/3986b791/2016-2017/AZ-Alkmaar-Stats,AZ Alkmaar,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.3986b791.png,34,12,13,9,56,52,+4,49,1.44,"16,584",Wout Weghorst-13,Sergio Rochet,→ European competition qualification play-offs — Semi-finals,23,2016-2017,0e1d3511-cbed-4235-b572-d84d87bcc17a
7,a1f721d3,/en/squads/a1f721d3/2016-2017/Twente-Stats,Twente,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a1f721d3.png,34,12,9,13,48,50,-2,45,1.32,"25,500",Enes Ünal-18,Nick Marsman,,23,2016-2017,0e1d3511-cbed-4235-b572-d84d87bcc17a
8,bec05adb,/en/squads/bec05adb/2016-2017/Groningen-Stats,Groningen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.bec05adb.png,34,10,13,11,55,51,+4,43,1.26,"20,587",Mimoun Mahi-17,Sergio Padt,→ European competition qualification play-offs — Semi-finals,23,2016-2017,0e1d3511-cbed-4235-b572-d84d87bcc17a
9,193ff7aa,/en/squads/193ff7aa/2016-2017/Heerenveen-Stats,Heerenveen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.193ff7aa.png,34,12,7,15,54,53,+1,43,1.26,"22,664",Reza Ghoochannejad-19,Erwin Mulder,→ European competition qualification play-offs — Semi-finals,23,2016-2017,0e1d3511-cbed-4235-b572-d84d87bcc17a
10,c882b88e,/en/squads/c882b88e/2016-2017/Heracles-Almelo-Stats,Heracles Almelo,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.c882b88e.png,34,12,7,15,53,55,-2,43,1.26,"11,109",Samuel Armenteros-19,Bram Castro,,23,2016-2017,0e1d3511-cbed-4235-b572-d84d87bcc17a
