rank,team_id,team_url,team,logo_url,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,attendance_per_g,top_team_scorers,top_keeper,notes,competition_id,season_id,id
1,19c3f8c4,/en/squads/19c3f8c4/2018-2019/Ajax-Stats,Ajax,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.19c3f8c4.png,34,28,2,4,119,32,+87,86,2.53,94.3,35.5,+58.8,+1.73,"52,961",Dušan Tadić-28,André Onana,→ Champions League via league finish,23,2018-2019,17926abe-d449-40f2-834f-6bb5b818617c
2,e334d850,/en/squads/e334d850/2018-2019/PSV-Eindhoven-Stats,PSV Eindhoven,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e334d850.png,34,26,5,3,98,26,+72,83,2.44,90.4,25.8,+64.6,+1.90,"34,071",Luuk de Jong-28,Jeroen Zoet,→ Champions League via league finish,23,2018-2019,17926abe-d449-40f2-834f-6bb5b818617c
3,fb4ca611,/en/squads/fb4ca611/2018-2019/Feyenoord-Stats,Feyenoord,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fb4ca611.png,34,20,5,9,75,41,+34,65,1.91,70.3,43.7,+26.6,+0.78,"41,918",Robin van Persie-16,Kenneth Vermeer,→ Europa League via league finish1,23,2018-2019,17926abe-d449-40f2-834f-6bb5b818617c
4,3986b791,/en/squads/3986b791/2018-2019/AZ-Alkmaar-Stats,AZ Alkmaar,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.3986b791.png,34,17,7,10,64,43,+21,58,1.71,63.8,45.2,+18.6,+0.55,"15,000",Guus Til-12,Marco Bizot,→ Europa League via league finish,23,2018-2019,17926abe-d449-40f2-834f-6bb5b818617c
5,209d7fa2,/en/squads/209d7fa2/2018-2019/Vitesse-Stats,Vitesse,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.209d7fa2.png,34,14,11,9,70,51,+19,53,1.56,58.3,45.9,+12.4,+0.36,"17,057",Bryan Linssen-12,Eduardo Carvalho,→ European competition qualification play-offs — Semi-finals,23,2018-2019,17926abe-d449-40f2-834f-6bb5b818617c
6,2a428619,/en/squads/2a428619/2018-2019/Utrecht-Stats,Utrecht,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2a428619.png,34,15,8,11,60,51,+9,53,1.56,53.5,51.7,+1.8,+0.05,"20,415","Gyrano Kerk,Sander van de Streek... -8",David Jensen,"→ Europa League via playoff win, → European competition qualification play-offs — Semi-finals",23,2018-2019,17926abe-d449-40f2-834f-6bb5b818617c
7,c882b88e,/en/squads/c882b88e/2018-2019/Heracles-Almelo-Stats,Heracles Almelo,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.c882b88e.png,34,15,3,16,61,68,-7,48,1.41,55.8,64.5,-8.7,-0.26,"11,482",Adrián Dalmau-19,Janis Blaswich,→ European competition qualification play-offs — Semi-finals,23,2018-2019,17926abe-d449-40f2-834f-6bb5b818617c
8,bec05adb,/en/squads/bec05adb/2018-2019/Groningen-Stats,Groningen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.bec05adb.png,34,13,6,15,39,41,-2,45,1.32,43.1,44.8,-1.7,-0.05,"18,621",Mimoun Mahi-7,Sergio Padt,→ European competition qualification play-offs — Semi-finals,23,2018-2019,17926abe-d449-40f2-834f-6bb5b818617c
9,4e7459b7,/en/squads/4e7459b7/2018-2019/ADO-Den-Haag-Stats,ADO Den Haag,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.4e7459b7.png,34,12,9,13,58,63,-5,45,1.32,46.9,66.9,-20.0,-0.59,"12,561",Abdenasser El Khayati-17,Robert Zwinkels,,23,2018-2019,17926abe-d449-40f2-834f-6bb5b818617c
10,f0479d7b,/en/squads/f0479d7b/2018-2019/Willem-II-Stats,Willem II,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.f0479d7b.png,34,13,5,16,58,72,-14,44,1.29,48.7,54.3,-5.6,-0.16,"12,922","Alexander Isak,Fran Sol-13",Timon Wellenreuther,,23,2018-2019,17926abe-d449-40f2-834f-6bb5b818617c
