rank,team_id,team_url,team,logo_url,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,attendance_per_g,top_team_scorers,top_keeper,notes,competition_id,season_id,id
1,e334d850,/en/squads/e334d850/2015-2016/PSV-Eindhoven-Stats,PSV Eindhoven,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e334d850.png,34,26,6,2,88,32,+56,84,2.47,"33,594",Luuk de Jong-26,Jeroen Zoet,→ Champions League via league finish,23,2015-2016,f0412225-1919-4dd7-854b-5c33053f6e02
2,19c3f8c4,/en/squads/19c3f8c4/2015-2016/Ajax-Stats,Ajax,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.19c3f8c4.png,34,25,7,2,81,21,+60,82,2.41,"49,206",Arkadiusz Milik-21,Jasper Cillessen,→ Champions League via league finish,23,2015-2016,f0412225-1919-4dd7-854b-5c33053f6e02
3,fb4ca611,/en/squads/fb4ca611/2015-2016/Feyenoord-Stats,Feyenoord,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fb4ca611.png,34,19,6,9,62,40,+22,63,1.85,"47,324",Dirk Kuyt-19,Kenneth Vermeer,→ Europa League via cup win1,23,2015-2016,f0412225-1919-4dd7-854b-5c33053f6e02
4,3986b791,/en/squads/3986b791/2015-2016/AZ-Alkmaar-Stats,AZ Alkmaar,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.3986b791.png,34,18,5,11,70,53,+17,59,1.74,"15,186",Vincent Janssen-27,Sergio Rochet,→ Europa League via league finish,23,2015-2016,f0412225-1919-4dd7-854b-5c33053f6e02
5,2a428619,/en/squads/2a428619/2015-2016/Utrecht-Stats,Utrecht,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2a428619.png,34,15,8,11,57,48,+9,53,1.56,"19,273",Sébastien Haller-17,Robbin Ruiter,→ European competition qualification play-offs — Semi-finals,23,2015-2016,f0412225-1919-4dd7-854b-5c33053f6e02
6,c882b88e,/en/squads/c882b88e/2015-2016/Heracles-Almelo-Stats,Heracles Almelo,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.c882b88e.png,34,14,9,11,47,49,-2,51,1.50,"12,595",Wout Weghorst-12,Bram Castro,"→ Europa League via playoff win, → European competition qualification play-offs — Semi-finals",23,2015-2016,f0412225-1919-4dd7-854b-5c33053f6e02
7,bec05adb,/en/squads/bec05adb/2015-2016/Groningen-Stats,Groningen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.bec05adb.png,34,14,8,12,41,48,-7,50,1.47,"22,212",Michael de Leeuw-9,Sergio Padt,→ European competition qualification play-offs — Semi-finals,23,2015-2016,f0412225-1919-4dd7-854b-5c33053f6e02
8,e3db180b,/en/squads/e3db180b/2015-2016/Zwolle-Stats,Zwolle,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e3db180b.png,34,14,6,14,56,54,+2,48,1.41,"12,722",Lars Veldwijk-14,Mickey van der Hart,→ European competition qualification play-offs — Semi-finals,23,2015-2016,f0412225-1919-4dd7-854b-5c33053f6e02
9,209d7fa2,/en/squads/209d7fa2/2015-2016/Vitesse-Stats,Vitesse,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.209d7fa2.png,34,12,10,12,55,38,+17,46,1.35,"16,904",Valeri Qazaishvili-10,Eloy Room,,23,2015-2016,f0412225-1919-4dd7-854b-5c33053f6e02
10,fc629994,/en/squads/fc629994/2015-2016/NEC-Nijmegen-Stats,NEC Nijmegen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fc629994.png,34,13,7,14,37,42,-5,46,1.35,"11,680",Christian Santos-16,Brad Jones,,23,2015-2016,f0412225-1919-4dd7-854b-5c33053f6e02
