ranker,nationality,players,minutes,List,competition_id,season_id,id
1,nlNetherlands,340,"292,981","Luuk de Jong,Brian Brobbey,Joey Veerman,Sem Steijn,Lutsharel Geertruida,Daan Rots,Quinten Timber,Bas Kuipers,Calvin Stengs,Dani de Wit...",23,2023-2024,5cbc225e-00f9-4cb1-b2eb-0df37bc0aad3
2,beBelgium,26,"32,430","Johan Bakayoko,Siebe Horemans,Arno Verschueren,Brian De Keersmaecker,Dario Van den Buijs,Othman Boussaid,Philippe Rommens,Shawn Adewoye,Chris Lokesa,Bryan Limbombe...",23,2023-2024,5cbc225e-00f9-4cb1-b2eb-0df37bc0aad3
3,deGermany,22,"25,303","Lennart Thy,Mats Köhlert,Mio Backhaus,Lars Unnerstall,Can Bozdogan,Mario Engels,Gerrit Nauber,Diant Ramaj,Sven Sonnenberg,Timon Wellenreuther...",23,2023-2024,5cbc225e-00f9-4cb1-b2eb-0df37bc0aad3
4,dkDenmark,16,"15,684","Younes Namli,Magnus Mattsson,Oscar Fraulo,Victor Jensen,Jakob Breum,Oskar Buur,Lasse Schöne,Anton Gaaei,Mathias Ross,Jens Odgaard...",23,2023-2024,5cbc225e-00f9-4cb1-b2eb-0df37bc0aad3
,,,,View Complete Nationalities Table,23,2023-2024,5cbc225e-00f9-4cb1-b2eb-0df37bc0aad3
