rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,competition_id,season_id,id
1,19c3f8c4,/en/squads/19c3f8c4/2018-2019/Ajax-Stats,Ajax,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.19c3f8c4.png,17,15,2,0,70,13,+57,47,2.76,53.7,11.9,+41.8,+2.46,17,13,0,4,49,19,+30,39,2.29,40.6,23.6,+16.9,+1.00,23,2018-2019,65e05c53-4565-449f-994c-07a9b0ba0a2c
2,e334d850,/en/squads/e334d850/2018-2019/PSV-Eindhoven-Stats,PSV Eindhoven,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e334d850.png,17,16,1,0,58,7,+51,49,2.88,46.1,9.4,+36.7,+2.16,17,10,4,3,40,19,+21,34,2.00,44.4,16.4,+28.0,+1.65,23,2018-2019,65e05c53-4565-449f-994c-07a9b0ba0a2c
3,fb4ca611,/en/squads/fb4ca611/2018-2019/Feyenoord-Stats,Feyenoord,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fb4ca611.png,17,14,0,3,43,16,+27,42,2.47,39.8,18.4,+21.4,+1.26,17,6,5,6,32,25,+7,23,1.35,30.5,25.2,+5.3,+0.31,23,2018-2019,65e05c53-4565-449f-994c-07a9b0ba0a2c
4,3986b791,/en/squads/3986b791/2018-2019/AZ-Alkmaar-Stats,AZ Alkmaar,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.3986b791.png,17,11,3,3,35,15,+20,36,2.12,38.0,19.3,+18.7,+1.10,17,6,4,7,29,28,+1,22,1.29,25.8,25.9,0.0,0.00,23,2018-2019,65e05c53-4565-449f-994c-07a9b0ba0a2c
5,209d7fa2,/en/squads/209d7fa2/2018-2019/Vitesse-Stats,Vitesse,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.209d7fa2.png,17,10,6,1,45,25,+20,36,2.12,34.0,24.5,+9.5,+0.56,17,4,5,8,25,26,-1,17,1.00,24.3,21.5,+2.9,+0.17,23,2018-2019,65e05c53-4565-449f-994c-07a9b0ba0a2c
6,2a428619,/en/squads/2a428619/2018-2019/Utrecht-Stats,Utrecht,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2a428619.png,17,9,5,3,30,16,+14,32,1.88,28.0,21.8,+6.2,+0.36,17,6,3,8,30,35,-5,21,1.24,25.5,29.9,-4.4,-0.26,23,2018-2019,65e05c53-4565-449f-994c-07a9b0ba0a2c
7,c882b88e,/en/squads/c882b88e/2018-2019/Heracles-Almelo-Stats,Heracles Almelo,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.c882b88e.png,17,11,0,6,42,32,+10,33,1.94,35.0,31.8,+3.1,+0.18,17,4,3,10,19,36,-17,15,0.88,20.8,32.6,-11.9,-0.70,23,2018-2019,65e05c53-4565-449f-994c-07a9b0ba0a2c
8,bec05adb,/en/squads/bec05adb/2018-2019/Groningen-Stats,Groningen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.bec05adb.png,17,10,1,6,26,16,+10,31,1.82,27.3,20.3,+7.0,+0.41,17,3,5,9,13,25,-12,14,0.82,15.8,24.5,-8.7,-0.51,23,2018-2019,65e05c53-4565-449f-994c-07a9b0ba0a2c
9,4e7459b7,/en/squads/4e7459b7/2018-2019/ADO-Den-Haag-Stats,ADO Den Haag,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.4e7459b7.png,17,7,4,6,33,32,+1,25,1.47,24.7,29.7,-5.0,-0.29,17,5,5,7,25,31,-6,20,1.18,22.2,37.2,-15.0,-0.88,23,2018-2019,65e05c53-4565-449f-994c-07a9b0ba0a2c
10,f0479d7b,/en/squads/f0479d7b/2018-2019/Willem-II-Stats,Willem II,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.f0479d7b.png,17,6,2,9,26,33,-7,20,1.18,27.0,22.3,+4.7,+0.28,17,7,3,7,32,39,-7,24,1.41,21.7,32.0,-10.3,-0.60,23,2018-2019,65e05c53-4565-449f-994c-07a9b0ba0a2c
