rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,competition_id,season_id,id
1,fb4ca611,/en/squads/fb4ca611/2016-2017/Feyenoord-Stats,Feyenoord,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fb4ca611.png,17,15,2,0,56,11,+45,47,2.76,17,11,2,4,30,14,+16,35,2.06,23,2016-2017,25e7b394-e38b-4104-98cc-10e49432df7b
2,19c3f8c4,/en/squads/19c3f8c4/2016-2017/Ajax-Stats,Ajax,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.19c3f8c4.png,17,14,2,1,48,12,+36,44,2.59,17,11,4,2,31,11,+20,37,2.18,23,2016-2017,25e7b394-e38b-4104-98cc-10e49432df7b
3,e334d850,/en/squads/e334d850/2016-2017/PSV-Eindhoven-Stats,PSV Eindhoven,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e334d850.png,17,13,3,1,35,9,+26,42,2.47,17,9,7,1,33,14,+19,34,2.00,23,2016-2017,25e7b394-e38b-4104-98cc-10e49432df7b
4,2a428619,/en/squads/2a428619/2016-2017/Utrecht-Stats,Utrecht,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2a428619.png,17,10,3,4,28,17,+11,33,1.94,17,8,5,4,26,21,+5,29,1.71,23,2016-2017,25e7b394-e38b-4104-98cc-10e49432df7b
5,209d7fa2,/en/squads/209d7fa2/2016-2017/Vitesse-Stats,Vitesse,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.209d7fa2.png,17,9,2,6,31,21,+10,29,1.71,17,6,4,7,20,19,+1,22,1.29,23,2016-2017,25e7b394-e38b-4104-98cc-10e49432df7b
6,3986b791,/en/squads/3986b791/2016-2017/AZ-Alkmaar-Stats,AZ Alkmaar,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.3986b791.png,17,5,9,3,31,25,+6,24,1.41,17,7,4,6,25,27,-2,25,1.47,23,2016-2017,25e7b394-e38b-4104-98cc-10e49432df7b
7,a1f721d3,/en/squads/a1f721d3/2016-2017/Twente-Stats,Twente,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a1f721d3.png,17,8,4,5,28,22,+6,28,1.65,17,4,5,8,20,28,-8,17,1.00,23,2016-2017,25e7b394-e38b-4104-98cc-10e49432df7b
8,bec05adb,/en/squads/bec05adb/2016-2017/Groningen-Stats,Groningen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.bec05adb.png,17,5,8,4,25,24,+1,23,1.35,17,5,5,7,30,27,+3,20,1.18,23,2016-2017,25e7b394-e38b-4104-98cc-10e49432df7b
9,193ff7aa,/en/squads/193ff7aa/2016-2017/Heerenveen-Stats,Heerenveen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.193ff7aa.png,17,8,5,4,26,16,+10,29,1.71,17,4,2,11,28,37,-9,14,0.82,23,2016-2017,25e7b394-e38b-4104-98cc-10e49432df7b
10,c882b88e,/en/squads/c882b88e/2016-2017/Heracles-Almelo-Stats,Heracles Almelo,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.c882b88e.png,17,8,3,6,32,21,+11,27,1.59,17,4,4,9,21,34,-13,16,0.94,23,2016-2017,25e7b394-e38b-4104-98cc-10e49432df7b
11,4e7459b7,/en/squads/4e7459b7/2016-2017/ADO-Den-Haag-Stats,ADO Den Haag,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.4e7459b7.png,17,7,3,7,22,21,+1,24,1.41,17,4,2,11,15,38,-23,14,0.82,23,2016-2017,25e7b394-e38b-4104-98cc-10e49432df7b
12,740cb7d4,/en/squads/740cb7d4/2016-2017/Excelsior-Stats,Excelsior,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.740cb7d4.png,17,6,5,6,27,25,+2,23,1.35,17,3,5,9,16,35,-19,14,0.82,23,2016-2017,25e7b394-e38b-4104-98cc-10e49432df7b
13,f0479d7b,/en/squads/f0479d7b/2016-2017/Willem-II-Stats,Willem II,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.f0479d7b.png,17,5,5,7,17,22,-5,20,1.18,17,4,4,9,12,22,-10,16,0.94,23,2016-2017,25e7b394-e38b-4104-98cc-10e49432df7b
14,e3db180b,/en/squads/e3db180b/2016-2017/Zwolle-Stats,Zwolle,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e3db180b.png,17,5,5,7,19,28,-9,20,1.18,17,4,3,10,20,39,-19,15,0.88,23,2016-2017,25e7b394-e38b-4104-98cc-10e49432df7b
