rank,team_id,team_url,team,logo_url,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,attendance_per_g,top_team_scorers,top_keeper,notes,competition_id,season_id,id
1,fb4ca611,/en/squads/fb4ca611/2022-2023/Feyenoord-Stats,Feyenoord,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fb4ca611.png,34,25,7,2,81,30,+51,82,2.41,65.6,30.0,+35.6,+1.05,"47,500",Santiago Giménez-15,Justin Bijlow,→ Champions League via league finish,23,2022-2023,115772ff-847c-41d6-ba8e-39f317bc2eb8
2,e334d850,/en/squads/e334d850/2022-2023/PSV-Eindhoven-Stats,PSV Eindhoven,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e334d850.png,34,23,6,5,89,40,+49,75,2.21,81.5,32.0,+49.4,+1.45,"31,922",Xavi Simons-19,Walter Benítez,→ Champions League via league finish,23,2022-2023,115772ff-847c-41d6-ba8e-39f317bc2eb8
3,19c3f8c4,/en/squads/19c3f8c4/2022-2023/Ajax-Stats,Ajax,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.19c3f8c4.png,34,20,9,5,86,38,+48,69,2.03,78.8,30.5,+48.3,+1.42,"53,582",Brian Brobbey-13,Gerónimo Rulli,→ Europa League via league finish,23,2022-2023,115772ff-847c-41d6-ba8e-39f317bc2eb8
4,3986b791,/en/squads/3986b791/2022-2023/AZ-Alkmaar-Stats,AZ Alkmaar,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.3986b791.png,34,20,7,7,68,35,+33,67,1.97,55.4,38.8,+16.6,+0.49,"16,967",Vangelis Pavlidis-12,Mathew Ryan,"→ Conference League via league finish, → European competition qualification play-offs — Semi-finals",23,2022-2023,115772ff-847c-41d6-ba8e-39f317bc2eb8
5,a1f721d3,/en/squads/a1f721d3/2022-2023/Twente-Stats,Twente,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a1f721d3.png,34,18,10,6,66,27,+39,64,1.88,62.8,36.2,+26.7,+0.78,"32,653",Václav Černý-13,Lars Unnerstall,"→ Conference League via playoff win, → European competition qualification play-offs — Semi-finals",23,2022-2023,115772ff-847c-41d6-ba8e-39f317bc2eb8
6,146a68ce,/en/squads/146a68ce/2022-2023/Sparta-Rotterdam-Stats,Sparta R'dam,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.146a68ce.png,34,17,8,9,60,37,+23,59,1.74,41.5,47.2,-5.7,-0.17,"10,838","Vito van Crooy,Tobias Lauritsen-12",Nick Olij,→ European competition qualification play-offs — Semi-finals,23,2022-2023,115772ff-847c-41d6-ba8e-39f317bc2eb8
7,2a428619,/en/squads/2a428619/2022-2023/Utrecht-Stats,Utrecht,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2a428619.png,34,15,9,10,55,50,+5,54,1.59,49.3,45.5,+3.8,+0.11,"20,760",Anastasios Douvikas-19,Vasilios Barkas,→ European competition qualification play-offs — Semi-finals,23,2022-2023,115772ff-847c-41d6-ba8e-39f317bc2eb8
8,193ff7aa,/en/squads/193ff7aa/2022-2023/Heerenveen-Stats,Heerenveen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.193ff7aa.png,34,12,10,12,44,50,-6,46,1.35,44.1,50.9,-6.7,-0.20,"22,294",Sydney van Hooijdonk-16,Andries Noppert,,23,2022-2023,115772ff-847c-41d6-ba8e-39f317bc2eb8
9,bb14adb3,/en/squads/bb14adb3/2022-2023/RKC-Waalwijk-Stats,RKC Waalwijk,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.bb14adb3.png,34,11,8,15,50,64,-14,41,1.21,45.4,64.0,-18.6,-0.55,"6,034",Michiel Kramer-12,Etienne Vaessen,,23,2022-2023,115772ff-847c-41d6-ba8e-39f317bc2eb8
10,209d7fa2,/en/squads/209d7fa2/2022-2023/Vitesse-Stats,Vitesse,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.209d7fa2.png,34,10,10,14,45,50,-5,40,1.18,43.8,40.2,+3.6,+0.11,"15,132",Million Manhoef-9,Kjell Scherpen,,23,2022-2023,115772ff-847c-41d6-ba8e-39f317bc2eb8
11,e33d6108,/en/squads/e33d6108/2022-2023/Go-Ahead-Eagles-Stats,Go Ahead Eag,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e33d6108.png,34,10,10,14,46,56,-10,40,1.18,45.0,48.4,-3.4,-0.10,"9,679",Willum Þór Willumsson-8,Jeffrey De Lange,,23,2022-2023,115772ff-847c-41d6-ba8e-39f317bc2eb8
12,fc629994,/en/squads/fc629994/2022-2023/NEC-Nijmegen-Stats,NEC Nijmegen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fc629994.png,34,8,15,11,42,45,-3,39,1.15,48.2,52.3,-4.1,-0.12,"12,405",Landry Dimata-10,Jasper Cillessen,,23,2022-2023,115772ff-847c-41d6-ba8e-39f317bc2eb8
13,bd08295c,/en/squads/bd08295c/2022-2023/Fortuna-Sittard-Stats,Fortuna Sittard,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.bd08295c.png,34,10,6,18,39,62,-23,36,1.06,36.3,60.2,-23.9,-0.70,"10,187",Burak Yılmaz-9,Ivor Pandur,,23,2022-2023,115772ff-847c-41d6-ba8e-39f317bc2eb8
14,8783f4ee,/en/squads/8783f4ee/2022-2023/Volendam-Stats,Volendam,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.8783f4ee.png,34,10,6,18,42,71,-29,36,1.06,42.5,63.7,-21.2,-0.62,"6,628",Daryl van Mieghem-8,Filip Stankovic,,23,2022-2023,115772ff-847c-41d6-ba8e-39f317bc2eb8
15,740cb7d4,/en/squads/740cb7d4/2022-2023/Excelsior-Stats,Excelsior,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.740cb7d4.png,34,9,5,20,32,71,-39,32,0.94,35.0,66.8,-31.8,-0.94,"4,312","Lazaros Lamprou,Kenzo Goudmijn-4",Stijn van Gassel,,23,2022-2023,115772ff-847c-41d6-ba8e-39f317bc2eb8
