ranker,nationality,players,minutes,List,competition_id,season_id,id
1,nlNetherlands,304,"228,783","Steven Berghuis,Bryan Linssen,Myron Boadu,Teun Koopmeiners,Mark Diemers,Michael de Leeuw,Calvin Stengs,Abdou Harroui,Denzel Dumfries,Donny van de Beek...",23,2019-2020,84fe22da-2669-4f61-8c73-0c47a6b4f2af
2,deGermany,28,"31,691","Mats Köhlert,Tobias Pachonik,Felix Passlack,Janis Blaswich,Lennart Thy,Thorsten Kirschbaum,Orestis Kiomourtzoglou,Timon Wellenreuther,Nils Röseler,Ragnar Ache...",23,2019-2020,84fe22da-2669-4f61-8c73-0c47a6b4f2af
3,beBelgium,21,"11,285","Hannes Delcroix,Mike Trésor,Stijn Wuytens,Michaël Heylen,Anas Tahiri,Dante Rigo,Laurens De Bock,Dario Van den Buijs,Adnan Ugur,Lennerd Daneels...",23,2019-2020,84fe22da-2669-4f61-8c73-0c47a6b4f2af
4,dkDenmark,14,"4,995","Jens Odgaard,Nikolai Laursen,Nicolai Jørgensen,Emil Berggreen,Anders Dreyer,Simon Makienok,Kasper Dolberg,Nikolai Baden Frederiksen,Daniel Høegh,Andreas Skovgaard...",23,2019-2020,84fe22da-2669-4f61-8c73-0c47a6b4f2af
,,,,View Complete Nationalities Table,23,2019-2020,84fe22da-2669-4f61-8c73-0c47a6b4f2af
