rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,competition_id,season_id,id
1,fb4ca611,/en/squads/fb4ca611/2022-2023/Feyenoord-Stats,Feyenoord,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fb4ca611.png,17,12,4,1,37,10,+27,40,2.35,33.4,13.0,+20.4,+1.20,17,13,3,1,44,20,+24,42,2.47,32.2,17.0,+15.1,+0.89,23,2022-2023,e609fd21-2f17-47f9-9408-7416ff8af233
2,e334d850,/en/squads/e334d850/2022-2023/PSV-Eindhoven-Stats,PSV Eindhoven,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e334d850.png,17,14,2,1,54,14,+40,44,2.59,45.3,13.3,+31.9,+1.88,17,9,4,4,35,26,+9,31,1.82,36.2,18.7,+17.5,+1.03,23,2022-2023,e609fd21-2f17-47f9-9408-7416ff8af233
3,19c3f8c4,/en/squads/19c3f8c4/2022-2023/Ajax-Stats,Ajax,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.19c3f8c4.png,17,10,5,2,47,14,+33,35,2.06,46.8,11.5,+35.3,+2.08,17,10,4,3,39,24,+15,34,2.00,32.0,19.0,+13.0,+0.76,23,2022-2023,e609fd21-2f17-47f9-9408-7416ff8af233
4,3986b791,/en/squads/3986b791/2022-2023/AZ-Alkmaar-Stats,AZ Alkmaar,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.3986b791.png,17,9,5,3,36,20,+16,32,1.88,31.2,19.1,+12.2,+0.72,17,11,2,4,32,15,+17,35,2.06,24.2,19.8,+4.4,+0.26,23,2022-2023,e609fd21-2f17-47f9-9408-7416ff8af233
5,a1f721d3,/en/squads/a1f721d3/2022-2023/Twente-Stats,Twente,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a1f721d3.png,17,13,4,0,46,11,+35,43,2.53,35.8,16.8,+19.0,+1.12,17,5,6,6,20,16,+4,21,1.24,27.0,19.4,+7.6,+0.45,23,2022-2023,e609fd21-2f17-47f9-9408-7416ff8af233
6,146a68ce,/en/squads/146a68ce/2022-2023/Sparta-Rotterdam-Stats,Sparta R'dam,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.146a68ce.png,17,10,2,5,32,18,+14,32,1.88,20.7,23.5,-2.8,-0.17,17,7,6,4,28,19,+9,27,1.59,20.8,23.7,-2.9,-0.17,23,2022-2023,e609fd21-2f17-47f9-9408-7416ff8af233
7,2a428619,/en/squads/2a428619/2022-2023/Utrecht-Stats,Utrecht,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2a428619.png,17,8,5,4,20,15,+5,29,1.71,24.4,17.1,+7.3,+0.43,17,7,4,6,35,35,0,25,1.47,24.9,28.4,-3.5,-0.20,23,2022-2023,e609fd21-2f17-47f9-9408-7416ff8af233
8,193ff7aa,/en/squads/193ff7aa/2022-2023/Heerenveen-Stats,Heerenveen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.193ff7aa.png,17,6,3,8,21,26,-5,21,1.24,25.4,22.7,+2.8,+0.16,17,6,7,4,23,24,-1,25,1.47,18.7,28.2,-9.5,-0.56,23,2022-2023,e609fd21-2f17-47f9-9408-7416ff8af233
9,bb14adb3,/en/squads/bb14adb3/2022-2023/RKC-Waalwijk-Stats,RKC Waalwijk,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.bb14adb3.png,17,9,3,5,34,26,+8,30,1.76,29.3,24.9,+4.4,+0.26,17,2,5,10,16,38,-22,11,0.65,16.0,39.1,-23.0,-1.36,23,2022-2023,e609fd21-2f17-47f9-9408-7416ff8af233
10,209d7fa2,/en/squads/209d7fa2/2022-2023/Vitesse-Stats,Vitesse,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.209d7fa2.png,17,5,6,6,24,25,-1,21,1.24,21.0,17.6,+3.4,+0.20,17,5,4,8,21,25,-4,19,1.12,22.8,22.6,+0.2,+0.01,23,2022-2023,e609fd21-2f17-47f9-9408-7416ff8af233
