rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,competition_id,season_id,id
1,e334d850,/en/squads/e334d850/2015-2016/PSV-Eindhoven-Stats,PSV Eindhoven,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e334d850.png,17,13,3,1,41,16,+25,42,2.47,17,13,3,1,47,16,+31,42,2.47,23,2015-2016,5133cd7c-b586-4863-8604-b3c8b0fba600
2,19c3f8c4,/en/squads/19c3f8c4/2015-2016/Ajax-Stats,Ajax,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.19c3f8c4.png,17,13,3,1,49,12,+37,42,2.47,17,12,4,1,32,9,+23,40,2.35,23,2015-2016,5133cd7c-b586-4863-8604-b3c8b0fba600
3,fb4ca611,/en/squads/fb4ca611/2015-2016/Feyenoord-Stats,Feyenoord,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fb4ca611.png,17,11,3,3,33,14,+19,36,2.12,17,8,3,6,29,26,+3,27,1.59,23,2015-2016,5133cd7c-b586-4863-8604-b3c8b0fba600
4,3986b791,/en/squads/3986b791/2015-2016/AZ-Alkmaar-Stats,AZ Alkmaar,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.3986b791.png,17,10,2,5,38,24,+14,32,1.88,17,8,3,6,32,29,+3,27,1.59,23,2015-2016,5133cd7c-b586-4863-8604-b3c8b0fba600
5,2a428619,/en/squads/2a428619/2015-2016/Utrecht-Stats,Utrecht,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2a428619.png,17,9,4,4,30,24,+6,31,1.82,17,6,4,7,27,24,+3,22,1.29,23,2015-2016,5133cd7c-b586-4863-8604-b3c8b0fba600
6,c882b88e,/en/squads/c882b88e/2015-2016/Heracles-Almelo-Stats,Heracles Almelo,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.c882b88e.png,17,9,5,3,28,23,+5,32,1.88,17,5,4,8,19,26,-7,19,1.12,23,2015-2016,5133cd7c-b586-4863-8604-b3c8b0fba600
7,bec05adb,/en/squads/bec05adb/2015-2016/Groningen-Stats,Groningen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.bec05adb.png,17,10,3,4,25,19,+6,33,1.94,17,4,5,8,16,29,-13,17,1.00,23,2015-2016,5133cd7c-b586-4863-8604-b3c8b0fba600
8,e3db180b,/en/squads/e3db180b/2015-2016/Zwolle-Stats,Zwolle,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e3db180b.png,17,10,2,5,35,27,+8,32,1.88,17,4,4,9,21,27,-6,16,0.94,23,2015-2016,5133cd7c-b586-4863-8604-b3c8b0fba600
9,209d7fa2,/en/squads/209d7fa2/2015-2016/Vitesse-Stats,Vitesse,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.209d7fa2.png,17,7,4,6,30,18,+12,25,1.47,17,5,6,6,25,20,+5,21,1.24,23,2015-2016,5133cd7c-b586-4863-8604-b3c8b0fba600
10,fc629994,/en/squads/fc629994/2015-2016/NEC-Nijmegen-Stats,NEC Nijmegen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fc629994.png,17,11,2,4,25,17,+8,35,2.06,17,2,5,10,12,25,-13,11,0.65,23,2015-2016,5133cd7c-b586-4863-8604-b3c8b0fba600
