rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,competition_id,season_id,id
1,e0652b02,/en/squads/e0652b02/2016-2017/Juventus-Stats,Juventus,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e0652b02.png,19,18,1,0,48,9,+39,55,2.89,19,11,3,5,29,18,+11,36,1.89,11,2016-2017,ed34e5c1-cf20-4fd6-b1e8-b8007f9a8aac
2,cf74a709,/en/squads/cf74a709/2016-2017/Roma-Stats,Roma,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cf74a709.png,19,16,1,2,50,18,+32,49,2.58,19,12,2,5,40,20,+20,38,2.00,11,2016-2017,ed34e5c1-cf20-4fd6-b1e8-b8007f9a8aac
3,d48ad4ff,/en/squads/d48ad4ff/2016-2017/Napoli-Stats,Napoli,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d48ad4ff.png,19,13,4,2,44,19,+25,43,2.26,19,13,4,2,50,20,+30,43,2.26,11,2016-2017,ed34e5c1-cf20-4fd6-b1e8-b8007f9a8aac
4,922493f3,/en/squads/922493f3/2016-2017/Atalanta-Stats,Atalanta,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.922493f3.png,19,12,4,3,31,18,+13,40,2.11,19,9,5,5,31,23,+8,32,1.68,11,2016-2017,ed34e5c1-cf20-4fd6-b1e8-b8007f9a8aac
5,7213da33,/en/squads/7213da33/2016-2017/Lazio-Stats,Lazio,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7213da33.png,19,12,2,5,40,23,+17,38,2.00,19,9,5,5,34,28,+6,32,1.68,11,2016-2017,ed34e5c1-cf20-4fd6-b1e8-b8007f9a8aac
6,dc56fe14,/en/squads/dc56fe14/2016-2017/Milan-Stats,Milan,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.dc56fe14.png,19,12,2,5,32,20,+12,38,2.00,19,6,7,6,25,25,0,25,1.32,11,2016-2017,ed34e5c1-cf20-4fd6-b1e8-b8007f9a8aac
7,d609edc0,/en/squads/d609edc0/2016-2017/Internazionale-Stats,Inter,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d609edc0.png,19,11,3,5,44,22,+22,36,1.89,19,8,2,9,28,27,+1,26,1.37,11,2016-2017,ed34e5c1-cf20-4fd6-b1e8-b8007f9a8aac
8,421387cf,/en/squads/421387cf/2016-2017/Fiorentina-Stats,Fiorentina,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.421387cf.png,19,10,8,1,34,23,+11,38,2.00,19,6,4,9,29,34,-5,22,1.16,11,2016-2017,ed34e5c1-cf20-4fd6-b1e8-b8007f9a8aac
9,105360fe,/en/squads/105360fe/2016-2017/Torino-Stats,Torino,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.105360fe.png,19,9,8,2,43,31,+12,35,1.84,19,4,6,9,28,35,-7,18,0.95,11,2016-2017,ed34e5c1-cf20-4fd6-b1e8-b8007f9a8aac
10,8ff9e3b3,/en/squads/8ff9e3b3/2016-2017/Sampdoria-Stats,Sampdoria,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.8ff9e3b3.png,19,8,6,5,28,23,+5,30,1.58,19,4,6,9,21,32,-11,18,0.95,11,2016-2017,ed34e5c1-cf20-4fd6-b1e8-b8007f9a8aac
11,c4260e09,/en/squads/c4260e09/2016-2017/Cagliari-Stats,Cagliari,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.c4260e09.png,19,11,3,5,38,34,+4,36,1.89,19,3,2,14,17,42,-25,11,0.58,11,2016-2017,ed34e5c1-cf20-4fd6-b1e8-b8007f9a8aac
12,e2befd26,/en/squads/e2befd26/2016-2017/Sassuolo-Stats,Sassuolo,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e2befd26.png,19,7,3,9,27,28,-1,24,1.26,19,6,4,9,31,35,-4,22,1.16,11,2016-2017,ed34e5c1-cf20-4fd6-b1e8-b8007f9a8aac
