rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,competition_id,season_id,id
1,d609edc0,/en/squads/d609edc0/2023-2024/Internazionale-Stats,Inter,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d609edc0.png,19,14,4,1,44,11,+33,46,2.42,42.4,14.6,+27.8,+1.47,19,15,3,1,45,11,+34,48,2.53,35.8,16.6,+19.2,+1.01,11,2023-2024,27f32d23-b524-433a-b3ea-ce91c0e8302a
2,dc56fe14,/en/squads/dc56fe14/2023-2024/Milan-Stats,Milan,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.dc56fe14.png,19,12,4,3,38,17,+21,40,2.11,34.3,20.8,+13.5,+0.71,19,10,5,4,38,32,+6,35,1.84,31.9,24.6,+7.3,+0.38,11,2023-2024,27f32d23-b524-433a-b3ea-ce91c0e8302a
3,e0652b02,/en/squads/e0652b02/2023-2024/Juventus-Stats,Juventus,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e0652b02.png,19,11,7,1,26,11,+15,40,2.11,29.0,10.1,+18.9,+0.99,19,8,7,4,28,20,+8,31,1.63,25.6,20.0,+5.7,+0.30,11,2023-2024,27f32d23-b524-433a-b3ea-ce91c0e8302a
4,922493f3,/en/squads/922493f3/2023-2024/Atalanta-Stats,Atalanta,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.922493f3.png,19,13,2,4,42,16,+26,41,2.16,36.9,20.0,+16.9,+0.89,19,8,4,7,30,26,+4,28,1.47,20.9,21.2,-0.2,-0.01,11,2023-2024,27f32d23-b524-433a-b3ea-ce91c0e8302a
5,1d8099f8,/en/squads/1d8099f8/2023-2024/Bologna-Stats,Bologna,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.1d8099f8.png,19,12,5,2,33,12,+21,41,2.16,24.8,15.5,+9.3,+0.49,19,6,9,4,21,20,+1,27,1.42,23.1,21.6,+1.5,+0.08,11,2023-2024,27f32d23-b524-433a-b3ea-ce91c0e8302a
6,cf74a709,/en/squads/cf74a709/2023-2024/Roma-Stats,Roma,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cf74a709.png,19,12,4,3,38,19,+19,40,2.11,26.6,14.4,+12.1,+0.64,19,6,5,8,27,27,0,23,1.21,24.8,27.4,-2.6,-0.14,11,2023-2024,27f32d23-b524-433a-b3ea-ce91c0e8302a
7,7213da33,/en/squads/7213da33/2023-2024/Lazio-Stats,Lazio,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7213da33.png,19,10,4,5,23,14,+9,34,1.79,24.9,16.0,+8.9,+0.47,19,8,3,8,26,25,+1,27,1.42,21.6,26.0,-4.4,-0.23,11,2023-2024,27f32d23-b524-433a-b3ea-ce91c0e8302a
8,421387cf,/en/squads/421387cf/2023-2024/Fiorentina-Stats,Fiorentina,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.421387cf.png,19,10,5,4,37,22,+15,35,1.84,29.5,19.5,+10.0,+0.53,19,7,4,8,24,24,0,25,1.32,22.2,28.6,-6.4,-0.34,11,2023-2024,27f32d23-b524-433a-b3ea-ce91c0e8302a
9,105360fe,/en/squads/105360fe/2023-2024/Torino-Stats,Torino,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.105360fe.png,19,8,9,2,18,9,+9,33,1.74,21.1,14.2,+7.0,+0.37,19,5,5,9,18,27,-9,20,1.05,16.6,23.2,-6.7,-0.35,11,2023-2024,27f32d23-b524-433a-b3ea-ce91c0e8302a
10,d48ad4ff,/en/squads/d48ad4ff/2023-2024/Napoli-Stats,Napoli,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d48ad4ff.png,19,6,7,6,24,27,-3,25,1.32,34.8,21.5,+13.4,+0.70,19,7,7,5,31,21,+10,28,1.47,26.6,16.9,+9.7,+0.51,11,2023-2024,27f32d23-b524-433a-b3ea-ce91c0e8302a
