player_link,player_id,player_name,nationality,position,team_id,team_name,team_link,age,birth_year,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,matches_link,competition_id,season_id,id
/en/players/7a2e46a8/Alisson,7a2e46a8,Alisson,brBRA,GK,2023-2024,Liverpool,/en/squads/822bd0ba/2023-2024/Liverpool-Stats,30,1992,28.0,30,1,0,4,1,28.7,0.26,-0.3,-0.01,60,183,32.8,1021,140,14.1,24.7,116,33.6,33.3,299,13,4.3,33,1.18,17.7,/en/players/7a2e46a8/matchlogs/2023-2024/keeper/Alisson-Match-Logs,9,2023-2024,eef922cb-8423-4f29-b6f3-2960b245408d
/en/players/2f965a72/Alphonse-Areola,2f965a72,Alphonse Areola,frFRA,GK,2023-2024,West Ham,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats,30,1993,30.0,53,5,0,3,3,52.1,0.24,+2.1,+0.07,160,430,37.2,643,144,43.9,36.8,219,67.6,47.3,468,27,5.8,7,0.23,8.9,/en/players/2f965a72/matchlogs/2023-2024/keeper/Alphonse-Areola-Match-Logs,9,2023-2024,dc76ffe9-ef88-4faa-8091-5bdcb37c8f4a
/en/players/68db6358/Daniel-Bentley,68db6358,Daniel Bentley,engENG,GK,2023-2024,Wolves,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats,30,1993,4.3,7,0,0,0,0,5.8,0.39,-1.2,-0.28,13,56,23.2,111,9,36.0,33.8,33,48.5,36.9,50,0,0.0,3,0.70,13.3,/en/players/68db6358/matchlogs/2023-2024/keeper/Daniel-Bentley-Match-Logs,9,2023-2024,fd1b4596-fb28-4173-b6a9-ca350b6866ba
/en/players/3a949a25/Martin-Dubravka,3a949a25,Martin Dúbravka,skSVK,GK,2023-2024,Newcastle Utd,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats,34,1989,22.1,42,4,0,5,0,42.2,0.29,+0.2,+0.01,56,165,33.9,480,143,15.6,25.4,169,53.3,39.1,296,20,6.8,22,1.00,12.9,/en/players/3a949a25/matchlogs/2023-2024/keeper/Martin-Dubravka-Match-Logs,9,2023-2024,7fdf6a50-786f-4a3f-ac70-6a6276a2c235
/en/players/3bb7b8b4/Ederson,3bb7b8b4,Ederson,brBRA,GK,2023-2024,Manchester City,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats,29,1993,30.9,27,3,0,2,1,27.2,0.30,+1.2,+0.04,114,246,46.3,1120,137,18.3,27.2,114,36.0,36.3,247,25,10.1,50,1.62,17.3,/en/players/3bb7b8b4/matchlogs/2023-2024/keeper/Ederson-Match-Logs,9,2023-2024,39fd0ee9-89b5-48c7-a247-0d5e2cd2d912
/en/players/9328b835/Lukasz-Fabianski,9328b835,Łukasz Fabiański,plPOL,GK,2023-2024,West Ham,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats,38,1985,8.0,21,3,0,3,1,19.8,0.33,-0.2,-0.02,50,123,40.7,182,44,50.0,39.0,56,57.1,45.1,114,8,7.0,1,0.12,7.6,/en/players/9328b835/matchlogs/2023-2024/keeper/Lukasz-Fabianski-Match-Logs,9,2023-2024,4eab9e34-ee35-45f7-805c-4fcd93382527
/en/players/a92ab7be/Mark-Flekken,a92ab7be,Mark Flekken,nlNED,GK,2023-2024,Brentford,/en/squads/cd051869/2023-2024/Brentford-Stats,30,1993,36.5,63,2,0,6,0,55.4,0.31,-7.6,-0.21,242,647,37.4,1288,131,36.6,34.5,289,60.9,46.7,568,44,7.7,37,1.01,12.6,/en/players/a92ab7be/matchlogs/2023-2024/keeper/Mark-Flekken-Match-Logs,9,2023-2024,9a88cdc0-e045-4b63-8fc9-91565c54cbcc
/en/players/96cf7b61/Wes-Foderingham,96cf7b61,Wes Foderingham,engENG,GK,2023-2024,Sheffield Utd,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats,32,1991,29.4,79,5,0,8,5,70.4,0.33,-3.6,-0.12,205,618,33.2,783,101,54.5,40.2,262,72.9,52.1,468,28,6.0,42,1.43,14.7,/en/players/96cf7b61/matchlogs/2023-2024/keeper/Wes-Foderingham-Match-Logs,9,2023-2024,1c5b2675-eaec-40bf-b0a6-6fc1102d793f
/en/players/3f034750/Ivo-Grbic,3f034750,Ivo Grbić,hrCRO,GK,2023-2024,Sheffield Utd,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats,27,1996,8.6,25,0,0,4,2,14.7,0.25,-8.3,-0.97,65,199,32.7,207,25,57.5,41.2,89,89.9,59.4,193,11,5.7,14,1.63,14.4,/en/players/3f034750/matchlogs/2023-2024/keeper/Ivo-Grbic-Match-Logs,9,2023-2024,4783bb3d-ec78-45f3-ad26-c46e3b2a3bf3
/en/players/e5a76dfe/Dean-Henderson,e5a76dfe,Dean Henderson,engENG,GK,2023-2024,Crystal Palace,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats,26,1997,18.0,30,1,0,3,1,27.4,0.31,-1.6,-0.09,59,245,24.1,377,52,46.7,38.6,105,65.7,47.0,246,5,2.0,17,0.94,13.8,/en/players/e5a76dfe/matchlogs/2023-2024/keeper/Dean-Henderson-Match-Logs,9,2023-2024,22c6ad9c-fa4c-431e-bb2b-008309ec3a6f
/en/players/9e5708be/Sam-Johnstone,9e5708be,Sam Johnstone,engENG,GK,2023-2024,Crystal Palace,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats,30,1993,20.0,27,2,0,4,1,20.0,0.27,-6.0,-0.30,117,355,33.0,453,63,55.0,41.2,141,75.2,52.8,339,24,7.1,12,0.60,11.2,/en/players/9e5708be/matchlogs/2023-2024/keeper/Sam-Johnstone-Match-Logs,9,2023-2024,6dd31c22-0843-4833-9a05-7993ecf9f350
/en/players/1caa93a5/Thomas-Kaminski,1caa93a5,Thomas Kaminski,beBEL,GK,2023-2024,Luton Town,/en/squads/e297cd13/2023-2024/Luton-Town-Stats,30,1992,37.8,85,4,0,13,4,77.6,0.34,-3.4,-0.09,271,808,33.5,1121,150,52.0,39.5,341,66.0,47.5,558,16,2.9,76,2.01,20.5,/en/players/1caa93a5/matchlogs/2023-2024/keeper/Thomas-Kaminski-Match-Logs,9,2023-2024,abc204a8-e326-4c5e-ace2-efc9a27cef56
/en/players/32e7ce92/Loris-Karius,32e7ce92,Loris Karius,deGER,GK,2023-2024,Newcastle Utd,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats,30,1993,1.0,4,0,0,1,1,2.0,0.29,-1.0,-0.99,3,18,16.7,27,5,48.1,36.3,9,55.6,41.8,10,1,10.0,3,3.00,19.5,/en/players/32e7ce92/matchlogs/2023-2024/keeper/Loris-Karius-Match-Logs,9,2023-2024,2cd89386-7e26-45f2-bc14-7aba51bbd89a
/en/players/62d7ef38/Caoimhin-Kelleher,62d7ef38,Caoimhín Kelleher,ieIRL,GK,2023-2024,Liverpool,/en/squads/822bd0ba/2023-2024/Liverpool-Stats,24,1998,10.0,11,0,0,3,1,11.3,0.30,+1.3,+0.13,32,102,31.4,411,52,22.4,27.3,28,35.7,34.9,77,5,6.5,13,1.30,17.0,/en/players/62d7ef38/matchlogs/2023-2024/keeper/Caoimhin-Kelleher-Match-Logs,9,2023-2024,c1a9717d-1544-435f-9f41-5ac120e236ac
/en/players/2628fd2b/Bernd-Leno,2628fd2b,Bernd Leno,deGER,GK,2023-2024,Fulham,/en/squads/fd962109/2023-2024/Fulham-Stats,31,1992,38.0,61,8,2,3,4,55.7,0.26,-1.3,-0.03,144,439,32.8,1372,167,23.7,28.5,201,56.7,44.7,472,19,4.0,40,1.05,14.2,/en/players/2628fd2b/matchlogs/2023-2024/keeper/Bernd-Leno-Match-Logs,9,2023-2024,c92a0527-b106-4a44-978d-d8e4d01ff140
/en/players/7956236f/Emiliano-Martinez,7956236f,Emiliano Martínez,arARG,GK,2023-2024,Aston Villa,/en/squads/8602292d/2023-2024/Aston-Villa-Stats,30,1992,33.5,48,1,0,10,4,50.6,0.37,+6.6,+0.20,121,332,36.4,1270,157,21.0,27.7,159,40.9,36.1,373,45,12.1,69,2.06,17.5,/en/players/7956236f/matchlogs/2023-2024/keeper/Emiliano-Martinez-Match-Logs,9,2023-2024,5d5b0cf3-685f-4cbe-a838-188cdfd6166e
/en/players/27f4f772/Remi-Matthews,27f4f772,Remi Matthews,engENG,GK,2023-2024,Crystal Palace,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats,29,1994,0.0,1,0,0,0,0,0.1,0.15,-0.9,-19.20,0,5,0.0,4,0,100.0,53.8,1,100.0,63.0,1,1,100.0,0,0.00,3.5,/en/players/27f4f772/matchlogs/2023-2024/keeper/Remi-Matthews-Match-Logs,9,2023-2024,f413336e-567a-4dc2-b7a2-306ba373af89
/en/players/99aa1a84/Arijanet-Muric,99aa1a84,Arijanet Muric,xkKVX,GK,2023-2024,Burnley,/en/squads/943e8050/2023-2024/Burnley-Stats,24,1998,10.0,16,1,0,1,1,21.7,0.26,+6.7,+0.67,77,219,35.2,547,54,36.4,34.3,33,60.6,45.1,143,20,14.0,31,3.10,17.2,/en/players/99aa1a84/matchlogs/2023-2024/keeper/Arijanet-Muric-Match-Logs,9,2023-2024,9119312b-84a4-405d-9a7b-49977f456390
/en/players/a9dc785c/Neto,a9dc785c,Neto,brBRA,GK,2023-2024,Bournemouth,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats,34,1989,32.0,55,5,1,3,1,55.2,0.31,+1.2,+0.04,172,494,34.8,833,154,44.1,36.9,223,57.0,44.2,413,26,6.3,34,1.06,13.7,/en/players/a9dc785c/matchlogs/2023-2024/keeper/Neto-Match-Logs,9,2023-2024,ed6b553f-bb34-40a7-ba8f-1569e1bbc7c4
