player_link,player_id,player_name,nationality,position,team_id,team_name,team_link,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches_link,competition_id,season_id,id
/en/players/774cf58b/Max-Aarons,774cf58b,Max Aarons,engENG,DF,2023-2024,Bournemouth,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats,23,2000,13.7,1,0,0,12,26,2,13,8,19,0,1,0,75,5,11,31.3,/en/players/774cf58b/matchlogs/2023-2024/misc/Max-Aarons-Match-Logs,9,2023-2024,03092a68-0d11-4656-96d0-7001040ab34c
/en/players/b7e62e1d/Joshua-Acheampong,b7e62e1d,Joshua Acheampong,engENG,DF,2023-2024,Chelsea,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats,17,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,/en/players/b7e62e1d/matchlogs/2023-2024/misc/Joshua-Acheampong-Match-Logs,9,2023-2024,c9fdac96-745c-456b-82a6-1b5d8cef1332
/en/players/2b09d998/Tyler-Adams,2b09d998,Tyler Adams,usUSA,MF,2023-2024,Bournemouth,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats,24,1999,1.3,0,0,0,0,3,0,1,4,3,0,0,0,7,2,3,40.0,/en/players/2b09d998/matchlogs/2023-2024/misc/Tyler-Adams-Match-Logs,9,2023-2024,93297037-d7bf-46ae-ae82-7a063d17b671
/en/players/c81d773d/Tosin-Adarabioyo,c81d773d,Tosin Adarabioyo,engENG,DF,2023-2024,Fulham,/en/squads/fd962109/2023-2024/Fulham-Stats,25,1997,18.0,2,0,0,10,5,0,1,25,11,0,0,0,43,56,28,66.7,/en/players/c81d773d/matchlogs/2023-2024/misc/Tosin-Adarabioyo-Match-Logs,9,2023-2024,1b0c8b94-800f-44c6-a63b-ccf19e95178e
/en/players/0480ebc7/Elijah-Adebayo,0480ebc7,Elijah Adebayo,engENG,FW,2023-2024,Luton Town,/en/squads/e297cd13/2023-2024/Luton-Town-Stats,25,1998,15.8,1,0,0,27,16,13,5,6,1,0,0,0,34,43,43,50.0,/en/players/0480ebc7/matchlogs/2023-2024/misc/Elijah-Adebayo-Match-Logs,9,2023-2024,93726687-ec45-42f7-9659-edd626f232ab
/en/players/4dcec659/Simon-Adingra,4dcec659,Simon Adingra,ciCIV,FW,2023-2024,Brighton,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats,21,2002,24.7,3,0,0,29,19,17,76,19,20,1,0,0,118,8,12,40.0,/en/players/4dcec659/matchlogs/2023-2024/misc/Simon-Adingra-Match-Logs,9,2023-2024,4480bfa2-b6a7-4169-a8ca-76d9be738190
/en/players/288e1e13/Nayef-Aguerd,288e1e13,Nayef Aguerd,maMAR,DF,2023-2024,West Ham,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats,27,1996,20.6,3,1,1,10,6,0,5,17,14,0,1,0,102,48,32,60.0,/en/players/288e1e13/matchlogs/2023-2024/misc/Nayef-Aguerd-Match-Logs,9,2023-2024,101483bf-b081-4c79-8f5c-c953f8356a5d
/en/players/938fa024/Brandon-Aguilera,938fa024,Brandon Aguilera,crCRC,FW,2023-2024,Nott'ham Forest,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats,20,2003,0.1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,/en/players/938fa024/matchlogs/2023-2024/misc/Brandon-Aguilera-Match-Logs,9,2023-2024,cda2beb0-2126-492e-9c48-2c23b904925f
/en/players/a6c58494/Naouirou-Ahamada,a6c58494,Naouirou Ahamada,frFRA,"MF,FW",2023-2024,Crystal Palace,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats,21,2002,3.9,4,1,1,9,6,1,6,2,9,0,0,0,30,3,3,50.0,/en/players/a6c58494/matchlogs/2023-2024/misc/Naouirou-Ahamada-Match-Logs,9,2023-2024,5d462991-0ae2-4ab0-98a9-61a29f608572
/en/players/eab957a3/Anel-Ahmedhodzic,eab957a3,Anel Ahmedhodžić,baBIH,DF,2023-2024,Sheffield Utd,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats,24,1999,29.4,11,1,1,34,13,2,6,34,36,0,0,0,106,52,36,59.1,/en/players/eab957a3/matchlogs/2023-2024/misc/Anel-Ahmedhodzic-Match-Logs,9,2023-2024,7ff5a239-8b40-457b-82aa-544ddeaaf42c
