player_link,player_id,player_name,nationality,position,team_id,team_name,team_link,age,birth_year,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,matches_link,competition_id,season_id,id
/en/players/e5a76dfe/Dean-Henderson,e5a76dfe,Dean Henderson,engENG,GK,47c64c55,Crystal Palace,/en/squads/47c64c55/Crystal-Palace-Stats,27,1997,38.0,51,1,1,5,3,51.2,0.35,+3.2,+0.08,157,600,26.2,942,115,47.5,38.5,273,56.0,44.9,559,30,5.4,40,1.05,14.3,/en/players/e5a76dfe/matchlogs/2024-2025/keeper/Dean-Henderson-Match-Logs,9,2024-2025,c954bc82-d013-4cd3-9e62-fbd5cbefb28c
/en/players/c924b17d/Mads-Hermansen,c924b17d,Mads Hermansen,dkDEN,GK,a2d435b3,Leicester City,/en/squads/a2d435b3/Leicester-City-Stats,24,2000,26.5,58,3,0,3,3,56.4,0.35,+1.4,+0.05,114,471,24.2,926,133,39.2,34.6,143,75.5,51.5,419,26,6.2,26,0.98,13.1,/en/players/c924b17d/matchlogs/2024-2025/keeper/Mads-Hermansen-Match-Logs,9,2024-2025,a3a18425-4f4d-4eff-8445-38e98509c134
/en/players/12bb4d6a/Vitezslav-Jaros,12bb4d6a,Vitezslav Jaros,czCZE,GK,2024-2025,Liverpool,/en/squads/822bd0ba/2024-2025/Liverpool-Stats,23,2001,0.1,0,0,0,0,0,0.0,0.03,0.0,+0.25,5,7,71.4,7,2,85.7,50.9,1,100.0,59.0,2,0,0.0,0,0.00,11.0,/en/players/12bb4d6a/matchlogs/2024-2025/keeper/Vitezslav-Jaros-Match-Logs,9,2024-2025,44edc7ae-ee0e-421c-b390-b0472f7c6717
/en/players/9e5708be/Sam-Johnstone,9e5708be,Sam Johnstone,engENG,GK,8cec06e1,Wolves,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats,31,1993,7.0,17,2,0,5,1,13.0,0.29,-3.0,-0.43,52,129,40.3,252,28,45.6,36.6,25,56.0,43.2,104,8,7.7,11,1.57,13.4,/en/players/9e5708be/matchlogs/2024-2025/keeper/Sam-Johnstone-Match-Logs,9,2024-2025,2b0d6f7d-779a-4a47-bb6d-20688de51395
/en/players/0107757e/Filip-Jorgensen,0107757e,Filip Jørgensen,dkDEN,GK,2024-2025,Chelsea,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats,22,2002,6.0,9,1,0,1,0,9.3,0.30,+0.3,+0.04,7,33,21.2,171,19,18.1,24.1,18,11.1,17.5,53,2,3.8,2,0.33,13.2,/en/players/0107757e/matchlogs/2024-2025/keeper/Filip-Jorgensen-Match-Logs,9,2024-2025,d899d441-1dcd-423a-acc1-60162b05b1b3
/en/players/62d7ef38/Caoimhin-Kelleher,62d7ef38,Caoimhín Kelleher,ieIRL,GK,2024-2025,Liverpool,/en/squads/822bd0ba/2024-2025/Liverpool-Stats,25,1998,10.0,12,0,0,1,0,11.6,0.30,-0.4,-0.04,29,115,25.2,364,49,28.6,29.0,18,61.1,42.8,113,6,5.3,9,0.90,14.0,/en/players/62d7ef38/matchlogs/2024-2025/keeper/Caoimhin-Kelleher-Match-Logs,9,2024-2025,983c852b-811e-4722-803c-9d1899804697
/en/players/5791b997/Tom-King,5791b997,Tom King,wlsWAL,GK,8cec06e1,Wolves,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats,29,1995,0.0,0,0,0,0,0,0.0,,0.0,0.00,0,0,,1,1,0.0,14.0,0,,,1,0,0.0,0,0.00,,/en/players/5791b997/matchlogs/2024-2025/keeper/Tom-King-Match-Logs,9,2024-2025,86aa5c7c-806c-46f0-9e05-4d1394fb6acc
/en/players/b38ac6a4/Antonin-Kinsky,b38ac6a4,Antonín Kinský,czCZE,GK,2024-2025,Tottenham,/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats,21,2003,6.0,11,0,0,1,2,10.5,0.33,+1.5,+0.25,17,58,29.3,186,37,26.9,30.7,30,26.7,29.1,112,10,8.9,9,1.50,12.1,/en/players/b38ac6a4/matchlogs/2024-2025/keeper/Antonin-Kinsky-Match-Logs,9,2024-2025,c4b77761-03ce-49b7-b4b2-4e40e54ad53f
/en/players/2628fd2b/Bernd-Leno,2628fd2b,Bernd Leno,deGER,GK,fd962109,Fulham,/en/squads/fd962109/Fulham-Stats,32,1992,38.0,54,3,0,6,2,48.9,0.29,-3.1,-0.08,141,367,38.4,1231,167,22.7,28.9,172,51.2,41.9,507,23,4.5,33,0.87,13.3,/en/players/2628fd2b/matchlogs/2024-2025/keeper/Bernd-Leno-Match-Logs,9,2024-2025,309876d5-9450-4a1a-a2bd-231049e61a62
/en/players/bdf3a08e/Joe-Lumley,bdf3a08e,Joe Lumley,engENG,GK,33c895d4,Southampton,/en/squads/33c895d4/Southampton-Stats,29,1995,3.0,7,0,0,1,0,7.7,0.39,+0.7,+0.22,15,50,30.0,135,14,34.1,30.0,15,26.7,24.0,56,2,3.6,7,2.33,18.0,/en/players/bdf3a08e/matchlogs/2024-2025/keeper/Joe-Lumley-Match-Logs,9,2024-2025,5dc8932f-de50-4d66-9841-3538a5366d07
/en/players/7956236f/Emiliano-Martinez,7956236f,Emiliano Martínez,arARG,GK,8602292d,Aston Villa,/en/squads/8602292d/Aston-Villa-Stats,31,1992,35.5,45,1,1,2,0,45.8,0.32,+0.8,+0.02,162,420,38.6,1208,132,26.3,30.4,172,59.3,46.3,498,56,11.2,35,0.99,13.7,/en/players/7956236f/matchlogs/2024-2025/keeper/Emiliano-Martinez-Match-Logs,9,2024-2025,55bde1df-0133-4420-a58c-f2b8695ffa59
/en/players/36c2ca73/Alex-McCarthy,36c2ca73,Alex McCarthy,engENG,GK,33c895d4,Southampton,/en/squads/33c895d4/Southampton-Stats,34,1989,5.0,13,2,0,1,0,12.6,0.29,-0.4,-0.07,24,52,46.2,132,29,33.3,29.5,23,34.8,30.7,74,8,10.8,0,0.00,6.5,/en/players/36c2ca73/matchlogs/2024-2025/keeper/Alex-McCarthy-Match-Logs,9,2024-2025,2325ac74-529e-4a10-bca3-e4c84141e0a5
/en/players/99aa1a84/Arijanet-Muric,99aa1a84,Arijanet Muric,xkKVX,GK,b74092de,Ipswich Town,/en/squads/b74092de/Ipswich-Town-Stats,25,1998,18.0,33,3,0,2,0,31.4,0.29,-1.6,-0.09,76,229,33.2,534,94,29.6,30.3,94,75.5,54.6,249,39,15.7,20,1.11,12.2,/en/players/99aa1a84/matchlogs/2024-2025/keeper/Arijanet-Muric-Match-Logs,9,2024-2025,7faa96c8-1ce7-4cdc-9666-53c6db825fa0
/en/players/a9dc785c/Neto,a9dc785c,Neto,brBRA,GK,4ba7cbea,Bournemouth,/en/squads/4ba7cbea/Bournemouth-Stats,35,1989,2.0,2,0,0,0,0,4.3,0.35,+2.3,+1.17,9,27,33.3,46,7,43.5,36.8,15,46.7,38.9,30,2,6.7,3,1.50,12.6,/en/players/a9dc785c/matchlogs/2024-2025/keeper/Neto-Match-Logs,9,2024-2025,c5958b5e-fc8e-4e88-8547-7deb504331ef
/en/players/e7ee38c3/Robin-Olsen,e7ee38c3,Robin Olsen,seSWE,GK,8602292d,Aston Villa,/en/squads/8602292d/Aston-Villa-Stats,34,1990,2.5,6,1,0,0,0,6.3,0.40,+0.3,+0.12,19,54,35.2,75,1,42.7,35.9,26,84.6,60.0,40,3,7.5,0,0.00,8.6,/en/players/e7ee38c3/matchlogs/2024-2025/keeper/Robin-Olsen-Match-Logs,9,2024-2025,6d8a9f11-2466-4f1d-927e-ce74c91a0160
