player_link,player_id,player_name,nationality,position,team_id,team_name,team_link,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches_link,competition_id,season_id,id
/en/players/774cf58b/Max-Aarons,774cf58b,Max Aarons,engENG,DF,2023-2024,Bournemouth,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats,23,2000,13.7,0,2,0,0.0,0.15,0.00,0.00,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,/en/players/774cf58b/matchlogs/2023-2024/summary/Max-Aarons-Match-Logs,9,2023-2024,8ec06b38-df65-41db-a41e-6a915a03e15f
/en/players/b7e62e1d/Joshua-Acheampong,b7e62e1d,Joshua Acheampong,engENG,DF,2023-2024,Chelsea,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats,17,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/b7e62e1d/matchlogs/2023-2024/summary/Joshua-Acheampong-Match-Logs,9,2023-2024,7167e7f3-565e-4222-ba3b-2b71361d4033
/en/players/2b09d998/Tyler-Adams,2b09d998,Tyler Adams,usUSA,MF,2023-2024,Bournemouth,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats,24,1999,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/2b09d998/matchlogs/2023-2024/summary/Tyler-Adams-Match-Logs,9,2023-2024,fcc55cb2-3522-439e-89d3-eb3e38ec0a57
/en/players/c81d773d/Tosin-Adarabioyo,c81d773d,Tosin Adarabioyo,engENG,DF,2023-2024,Fulham,/en/squads/fd962109/2023-2024/Fulham-Stats,25,1997,18.0,2,14,5,35.7,0.78,0.28,0.14,0.40,14.2,0,0,0,0.7,0.7,0.05,+1.3,+1.3,/en/players/c81d773d/matchlogs/2023-2024/summary/Tosin-Adarabioyo-Match-Logs,9,2023-2024,6fbac9ae-5a3b-4052-bb63-78b133989310
/en/players/0480ebc7/Elijah-Adebayo,0480ebc7,Elijah Adebayo,engENG,FW,2023-2024,Luton Town,/en/squads/e297cd13/2023-2024/Luton-Town-Stats,25,1998,15.8,10,31,14,45.2,1.97,0.89,0.32,0.71,9.6,0,0,0,5.9,5.9,0.19,+4.1,+4.1,/en/players/0480ebc7/matchlogs/2023-2024/summary/Elijah-Adebayo-Match-Logs,9,2023-2024,c6a0571b-894f-4ce3-8f73-59f91d99d676
/en/players/4dcec659/Simon-Adingra,4dcec659,Simon Adingra,ciCIV,FW,2023-2024,Brighton,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats,21,2002,24.7,6,52,22,42.3,2.11,0.89,0.12,0.27,15.9,0,0,0,4.3,4.3,0.08,+1.7,+1.7,/en/players/4dcec659/matchlogs/2023-2024/summary/Simon-Adingra-Match-Logs,9,2023-2024,b87570ce-93d9-4fde-9d1d-6af602da0874
/en/players/288e1e13/Nayef-Aguerd,288e1e13,Nayef Aguerd,maMAR,DF,2023-2024,West Ham,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats,27,1996,20.6,1,14,3,21.4,0.68,0.15,0.07,0.33,10.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5,/en/players/288e1e13/matchlogs/2023-2024/summary/Nayef-Aguerd-Match-Logs,9,2023-2024,9a00b49b-3619-46ca-93fc-8e27e6c0cb93
/en/players/938fa024/Brandon-Aguilera,938fa024,Brandon Aguilera,crCRC,FW,2023-2024,Nott'ham Forest,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats,20,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/938fa024/matchlogs/2023-2024/summary/Brandon-Aguilera-Match-Logs,9,2023-2024,66386b93-3f33-41ec-bf07-cdf4298611a1
/en/players/a6c58494/Naouirou-Ahamada,a6c58494,Naouirou Ahamada,frFRA,"MF,FW",2023-2024,Crystal Palace,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats,21,2002,3.9,0,9,2,22.2,2.32,0.52,0.00,0.00,20.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,/en/players/a6c58494/matchlogs/2023-2024/summary/Naouirou-Ahamada-Match-Logs,9,2023-2024,ad6ae4a4-0bff-4f32-87de-f3f4bee4727b
/en/players/eab957a3/Anel-Ahmedhodzic,eab957a3,Anel Ahmedhodžić,baBIH,DF,2023-2024,Sheffield Utd,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats,24,1999,29.4,2,19,5,26.3,0.65,0.17,0.11,0.40,11.9,0,0,0,3.1,3.1,0.17,-1.1,-1.1,/en/players/eab957a3/matchlogs/2023-2024/summary/Anel-Ahmedhodzic-Match-Logs,9,2023-2024,1e306ff8-8e30-4908-ac83-8318f266b173
/en/players/246d153b/Ola-Aina,246d153b,Ola Aina,ngNGA,DF,2023-2024,Nott'ham Forest,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats,26,1996,18.8,1,11,1,9.1,0.59,0.05,0.09,1.00,26.6,0,0,0,0.3,0.3,0.02,+0.7,+0.7,/en/players/246d153b/matchlogs/2023-2024/summary/Ola-Aina-Match-Logs,9,2023-2024,6adaca6a-0c15-40dd-aa7e-ac5ce651fcb3
/en/players/9b398aea/Rayan-Ait-Nouri,9b398aea,Rayan Aït-Nouri,dzALG,"DF,MF",2023-2024,Wolves,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats,22,2001,25.9,2,24,8,33.3,0.93,0.31,0.08,0.25,16.8,0,0,0,3.3,3.3,0.14,-1.3,-1.3,/en/players/9b398aea/matchlogs/2023-2024/summary/Rayan-Ait-Nouri-Match-Logs,9,2023-2024,4ad0a0c2-488e-4ac6-bbe0-d45da74aed4a
/en/players/a8c0acb7/Kristoffer-Ajer,a8c0acb7,Kristoffer Ajer,noNOR,DF,2023-2024,Brentford,/en/squads/cd051869/2023-2024/Brentford-Stats,25,1998,20.4,2,12,4,33.3,0.59,0.20,0.17,0.50,9.9,0,0,0,1.3,1.3,0.11,+0.7,+0.7,/en/players/a8c0acb7/matchlogs/2023-2024/summary/Kristoffer-Ajer-Match-Logs,9,2023-2024,d4f731b9-ef0d-4e2f-9b2f-fcd1c958b9fa
/en/players/89ac64a6/Manuel-Akanji,89ac64a6,Manuel Akanji,chSUI,"DF,MF",2023-2024,Manchester City,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats,28,1995,27.9,2,15,5,33.3,0.54,0.18,0.13,0.40,17.0,0,0,0,1.9,1.9,0.13,+0.1,+0.1,/en/players/89ac64a6/matchlogs/2023-2024/summary/Manuel-Akanji-Match-Logs,9,2023-2024,06073e8b-2db1-4ca2-a1d9-6825ecb39181
/en/players/eaeca114/Nathan-Ake,eaeca114,Nathan Aké,nlNED,DF,2023-2024,Manchester City,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats,28,1995,22.7,2,20,5,25.0,0.88,0.22,0.10,0.40,10.8,0,0,0,2.5,2.5,0.12,-0.5,-0.5,/en/players/eaeca114/matchlogs/2023-2024/summary/Nathan-Ake-Match-Logs,9,2023-2024,869749b3-4d1b-4af6-a512-f76e6bbdb97e
/en/players/77e84962/Thiago-Alcantara,77e84962,Thiago Alcántara,esESP,MF,2023-2024,Liverpool,/en/squads/822bd0ba/2023-2024/Liverpool-Stats,32,1991,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/77e84962/matchlogs/2023-2024/summary/Thiago-Alcantara-Match-Logs,9,2023-2024,bfe8a146-b912-412f-bab1-d751c039fa1a
/en/players/cd1acf9d/Trent-Alexander-Arnold,cd1acf9d,Trent Alexander-Arnold,engENG,DF,2023-2024,Liverpool,/en/squads/822bd0ba/2023-2024/Liverpool-Stats,24,1998,23.9,3,47,8,17.0,1.96,0.33,0.06,0.38,24.4,5,0,0,2.6,2.3,0.05,+0.4,+0.7,/en/players/cd1acf9d/matchlogs/2023-2024/summary/Trent-Alexander-Arnold-Match-Logs,9,2023-2024,bbd16c96-f697-4461-a065-08f96eb069ba
/en/players/7a2e46a8/Alisson,7a2e46a8,Alisson,brBRA,GK,2023-2024,Liverpool,/en/squads/822bd0ba/2023-2024/Liverpool-Stats,30,1992,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/7a2e46a8/matchlogs/2023-2024/summary/Alisson-Match-Logs,9,2023-2024,ed2bad40-c613-4f64-adb0-91075c3743cc
/en/players/862a1c15/Miguel-Almiron,862a1c15,Miguel Almirón,pyPAR,FW,2023-2024,Newcastle Utd,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats,29,1994,21.5,3,41,12,29.3,1.91,0.56,0.07,0.25,16.1,0,0,0,4.5,4.5,0.11,-1.5,-1.5,/en/players/862a1c15/matchlogs/2023-2024/summary/Miguel-Almiron-Match-Logs,9,2023-2024,60cacba7-4af8-4824-8806-e4279a9cdd4d
/en/players/8b3ab7ad/Edson-Alvarez,8b3ab7ad,Edson Álvarez,mxMEX,MF,2023-2024,West Ham,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats,25,1997,26.4,1,17,3,17.6,0.64,0.11,0.06,0.33,21.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,/en/players/8b3ab7ad/matchlogs/2023-2024/summary/Edson-Alvarez-Match-Logs,9,2023-2024,27f3df8d-6029-433b-a11e-ea6c083cc80e
