player_link,player_id,player_name,nationality,position,team_id,team_name,team_link,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches_link,competition_id,season_id,id
/en/players/774cf58b/Max-Aarons,774cf58b,Max Aarons,engENG,DF,2023-2024,Bournemouth,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats,23,2000,20,"1,237",62,36.2,13.7,13,85,9,7,19,5,0.80,12,34,-22,-1.60,-1.97,14.2,27.1,-12.8,-0.94,-1.37,/en/players/774cf58b/matchlogs/2023-2024/summary/Max-Aarons-Match-Logs,9,2023-2024,bdfbd2f9-c587-4f56-a55b-e42b669850eb
/en/players/b7e62e1d/Joshua-Acheampong,b7e62e1d,Joshua Acheampong,engENG,DF,2023-2024,Chelsea,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats,17,2006,1,6,6,0.2,0.1,0,,0,1,6,3,3.00,0,0,0,0.00,-0.37,0.0,0.6,-0.5,-7.70,-8.15,/en/players/b7e62e1d/matchlogs/2023-2024/summary/Joshua-Acheampong-Match-Logs,9,2023-2024,977feb5d-5adc-4036-b7e4-bf499683d041
/en/players/2b09d998/Tyler-Adams,2b09d998,Tyler Adams,usUSA,MF,2023-2024,Bournemouth,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats,24,1999,3,121,40,3.5,1.3,1,90,1,2,16,2,2.00,4,3,+1,+0.74,+1.13,2.1,1.5,+0.6,+0.43,+0.51,/en/players/2b09d998/matchlogs/2023-2024/summary/Tyler-Adams-Match-Logs,9,2023-2024,a94b9d11-044d-4adc-bbdb-6d5c985aab70
/en/players/c81d773d/Tosin-Adarabioyo,c81d773d,Tosin Adarabioyo,engENG,DF,2023-2024,Fulham,/en/squads/fd962109/2023-2024/Fulham-Stats,25,1997,20,"1,617",81,47.3,18.0,18,90,17,2,2,2,1.40,28,25,+3,+0.17,+0.62,27.6,28.0,-0.5,-0.03,+0.56,/en/players/c81d773d/matchlogs/2023-2024/summary/Tosin-Adarabioyo-Match-Logs,9,2023-2024,6ea2d827-c8e8-4b9a-82ff-0315e3f417be
/en/players/c150b220/Tayo-Adaramola,c150b220,Tayo Adaramola,ieIRL,"DF,MF",2023-2024,Crystal Palace,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,/en/players/c150b220/matchlogs/2023-2024/summary/Tayo-Adaramola-Match-Logs,9,2023-2024,227b0f06-99b9-43c7-a75e-4cb38997deaa
/en/players/0480ebc7/Elijah-Adebayo,0480ebc7,Elijah Adebayo,engENG,FW,2023-2024,Luton Town,/en/squads/e297cd13/2023-2024/Luton-Town-Stats,25,1998,27,"1,419",53,41.5,15.8,16,77,5,11,16,0,0.78,30,36,-6,-0.38,+0.83,22.2,28.4,-6.3,-0.40,+0.92,/en/players/0480ebc7/matchlogs/2023-2024/summary/Elijah-Adebayo-Match-Logs,9,2023-2024,cd2051a3-2cbb-4dc9-a84d-2af95e5d95a9
/en/players/1b5344ef/Val-Adedokun,1b5344ef,Val Adedokun,ieIRL,FW,2023-2024,Brentford,/en/squads/cd051869/2023-2024/Brentford-Stats,20,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,,/en/players/1b5344ef/matchlogs/2023-2024/summary/Val-Adedokun-Match-Logs,9,2023-2024,21d40089-5b46-4f74-b8c9-e9a0f11eb76b
/en/players/4dcec659/Simon-Adingra,4dcec659,Simon Adingra,ciCIV,FW,2023-2024,Brighton,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats,21,2002,31,"2,222",72,65.0,24.7,25,83,10,6,26,1,1.19,34,38,-4,-0.16,+0.06,33.9,35.9,-2.0,-0.08,-0.34,/en/players/4dcec659/matchlogs/2023-2024/summary/Simon-Adingra-Match-Logs,9,2023-2024,e09ed1b6-4d21-4ae4-b95e-572bf022c999
/en/players/f76e6b4e/Adrian,f76e6b4e,Adrián,esESP,GK,2023-2024,Liverpool,/en/squads/822bd0ba/2023-2024/Liverpool-Stats,36,1987,0,,,,,0,,0,0,,15,,,,,,,,,,,,/en/players/f76e6b4e/matchlogs/2023-2024/summary/Adrian-Match-Logs,9,2023-2024,63e51d92-874a-4098-a73f-50f761659b83
/en/players/288e1e13/Nayef-Aguerd,288e1e13,Nayef Aguerd,maMAR,DF,2023-2024,West Ham,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats,27,1996,21,"1,857",88,54.3,20.6,21,88,19,0,,4,1.19,26,44,-18,-0.87,-1.10,25.0,38.2,-13.2,-0.64,-0.32,/en/players/288e1e13/matchlogs/2023-2024/summary/Nayef-Aguerd-Match-Logs,9,2023-2024,83fa0cad-2202-4f10-95e6-d71c9a33d7fb
