player_link,player_id,player_name,nationality,position,team_id,team_name,team_link,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,matches_link,competition_id,season_id,id
/en/players/387d06b2/Fred-Onyedinma,387d06b2,Fred Onyedinma,engENG,"DF,MF",2023-2024,Luton Town,/en/squads/e297cd13/2023-2024/Luton-Town-Stats,26,1996,4.5,135,97,38,1,0,0,13,37,0,0,0,0,91,0,7,/en/players/387d06b2/matchlogs/2023-2024/passing_types/Fred-Onyedinma-Match-Logs,9,2023-2024,2c15dda9-294e-41b8-8452-ac0005cf9dc6
/en/players/2944f86f/Frank-Onyeka,2944f86f,Frank Onyeka,ngNGA,MF,2023-2024,Brentford,/en/squads/cd051869/2023-2024/Brentford-Stats,25,1998,12.9,396,389,6,2,2,0,16,4,0,0,0,0,299,1,13,/en/players/2944f86f/matchlogs/2023-2024/passing_types/Frank-Onyeka-Match-Logs,9,2023-2024,f78f8eb2-32fb-4145-8c05-8bf96b6b67c4
/en/players/43a166b4/Divock-Origi,43a166b4,Divock Origi,beBEL,FW,2023-2024,Nott'ham Forest,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats,28,1995,6.7,144,143,1,1,3,0,13,0,0,0,0,0,92,0,10,/en/players/43a166b4/matchlogs/2023-2024/passing_types/Divock-Origi-Match-Logs,9,2023-2024,57259959-6b6b-4ff0-82cc-aae409e4ba10
/en/players/c1242d4e/Stefan-Ortega,c1242d4e,Stefan Ortega,deGER,GK,2023-2024,Manchester City,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats,30,1992,7.1,266,240,26,7,0,0,0,0,0,0,0,0,213,0,1,/en/players/c1242d4e/matchlogs/2023-2024/passing_types/Stefan-Ortega-Match-Logs,9,2023-2024,eed580ca-de12-4825-bac0-972c7cc37378
/en/players/79bc4c45/Ben-Osborn,79bc4c45,Ben Osborn,engENG,"DF,MF",2023-2024,Sheffield Utd,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats,28,1994,15.2,608,526,77,8,1,1,47,50,12,10,0,0,448,5,15,/en/players/79bc4c45/matchlogs/2023-2024/passing_types/Ben-Osborn-Match-Logs,9,2023-2024,a73e18dc-98db-4ab6-9087-be153a4873c0
/en/players/cd889153/Gabriel-Osho,cd889153,Gabriel Osho,ngNGA,DF,2023-2024,Luton Town,/en/squads/e297cd13/2023-2024/Luton-Town-Stats,24,1998,20.5,706,697,8,8,0,1,3,0,0,0,0,0,580,1,3,/en/players/cd889153/matchlogs/2023-2024/passing_types/Gabriel-Osho-Match-Logs,9,2023-2024,a0321f4c-44fa-4d38-9bbf-9ffe3bce1ff6
/en/players/7b355808/William-Osula,7b355808,William Osula,dkDEN,FW,2023-2024,Sheffield Utd,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats,19,2003,8.7,93,90,2,0,0,0,2,0,0,0,0,0,49,1,1,/en/players/7b355808/matchlogs/2023-2024/passing_types/William-Osula-Match-Logs,9,2023-2024,7d51a91d-64e1-4217-b049-defd49a21c66
/en/players/2f9e4435/Dango-Ouattara,2f9e4435,Dango Ouattara,bfBFA,"FW,DF",2023-2024,Bournemouth,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats,21,2002,13.7,558,473,84,8,2,1,36,73,3,0,0,0,371,1,23,/en/players/2f9e4435/matchlogs/2023-2024/passing_types/Dango-Ouattara-Match-Logs,9,2023-2024,d04b2fc7-d634-42cc-9587-d485d1e861fd
/en/players/d00d45ab/David-Ozoh,d00d45ab,David Ozoh,engENG,"MF,DF",2023-2024,Crystal Palace,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats,18,2005,1.7,51,51,0,0,0,0,0,0,0,0,0,0,48,0,1,/en/players/d00d45ab/matchlogs/2023-2024/passing_types/David-Ozoh-Match-Logs,9,2023-2024,41b2272e-849b-41f9-b964-a3a90583ffb7
/en/players/a78ff07f/Joao-Palhinha,a78ff07f,João Palhinha,ptPOR,MF,2023-2024,Fulham,/en/squads/fd962109/2023-2024/Fulham-Stats,28,1995,30.0,1333,1272,55,52,6,20,5,1,0,0,0,0,1098,6,29,/en/players/a78ff07f/matchlogs/2023-2024/passing_types/Joao-Palhinha-Match-Logs,9,2023-2024,a0050524-d15a-4552-b0a2-e9df053852a5
/en/players/dc7f8a28/Cole-Palmer,dc7f8a28,Cole Palmer,engENG,"FW,MF",2023-2024,Chelsea,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats,21,2002,29.0,1415,1294,111,23,27,14,81,22,55,24,12,0,1121,10,37,/en/players/dc7f8a28/matchlogs/2023-2024/passing_types/Cole-Palmer-Match-Logs,9,2023-2024,81646dce-ff89-43a9-9784-06747c3c541a
/en/players/dc7f8a28/Cole-Palmer,dc7f8a28,Cole Palmer,engENG,MF,2023-2024,Manchester City,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats,21,2002,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,/en/players/dc7f8a28/matchlogs/2023-2024/passing_types/Cole-Palmer-Match-Logs,9,2023-2024,881d984e-cffa-4356-849d-f0292662018f
