player_link,player_id,player_name,nationality,position,team_id,team_name,team_link,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,matches_link,competition_id,season_id,id
/en/players/c924b17d/Mads-Hermansen,c924b17d,Mads Hermansen,dkDEN,GK,a2d435b3,Leicester City,/en/squads/a2d435b3/Leicester-City-Stats,24,2000,27,27,"2,385",26.5,58,2.19,155,99,64.5,3,6,18,1,3.7,4,3,1,0,25.0,/en/players/c924b17d/matchlogs/2024-2025/keeper/Mads-Hermansen-Match-Logs,9,2024-2025,7d27bfb0-0f90-474f-b1db-b184eee0995a
/en/players/12bb4d6a/Vitezslav-Jaros,12bb4d6a,Vitezslav Jaros,czCZE,GK,2024-2025,Liverpool,/en/squads/822bd0ba/2024-2025/Liverpool-Stats,23,2001,1,0,12,0.1,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,,/en/players/12bb4d6a/matchlogs/2024-2025/keeper/Vitezslav-Jaros-Match-Logs,9,2024-2025,23d2d062-54a5-477e-8ade-b590587b94a7
/en/players/9e5708be/Sam-Johnstone,9e5708be,Sam Johnstone,engENG,GK,8cec06e1,Wolves,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats,31,1993,7,7,630,7.0,17,2.43,39,23,61.5,0,1,6,0,0.0,2,2,0,0,0.0,/en/players/9e5708be/matchlogs/2024-2025/keeper/Sam-Johnstone-Match-Logs,9,2024-2025,4ce2f8dc-1639-495c-b174-7d2c483d749d
/en/players/0107757e/Filip-Jorgensen,0107757e,Filip Jørgensen,dkDEN,GK,2024-2025,Chelsea,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats,22,2002,6,6,540,6.0,9,1.50,28,19,71.4,3,0,3,1,16.7,1,1,0,0,0.0,/en/players/0107757e/matchlogs/2024-2025/keeper/Filip-Jorgensen-Match-Logs,9,2024-2025,87b625be-29fd-4753-84c1-01b6a9ac65be
/en/players/62d7ef38/Caoimhin-Kelleher,62d7ef38,Caoimhín Kelleher,ieIRL,GK,2024-2025,Liverpool,/en/squads/822bd0ba/2024-2025/Liverpool-Stats,25,1998,10,10,900,10.0,12,1.20,37,24,67.6,7,2,1,4,40.0,1,0,1,0,100.0,/en/players/62d7ef38/matchlogs/2024-2025/keeper/Caoimhin-Kelleher-Match-Logs,9,2024-2025,389e6ed5-7e99-45a8-8cd1-8bc4506ee15a
/en/players/5791b997/Tom-King,5791b997,Tom King,wlsWAL,GK,8cec06e1,Wolves,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats,29,1995,1,0,1,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,/en/players/5791b997/matchlogs/2024-2025/keeper/Tom-King-Match-Logs,9,2024-2025,245902ee-436b-4b1e-8962-5e29e3ae316e
/en/players/b38ac6a4/Antonin-Kinsky,b38ac6a4,Antonín Kinský,czCZE,GK,2024-2025,Tottenham,/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats,21,2003,6,6,540,6.0,11,1.83,32,23,65.6,1,0,5,1,16.7,0,0,0,0,,/en/players/b38ac6a4/matchlogs/2024-2025/keeper/Antonin-Kinsky-Match-Logs,9,2024-2025,546531f6-e850-4722-a5b0-c25ac25fbcae
/en/players/2628fd2b/Bernd-Leno,2628fd2b,Bernd Leno,deGER,GK,fd962109,Fulham,/en/squads/fd962109/Fulham-Stats,32,1992,38,38,"3,420",38.0,54,1.42,159,106,67.9,15,9,14,5,13.2,4,3,1,0,25.0,/en/players/2628fd2b/matchlogs/2024-2025/keeper/Bernd-Leno-Match-Logs,9,2024-2025,619c30f6-5d11-4fde-80bc-21028f9524a7
/en/players/bdf3a08e/Joe-Lumley,bdf3a08e,Joe Lumley,engENG,GK,33c895d4,Southampton,/en/squads/33c895d4/Southampton-Stats,29,1995,3,3,270,3.0,7,2.33,20,13,65.0,0,1,2,0,0.0,0,0,0,0,,/en/players/bdf3a08e/matchlogs/2024-2025/keeper/Joe-Lumley-Match-Logs,9,2024-2025,a7f6a90a-92d1-47a2-b6a4-e9d78f8b2452
/en/players/7956236f/Emiliano-Martinez,7956236f,Emiliano Martínez,arARG,GK,8602292d,Aston Villa,/en/squads/8602292d/Aston-Villa-Stats,31,1992,37,37,"3,194",35.5,45,1.27,142,96,69.0,18,9,10,8,21.6,2,1,1,0,50.0,/en/players/7956236f/matchlogs/2024-2025/keeper/Emiliano-Martinez-Match-Logs,9,2024-2025,acd4176a-0de7-44ff-b9ba-0e0e5b9ec8cb
/en/players/36c2ca73/Alex-McCarthy,36c2ca73,Alex McCarthy,engENG,GK,33c895d4,Southampton,/en/squads/33c895d4/Southampton-Stats,34,1989,5,5,450,5.0,13,2.60,37,24,70.3,0,0,5,0,0.0,2,2,0,0,0.0,/en/players/36c2ca73/matchlogs/2024-2025/keeper/Alex-McCarthy-Match-Logs,9,2024-2025,7a481f50-ad75-42f2-bb02-3ba7c439267b
/en/players/99aa1a84/Arijanet-Muric,99aa1a84,Arijanet Muric,xkKVX,GK,b74092de,Ipswich Town,/en/squads/b74092de/Ipswich-Town-Stats,25,1998,18,18,"1,620",18.0,33,1.83,100,67,70.0,2,6,10,1,5.6,3,3,0,0,0.0,/en/players/99aa1a84/matchlogs/2024-2025/keeper/Arijanet-Muric-Match-Logs,9,2024-2025,b47cf088-659b-4f8c-84f1-be377ec301e4
/en/players/a9dc785c/Neto,a9dc785c,Neto,brBRA,GK,4ba7cbea,Bournemouth,/en/squads/4ba7cbea/Bournemouth-Stats,35,1989,2,2,180,2.0,2,1.00,13,11,84.6,0,2,0,0,0.0,0,0,0,0,,/en/players/a9dc785c/matchlogs/2024-2025/keeper/Neto-Match-Logs,9,2024-2025,fe9b1634-b40e-45b8-adc2-2715f102dc89
