team_id,team_url,team,players_used_away,possession_away,minutes_90s_away,touches_away,touches_def_pen_area_away,touches_def_3rd_away,touches_mid_3rd_away,touches_att_3rd_away,touches_att_pen_area_away,touches_live_ball_away,take_ons_away,take_ons_won_away,take_ons_won_pct_away,take_ons_tackled_away,take_ons_tackled_pct_away,carries_away,carries_distance_away,carries_progressive_distance_away,progressive_carries_away,carries_into_final_third_away,carries_into_penalty_area_away,miscontrols_away,dispossessed_away,passes_received_away,progressive_passes_received_away,competition_id,season_id,id
0cdc4311,/en/squads/0cdc4311/2019-2020/Augsburg-Stats,vs Augsburg,28,61.4,34.0,23863,2091,7392,11370,5300,768,23862,563,343,60.9,220,39.1,13906,70998,36582,643,449,163,525,314,16187,1551,20,2019-2020,948ea65b-8680-41ae-88a3-887f3ea21ea4
054efa67,/en/squads/054efa67/2019-2020/Bayern-Munich-Stats,vs Bayern Munich,29,34.9,34.0,17140,3065,7773,6685,2886,459,17136,503,292,58.1,211,41.9,8781,45945,22952,433,323,116,508,289,9513,832,20,2019-2020,948ea65b-8680-41ae-88a3-887f3ea21ea4
add600ae,/en/squads/add600ae/2019-2020/Dortmund-Stats,vs Dortmund,27,39.6,34.0,19419,2113,6651,9142,3834,533,19416,509,283,55.6,226,44.4,11005,58779,30024,584,419,136,508,303,12163,1094,20,2019-2020,948ea65b-8680-41ae-88a3-887f3ea21ea4
b1278397,/en/squads/b1278397/2019-2020/Dusseldorf-Stats,vs Düsseldorf,28,54.4,34.0,22067,2085,6933,10956,4386,715,22062,540,340,63.0,200,37.0,12630,67779,35976,622,409,135,500,296,14643,1278,20,2019-2020,948ea65b-8680-41ae-88a3-887f3ea21ea4
f0ac8ee6,/en/squads/f0ac8ee6/2019-2020/Eintracht-Frankfurt-Stats,vs Eint Frankfurt,27,49.1,34.0,20423,2443,7211,9377,4086,639,20420,617,385,62.4,232,37.6,11067,60845,31521,563,421,136,583,364,12234,1249,20,2019-2020,948ea65b-8680-41ae-88a3-887f3ea21ea4
a486e511,/en/squads/a486e511/2019-2020/Freiburg-Stats,vs Freiburg,26,51.9,34.0,21217,2053,6364,9683,5402,831,21213,497,322,64.8,175,35.2,11876,69182,37168,762,562,174,545,256,13611,1338,20,2019-2020,948ea65b-8680-41ae-88a3-887f3ea21ea4
32f3ee20,/en/squads/32f3ee20/2019-2020/Monchengladbach-Stats,vs Gladbach,25,47.6,34.0,20327,2323,7134,9082,4326,674,20325,586,358,61.1,228,38.9,11382,61635,30408,572,429,122,547,324,12614,1174,20,2019-2020,948ea65b-8680-41ae-88a3-887f3ea21ea4
2818f8bc,/en/squads/2818f8bc/2019-2020/Hertha-BSC-Stats,vs Hertha BSC,32,55.3,34.0,22136,1745,6237,10894,5205,801,22129,521,313,60.1,208,39.9,12591,68750,37197,714,463,164,525,348,14657,1603,20,2019-2020,948ea65b-8680-41ae-88a3-887f3ea21ea4
033ea6b8,/en/squads/033ea6b8/2019-2020/Hoffenheim-Stats,vs Hoffenheim,31,48.4,34.0,20742,1914,6001,9534,5379,846,20734,578,339,58.7,239,41.3,11409,65396,35954,742,494,184,516,290,13158,1477,20,2019-2020,948ea65b-8680-41ae-88a3-887f3ea21ea4
bc357bf7,/en/squads/bc357bf7/2019-2020/Koln-Stats,vs Köln,29,53.3,34.0,21353,2141,7022,9767,4797,705,21347,622,373,60.0,249,40.0,11847,64727,32386,633,456,173,543,358,13544,1371,20,2019-2020,948ea65b-8680-41ae-88a3-887f3ea21ea4
c7a9f859,/en/squads/c7a9f859/2019-2020/Bayer-Leverkusen-Stats,vs Leverkusen,24,36.8,34.0,17459,2285,6476,7719,3485,594,17457,600,337,56.2,263,43.8,8844,48413,23806,498,324,146,533,294,9401,917,20,2019-2020,948ea65b-8680-41ae-88a3-887f3ea21ea4
