rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,competition_id,season_id,id
1,054efa67,/en/squads/054efa67/2015-2016/Bayern-Munich-Stats,Bayern Munich,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.054efa67.png,17,15,1,1,51,8,+43,46,2.71,17,13,3,1,29,9,+20,42,2.47,20,2015-2016,0e6eafb0-5d09-45fe-b923-478bf0783090
2,add600ae,/en/squads/add600ae/2015-2016/Dortmund-Stats,Dortmund,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.add600ae.png,17,14,3,0,49,14,+35,45,2.65,17,10,3,4,33,20,+13,33,1.94,20,2015-2016,0e6eafb0-5d09-45fe-b923-478bf0783090
3,c7a9f859,/en/squads/c7a9f859/2015-2016/Bayer-Leverkusen-Stats,Leverkusen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.c7a9f859.png,17,10,3,4,31,17,+14,33,1.94,17,8,3,6,25,23,+2,27,1.59,20,2015-2016,0e6eafb0-5d09-45fe-b923-478bf0783090
4,32f3ee20,/en/squads/32f3ee20/2015-2016/Monchengladbach-Stats,Gladbach,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.32f3ee20.png,17,13,1,3,42,18,+24,40,2.35,17,4,3,10,25,32,-7,15,0.88,20,2015-2016,0e6eafb0-5d09-45fe-b923-478bf0783090
5,c539e393,/en/squads/c539e393/2015-2016/Schalke-04-Stats,Schalke 04,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.c539e393.png,17,8,5,4,28,24,+4,29,1.71,17,7,2,8,23,25,-2,23,1.35,20,2015-2016,0e6eafb0-5d09-45fe-b923-478bf0783090
6,a224b06a,/en/squads/a224b06a/2015-2016/Mainz-05-Stats,Mainz 05,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a224b06a.png,17,8,4,5,23,18,+5,28,1.65,17,6,4,7,23,24,-1,22,1.29,20,2015-2016,0e6eafb0-5d09-45fe-b923-478bf0783090
7,2818f8bc,/en/squads/2818f8bc/2015-2016/Hertha-BSC-Stats,Hertha BSC,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2818f8bc.png,17,9,5,3,24,15,+9,32,1.88,17,5,3,9,18,27,-9,18,1.06,20,2015-2016,0e6eafb0-5d09-45fe-b923-478bf0783090
8,4eaa11d7,/en/squads/4eaa11d7/2015-2016/Wolfsburg-Stats,Wolfsburg,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.4eaa11d7.png,17,9,5,3,32,17,+15,32,1.88,17,3,4,10,15,32,-17,13,0.76,20,2015-2016,0e6eafb0-5d09-45fe-b923-478bf0783090
9,bc357bf7,/en/squads/bc357bf7/2015-2016/Koln-Stats,Köln,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.bc357bf7.png,17,5,5,7,16,18,-2,20,1.18,17,5,8,4,22,24,-2,23,1.35,20,2015-2016,0e6eafb0-5d09-45fe-b923-478bf0783090
10,26790c6a,/en/squads/26790c6a/2015-2016/Hamburger-SV-Stats,Hamburger SV,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.26790c6a.png,17,5,4,8,20,23,-3,19,1.12,17,6,4,7,20,23,-3,22,1.29,20,2015-2016,0e6eafb0-5d09-45fe-b923-478bf0783090
11,12eb2039,/en/squads/12eb2039/2015-2016/Ingolstadt-04-Stats,Ingolstadt 04,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.12eb2039.png,17,7,5,5,22,18,+4,26,1.53,17,3,5,9,11,24,-13,14,0.82,20,2015-2016,0e6eafb0-5d09-45fe-b923-478bf0783090
