rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,competition_id,season_id,id
1,054efa67,/en/squads/054efa67/2022-2023/Bayern-Munich-Stats,Bayern Munich,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.054efa67.png,17,11,5,1,53,17,+36,38,2.24,44.6,16.6,+28.1,+1.65,17,10,3,4,39,21,+18,33,1.94,30.3,20.6,+9.8,+0.57,20,2022-2023,1f4c49f0-c9ba-47d5-b4b3-1b9c63d58d14
2,add600ae,/en/squads/add600ae/2022-2023/Dortmund-Stats,Dortmund,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.add600ae.png,17,14,2,1,55,17,+38,44,2.59,39.9,18.4,+21.5,+1.26,17,8,3,6,28,27,+1,27,1.59,31.2,24.8,+6.4,+0.38,20,2022-2023,1f4c49f0-c9ba-47d5-b4b3-1b9c63d58d14
3,acbb6a5b,/en/squads/acbb6a5b/2022-2023/RB-Leipzig-Stats,RB Leipzig,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.acbb6a5b.png,17,13,2,2,38,18,+20,41,2.41,32.8,18.3,+14.5,+0.85,17,7,4,6,26,23,+3,25,1.47,29.9,18.9,+10.9,+0.64,20,2022-2023,1f4c49f0-c9ba-47d5-b4b3-1b9c63d58d14
4,7a41008f,/en/squads/7a41008f/2022-2023/Union-Berlin-Stats,Union Berlin,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7a41008f.png,17,11,6,0,30,11,+19,39,2.29,20.2,18.9,+1.3,+0.08,17,7,2,8,21,27,-6,23,1.35,17.7,23.8,-6.0,-0.35,20,2022-2023,1f4c49f0-c9ba-47d5-b4b3-1b9c63d58d14
5,a486e511,/en/squads/a486e511/2022-2023/Freiburg-Stats,Freiburg,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a486e511.png,17,10,4,3,28,13,+15,34,2.00,27.6,22.3,+5.4,+0.32,17,7,4,6,23,31,-8,25,1.47,20.3,26.5,-6.2,-0.37,20,2022-2023,1f4c49f0-c9ba-47d5-b4b3-1b9c63d58d14
6,c7a9f859,/en/squads/c7a9f859/2022-2023/Bayer-Leverkusen-Stats,Leverkusen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.c7a9f859.png,17,8,3,6,35,23,+12,27,1.59,29.6,18.8,+10.8,+0.63,17,6,5,6,22,26,-4,23,1.35,21.9,24.1,-2.2,-0.13,20,2022-2023,1f4c49f0-c9ba-47d5-b4b3-1b9c63d58d14
7,f0ac8ee6,/en/squads/f0ac8ee6/2022-2023/Eintracht-Frankfurt-Stats,Eint Frankfurt,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.f0ac8ee6.png,17,9,5,3,35,18,+17,32,1.88,31.4,18.8,+12.7,+0.75,17,4,6,7,23,34,-11,18,1.06,20.7,24.7,-4.0,-0.24,20,2022-2023,1f4c49f0-c9ba-47d5-b4b3-1b9c63d58d14
8,4eaa11d7,/en/squads/4eaa11d7/2022-2023/Wolfsburg-Stats,Wolfsburg,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.4eaa11d7.png,17,6,7,4,34,25,+9,25,1.47,31.0,21.8,+9.2,+0.54,17,7,3,7,23,23,0,24,1.41,20.3,29.5,-9.2,-0.54,20,2022-2023,1f4c49f0-c9ba-47d5-b4b3-1b9c63d58d14
9,a224b06a,/en/squads/a224b06a/2022-2023/Mainz-05-Stats,Mainz 05,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a224b06a.png,17,6,6,5,31,25,+6,24,1.41,23.4,22.5,+0.9,+0.05,17,6,4,7,23,30,-7,22,1.29,23.7,31.1,-7.3,-0.43,20,2022-2023,1f4c49f0-c9ba-47d5-b4b3-1b9c63d58d14
10,32f3ee20,/en/squads/32f3ee20/2022-2023/Monchengladbach-Stats,Gladbach,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.32f3ee20.png,17,10,3,4,33,18,+15,33,1.94,32.0,20.0,+12.1,+0.71,17,1,7,9,19,37,-18,10,0.59,20.1,33.5,-13.4,-0.79,20,2022-2023,1f4c49f0-c9ba-47d5-b4b3-1b9c63d58d14
11,bc357bf7,/en/squads/bc357bf7/2022-2023/Koln-Stats,Köln,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.bc357bf7.png,17,6,5,6,28,20,+8,23,1.35,27.2,19.1,+8.1,+0.48,17,4,7,6,21,34,-13,19,1.12,20.7,23.5,-2.8,-0.17,20,2022-2023,1f4c49f0-c9ba-47d5-b4b3-1b9c63d58d14
12,033ea6b8,/en/squads/033ea6b8/2022-2023/Hoffenheim-Stats,Hoffenheim,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.033ea6b8.png,17,7,2,8,28,29,-1,23,1.35,30.4,23.9,+6.5,+0.38,17,3,4,10,20,28,-8,13,0.76,17.6,27.2,-9.6,-0.56,20,2022-2023,1f4c49f0-c9ba-47d5-b4b3-1b9c63d58d14
