ranker,nationality,players,minutes,List,competition_id,season_id,id
1,deGermany,259,"271,096","Tim Kleindienst,Florian Wirtz,Mitchell Weiser,Jonathan Burkardt,Marvin Ducksch,Joshua Kimmich,Julian Brandt,Paul Nebel,Nadiem Amiri,Angelo Stiller...",20,2024-2025,ba0edb8c-2044-422d-bf4a-caca1108c406
2,frFrance,37,"35,252","Michael Olise,Hugo Ekitike,Anthony Caci,Alassane Pléa,Alexis Claude-Maurice,Enzo Millot,Chrislain Matsima,Franck Honorat,Kingsley Coman,Dayot Upamecano...",20,2024-2025,ba0edb8c-2044-422d-bf4a-caca1108c406
3,atAustria,26,"35,268","Romano Schmid,Phillipp Mwene,Philipp Lienhart,Patrick Wimmer,David Nemeth,Marco Friedl,Leopold Querfeld,Kevin Stöger,Nicolas Seiwald,Konrad Laimer...",20,2024-2025,ba0edb8c-2044-422d-bf4a-caca1108c406
4,dkDenmark,17,"15,681","Jens Stage,Rasmus Kristensen,Jonas Wind,Joakim Mæhle,Frederik Rønnow,Jacob Bruun Larsen,Robert Skov,Oscar Højlund,Andreas Skov Olsen,Yussuf Poulsen...",20,2024-2025,ba0edb8c-2044-422d-bf4a-caca1108c406
,,,,View Complete Nationalities Table,20,2024-2025,ba0edb8c-2044-422d-bf4a-caca1108c406
