rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,competition_id,season_id,id
1,054efa67,/en/squads/054efa67/2019-2020/Bayern-Munich-Stats,Bayern Munich,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.054efa67.png,17,13,2,2,53,15,+38,41,2.41,47.2,18.0,+29.2,+1.72,17,13,2,2,47,17,+30,41,2.41,42.2,19.8,+22.4,+1.32,20,2019-2020,e1e2e57a-f58d-4120-b037-27024c160693
2,add600ae,/en/squads/add600ae/2019-2020/Dortmund-Stats,Dortmund,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.add600ae.png,17,11,3,3,46,17,+29,36,2.12,32.8,20.6,+12.2,+0.72,17,10,3,4,38,24,+14,33,1.94,28.2,20.3,+7.9,+0.46,20,2019-2020,e1e2e57a-f58d-4120-b037-27024c160693
3,acbb6a5b,/en/squads/acbb6a5b/2019-2020/RB-Leipzig-Stats,RB Leipzig,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.acbb6a5b.png,17,7,8,2,38,21,+17,29,1.71,31.2,20.7,+10.5,+0.62,17,11,4,2,43,16,+27,37,2.18,40.2,18.1,+22.1,+1.30,20,2019-2020,e1e2e57a-f58d-4120-b037-27024c160693
4,32f3ee20,/en/squads/32f3ee20/2019-2020/Monchengladbach-Stats,Gladbach,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.32f3ee20.png,17,12,2,3,40,21,+19,38,2.24,39.6,23.6,+16.0,+0.94,17,8,3,6,26,19,+7,27,1.59,32.4,22.3,+10.0,+0.59,20,2019-2020,e1e2e57a-f58d-4120-b037-27024c160693
5,c7a9f859,/en/squads/c7a9f859/2019-2020/Bayer-Leverkusen-Stats,Leverkusen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.c7a9f859.png,17,9,4,4,32,22,+10,31,1.82,34.3,21.2,+13.1,+0.77,17,10,2,5,29,22,+7,32,1.88,24.8,30.0,-5.3,-0.31,20,2019-2020,e1e2e57a-f58d-4120-b037-27024c160693
6,033ea6b8,/en/squads/033ea6b8/2019-2020/Hoffenheim-Stats,Hoffenheim,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.033ea6b8.png,17,7,1,9,26,37,-11,22,1.29,29.4,33.3,-3.9,-0.23,17,8,6,3,27,16,+11,30,1.76,26.7,26.3,+0.4,+0.03,20,2019-2020,e1e2e57a-f58d-4120-b037-27024c160693
7,4eaa11d7,/en/squads/4eaa11d7/2019-2020/Wolfsburg-Stats,Wolfsburg,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.4eaa11d7.png,17,4,7,6,19,23,-4,19,1.12,25.0,21.6,+3.4,+0.20,17,9,3,5,29,23,+6,30,1.76,27.8,21.3,+6.5,+0.38,20,2019-2020,e1e2e57a-f58d-4120-b037-27024c160693
8,a486e511,/en/squads/a486e511/2019-2020/Freiburg-Stats,Freiburg,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a486e511.png,17,9,2,6,23,17,+6,29,1.71,22.9,25.6,-2.6,-0.15,17,4,7,6,25,30,-5,19,1.12,23.8,39.0,-15.2,-0.90,20,2019-2020,e1e2e57a-f58d-4120-b037-27024c160693
9,f0ac8ee6,/en/squads/f0ac8ee6/2019-2020/Eintracht-Frankfurt-Stats,Eint Frankfurt,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.f0ac8ee6.png,17,8,4,5,36,27,+9,28,1.65,34.9,25.9,+9.0,+0.53,17,5,2,10,23,33,-10,17,1.00,24.7,24.0,+0.7,+0.04,20,2019-2020,e1e2e57a-f58d-4120-b037-27024c160693
10,2818f8bc,/en/squads/2818f8bc/2019-2020/Hertha-BSC-Stats,Hertha BSC,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2818f8bc.png,17,6,3,8,23,32,-9,21,1.24,21.0,27.9,-7.0,-0.41,17,5,5,7,25,27,-2,20,1.18,22.1,26.6,-4.5,-0.26,20,2019-2020,e1e2e57a-f58d-4120-b037-27024c160693
11,7a41008f,/en/squads/7a41008f/2019-2020/Union-Berlin-Stats,Union Berlin,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7a41008f.png,17,8,3,6,24,20,+4,27,1.59,23.3,23.0,+0.3,+0.02,17,4,2,11,17,38,-21,14,0.82,18.1,31.3,-13.2,-0.77,20,2019-2020,e1e2e57a-f58d-4120-b037-27024c160693
12,c539e393,/en/squads/c539e393/2019-2020/Schalke-04-Stats,Schalke 04,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.c539e393.png,17,5,7,5,20,27,-7,22,1.29,20.2,21.4,-1.1,-0.07,17,4,5,8,18,31,-13,17,1.00,17.6,30.3,-12.7,-0.75,20,2019-2020,e1e2e57a-f58d-4120-b037-27024c160693
