team_id,team_url,team,players_used_away,avg_age_away,possession_away,games_away,games_starts_away,minutes_away,minutes_90s_away,goals_away,assists_away,goals_assists_away,goals_pens_away,pens_made_away,pens_att_away,cards_yellow_away,cards_red_away,xg_away,npxg_away,xg_assist_away,npxg_xg_assist_away,progressive_carries_away,progressive_passes_away,goals_per90_away,assists_per90_away,goals_assists_per90_away,goals_pens_per90_away,goals_assists_pens_per90_away,xg_per90_away,xg_assist_per90_away,xg_xg_assist_per90_away,npxg_per90_away,npxg_xg_assist_per90_away,competition_id,season_id,id
247c4b67,/en/squads/247c4b67/2021-2022/Arminia-Stats,vs Arminia,26,26.3,59.5,34,374,"3,060",34.0,51,34,85,44,7,7,59,0,62.8,57.5,47.1,104.6,618,1559,1.50,1.00,2.50,1.29,2.29,1.85,1.39,3.24,1.69,3.08,20,2021-2022,45b45887-a55b-40f1-b4c3-16003a22e613
0cdc4311,/en/squads/0cdc4311/2021-2022/Augsburg-Stats,vs Augsburg,26,26.4,58.8,34,374,"3,060",34.0,54,40,94,49,5,5,59,0,57.9,54.2,43.3,97.5,561,1537,1.59,1.18,2.76,1.44,2.62,1.70,1.27,2.98,1.59,2.87,20,2021-2022,45b45887-a55b-40f1-b4c3-16003a22e613
054efa67,/en/squads/054efa67/2021-2022/Bayern-Munich-Stats,vs Bayern Munich,30,26.1,35.2,34,374,"3,060",34.0,36,28,64,34,2,2,49,0,36.3,34.7,29.0,63.7,439,918,1.06,0.82,1.88,1.00,1.82,1.07,0.85,1.92,1.02,1.87,20,2021-2022,45b45887-a55b-40f1-b4c3-16003a22e613
b42c6323,/en/squads/b42c6323/2021-2022/Bochum-Stats,vs Bochum,28,26.2,55.5,34,374,"3,060",34.0,48,34,82,43,5,8,68,0,55.8,50.4,41.7,92.1,600,1406,1.41,1.00,2.41,1.26,2.26,1.64,1.23,2.87,1.48,2.71,20,2021-2022,45b45887-a55b-40f1-b4c3-16003a22e613
add600ae,/en/squads/add600ae/2021-2022/Dortmund-Stats,vs Dortmund,33,26.0,40.4,34,374,"3,060",34.0,50,32,82,44,6,6,69,0,46.3,41.6,31.5,73.1,489,1056,1.47,0.94,2.41,1.29,2.24,1.36,0.93,2.29,1.22,2.15,20,2021-2022,45b45887-a55b-40f1-b4c3-16003a22e613
f0ac8ee6,/en/squads/f0ac8ee6/2021-2022/Eintracht-Frankfurt-Stats,vs Eint Frankfurt,27,26.1,50.4,34,374,"3,060",34.0,48,33,81,44,4,4,61,1,47.0,43.8,33.3,77.1,519,1236,1.41,0.97,2.38,1.29,2.26,1.38,0.98,2.36,1.29,2.27,20,2021-2022,45b45887-a55b-40f1-b4c3-16003a22e613
a486e511,/en/squads/a486e511/2021-2022/Freiburg-Stats,vs Freiburg,26,26.2,50.8,34,374,"3,060",34.0,45,35,80,43,2,2,65,2,44.0,42.5,33.2,75.7,582,1123,1.32,1.03,2.35,1.26,2.29,1.29,0.98,2.27,1.25,2.23,20,2021-2022,45b45887-a55b-40f1-b4c3-16003a22e613
32f3ee20,/en/squads/32f3ee20/2021-2022/Monchengladbach-Stats,vs Gladbach,26,26.2,45.6,34,374,"3,060",34.0,61,46,107,58,3,5,73,4,55.0,50.8,39.4,90.2,540,1193,1.79,1.35,3.15,1.71,3.06,1.62,1.16,2.78,1.49,2.65,20,2021-2022,45b45887-a55b-40f1-b4c3-16003a22e613
12192a4c,/en/squads/12192a4c/2021-2022/Greuther-Furth-Stats,vs Greuther Fürth,29,26.3,56.6,34,374,"3,060",34.0,77,56,133,71,6,6,49,2,60.2,55.5,42.4,97.9,619,1501,2.26,1.65,3.91,2.09,3.74,1.77,1.25,3.02,1.63,2.88,20,2021-2022,45b45887-a55b-40f1-b4c3-16003a22e613
2818f8bc,/en/squads/2818f8bc/2021-2022/Hertha-BSC-Stats,vs Hertha BSC,36,26.2,56.5,34,374,"3,060",34.0,71,44,115,63,8,8,47,0,54.3,48.1,36.9,85.0,519,1500,2.09,1.29,3.38,1.85,3.15,1.60,1.09,2.68,1.41,2.50,20,2021-2022,45b45887-a55b-40f1-b4c3-16003a22e613
